contribution_type,proposal_id,proposal_reference,proposal_title,proposal_votes_totalCount,proposal_votes_digitalCount,proposal_votes_paperCount,proposal_votes_totalPointsCount,proposal_votes_digitalPointsCount,proposal_votes_paperPointsCount,proposal_createdAt,proposal_publishedAt,proposal_updatedAt,proposal_publicationStatus,proposal_undraftAt,proposal_trashedAt,proposal_trashedReason,proposal_link,proposal_author_id,proposal_author_username,proposal_author_isEmailConfirmed,proposal_author_email,proposal_author_userType_id,proposal_author_userType_name,proposal_status_name,proposal_estimation,proposal_category_name,proposal_theme_title,proposal_formattedAddress,proposal_address_lat,proposal_address_lng,proposal_district_name,proposal_illustration,proposal_summary,proposal_description,proposal_officialResponse,"Donnez une fourchette de coût",proposal_votes_id,proposal_votes_ranking,proposal_votes_createdAt,proposal_votes_publishedAt,proposal_votes_published,proposal_votes_accounted,proposal_votes_anonymous,proposal_votes_author_id,proposal_votes_author_username,proposal_votes_author_isEmailConfirmed,proposal_votes_author_userType_id,proposal_votes_author_userType_name,proposal_comments_id,proposal_comments_body,proposal_comments_createdAt,proposal_comments_publishedAt,proposal_comments_updatedAt,proposal_comments_author_id,proposal_comments_author_username,proposal_comments_author_isEmailConfirmed,proposal_comments_author_userType_id,proposal_comments_author_userType_name,proposal_comments_author_email,proposal_comments_pinned,proposal_comments_publicationStatus,proposal_comments_vote_id,proposal_comments_vote_createdAt,proposal_comments_vote_publishedAt,proposal_comments_vote_author_id,proposal_comments_vote_author_username,proposal_comments_vote_author_isEmailConfirmed,proposal_comments_vote_author_userType_id,proposal_comments_vote_author_userType_name,proposal_news_id,proposal_news_title,proposal_news_themes,proposal_news_linkedProjects,proposal_news_linkedProposal,proposal_news_createdAt,proposal_news_updatedAt,proposal_news_publishedAt,proposal_news_publicationStatus,proposal_news_commentable,proposal_news_displayedOnBlog,proposal_news_authors_id,proposal_news_authors_username,proposal_news_authors_isEmailConfirmed,proposal_news_authors_userType_id,proposal_news_authors_userType_name,proposal_news_comments_id,proposal_news_comments_body,proposal_news_comments_parent,proposal_news_comments_createdAt,proposal_news_comments_publishedAt,proposal_news_comments_updatedAt,proposal_news_comments_author_id,proposal_news_comments_author_username,proposal_news_comments_author_isEmailConfirmed,proposal_news_comments_author_userType_id,proposal_news_comments_author_userType_name,proposal_news_comments_author_email,proposal_news_comments_pinned,proposal_news_comments_publicationStatus,proposal_news_comments_vote_id,proposal_news_comments_vote_createdAt,proposal_news_comments_vote_publishedAt,proposal_news_comments_vote_author_id,proposal_news_comments_vote_author_username,proposal_news_comments_vote_author_isEmailConfirmed,proposal_news_comments_vote_author_userType_id,proposal_news_comments_vote_author_userType_name,proposal_news_comments_reportings_id,proposal_news_comments_reportings_createdAt,proposal_news_comments_reportings_author_id,proposal_news_comments_reportings_author_username,proposal_news_comments_reportings_author_isEmailConfirmed,proposal_news_comments_reportings_author_userType_id,proposal_news_comments_reportings_author_userType_name,proposal_reportings_id,proposal_reportings_body,proposal_reportings_createdAt,proposal_reportings_author_id,proposal_reportings_author_username,proposal_reportings_author_isEmailConfirmed,proposal_reportings_author_userType_id,proposal_reportings_author_userType_name
proposal,UHJvcG9zYWw6cHJvcG9zYWwyNA==,"""1337-1""","Proposition 1",2,2,0,1,1,0,"2017-02-01 00:02:40","2017-02-01 00:02:40","2017-02-01 00:02:40",PUBLISHED,"2017-02-01 00:02:40",,,https://capco.dev/project/bp-avec-vote-classement/collect/collecte-avec-vote-classement-limite/proposals/proposition-1,VXNlcjp1c2VyMQ==,lbrunet,Yes,lbrunet@cap-collectif.com,1,Citoyen,,,,,,,,,,,TODO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proposalVote,UHJvcG9zYWw6cHJvcG9zYWwyNA==,"""1337-1""","Proposition 1",2,2,0,1,1,0,"2017-02-01 00:02:40","2017-02-01 00:02:40","2017-02-01 00:02:40",PUBLISHED,"2017-02-01 00:02:40",,,https://capco.dev/project/bp-avec-vote-classement/collect/collecte-avec-vote-classement-limite/proposals/proposition-1,VXNlcjp1c2VyMQ==,lbrunet,Yes,lbrunet@cap-collectif.com,1,Citoyen,,,,,,,,,,,TODO,,,2051,3,"2015-03-01 00:00:51","2015-03-01 00:00:51",Yes,Yes,No,VXNlcjp1c2VyNQ==,user,Yes,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proposalVote,UHJvcG9zYWw6cHJvcG9zYWwyNA==,"""1337-1""","Proposition 1",2,2,0,1,1,0,"2017-02-01 00:02:40","2017-02-01 00:02:40","2017-02-01 00:02:40",PUBLISHED,"2017-02-01 00:02:40",,,https://capco.dev/project/bp-avec-vote-classement/collect/collecte-avec-vote-classement-limite/proposals/proposition-1,VXNlcjp1c2VyMQ==,lbrunet,Yes,lbrunet@cap-collectif.com,1,Citoyen,,,,,,,,,,,TODO,,,2066,3,"2015-03-01 00:01:02",,No,Yes,No,VXNlcjp1c2VyX25vdF9jb25maXJtZWQ=,user_not_confirmed,No,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proposal,UHJvcG9zYWw6cHJvcG9zYWwyNQ==,"""1337-2""","Proposition 2",4,4,0,7,7,0,"2017-02-01 00:02:50","2017-02-01 00:02:50","2017-02-01 00:02:50",PUBLISHED,"2017-02-01 00:02:50",,,https://capco.dev/project/bp-avec-vote-classement/collect/collecte-avec-vote-classement-limite/proposals/proposition-2,VXNlcjp1c2VyMQ==,lbrunet,Yes,lbrunet@cap-collectif.com,1,Citoyen,,,,,,,,,,,TODO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proposalVote,UHJvcG9zYWw6cHJvcG9zYWwyNQ==,"""1337-2""","Proposition 2",4,4,0,7,7,0,"2017-02-01 00:02:50","2017-02-01 00:02:50","2017-02-01 00:02:50",PUBLISHED,"2017-02-01 00:02:50",,,https://capco.dev/project/bp-avec-vote-classement/collect/collecte-avec-vote-classement-limite/proposals/proposition-2,VXNlcjp1c2VyMQ==,lbrunet,Yes,lbrunet@cap-collectif.com,1,Citoyen,,,,,,,,,,,TODO,,,2061,1,"2015-03-01 00:00:58","2015-03-01 00:00:58",Yes,Yes,No,VXNlcjp1c2VyMg==,sfavot,Yes,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proposalVote,UHJvcG9zYWw6cHJvcG9zYWwyNQ==,"""1337-2""","Proposition 2",4,4,0,7,7,0,"2017-02-01 00:02:50","2017-02-01 00:02:50","2017-02-01 00:02:50",PUBLISHED,"2017-02-01 00:02:50",,,https://capco.dev/project/bp-avec-vote-classement/collect/collecte-avec-vote-classement-limite/proposals/proposition-2,VXNlcjp1c2VyMQ==,lbrunet,Yes,lbrunet@cap-collectif.com,1,Citoyen,,,,,,,,,,,TODO,,,2059,2,"2015-03-01 00:00:56","2015-03-01 00:00:56",Yes,Yes,No,VXNlcjp1c2VyTWF4aW1l,mauriau,Yes,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proposalVote,UHJvcG9zYWw6cHJvcG9zYWwyNQ==,"""1337-2""","Proposition 2",4,4,0,7,7,0,"2017-02-01 00:02:50","2017-02-01 00:02:50","2017-02-01 00:02:50",PUBLISHED,"2017-02-01 00:02:50",,,https://capco.dev/project/bp-avec-vote-classement/collect/collecte-avec-vote-classement-limite/proposals/proposition-2,VXNlcjp1c2VyMQ==,lbrunet,Yes,lbrunet@cap-collectif.com,1,Citoyen,,,,,,,,,,,TODO,,,2052,2,"2015-03-01 00:00:52","2015-03-01 00:00:52",Yes,Yes,No,VXNlcjp1c2VyNQ==,user,Yes,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proposalVote,UHJvcG9zYWw6cHJvcG9zYWwyNQ==,"""1337-2""","Proposition 2",4,4,0,7,7,0,"2017-02-01 00:02:50","2017-02-01 00:02:50","2017-02-01 00:02:50",PUBLISHED,"2017-02-01 00:02:50",,,https://capco.dev/project/bp-avec-vote-classement/collect/collecte-avec-vote-classement-limite/proposals/proposition-2,VXNlcjp1c2VyMQ==,lbrunet,Yes,lbrunet@cap-collectif.com,1,Citoyen,,,,,,,,,,,TODO,,,2064,1,"2015-03-01 00:01:00",,No,Yes,No,VXNlcjp1c2VyX25vdF9jb25maXJtZWQ=,user_not_confirmed,No,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proposal,UHJvcG9zYWw6cHJvcG9zYWwxMzg=,"""1337-4""","Proposition de Jean 1",0,0,0,0,0,0,"2017-02-01 00:03:40","2017-02-01 00:03:40","2017-02-01 00:03:40",PUBLISHED,"2017-02-01 00:03:40",,,https://capco.dev/project/bp-avec-vote-classement/collect/collecte-avec-vote-classement-limite/proposals/proposition-de-jean-1,VXNlcjp1c2VySmVhbg==,Juan,Yes,jean@cap-collectif.com,1,Citoyen,,,,,,,,,,,TODO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proposal,UHJvcG9zYWw6cHJvcG9zYWwxMzk=,"""1337-5""","Proposition de Jean 2",0,0,0,0,0,0,"2017-02-01 00:03:41","2017-02-01 00:03:41","2017-02-01 00:03:41",PUBLISHED,"2017-02-01 00:03:41",,,https://capco.dev/project/bp-avec-vote-classement/collect/collecte-avec-vote-classement-limite/proposals/proposition-de-jean-2,VXNlcjp1c2VySmVhbg==,Juan,Yes,jean@cap-collectif.com,1,Citoyen,,,,,,,,,,,TODO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
