contribution_type,proposal_id,proposal_reference,proposal_title,proposal_votes_totalCount,proposal_votes_digitalCount,proposal_votes_paperCount,proposal_votes_totalPointsCount,proposal_votes_digitalPointsCount,proposal_votes_paperPointsCount,proposal_createdAt,proposal_publishedAt,proposal_updatedAt,proposal_publicationStatus,proposal_undraftAt,proposal_trashedAt,proposal_trashedReason,proposal_link,proposal_author_id,proposal_author_username,proposal_author_isEmailConfirmed,proposal_author_email,proposal_author_userType_id,proposal_author_userType_name,proposal_status_name,proposal_estimation,proposal_category_name,proposal_theme_title,proposal_formattedAddress,proposal_address_lat,proposal_address_lng,proposal_district_name,proposal_illustration,proposal_summary,proposal_description,proposal_officialResponse,"No Mes Démarches","No IRIS","Raison sociale",proposal_votes_id,proposal_votes_ranking,proposal_votes_createdAt,proposal_votes_publishedAt,proposal_votes_published,proposal_votes_accounted,proposal_votes_anonymous,proposal_votes_author_id,proposal_votes_author_username,proposal_votes_author_isEmailConfirmed,proposal_votes_author_isPhoneConfirmed,proposal_votes_author_userType_id,proposal_votes_author_userType_name,proposal_comments_id,proposal_comments_body,proposal_comments_createdAt,proposal_comments_publishedAt,proposal_comments_updatedAt,proposal_comments_author_id,proposal_comments_author_username,proposal_comments_author_isEmailConfirmed,proposal_comments_author_userType_id,proposal_comments_author_userType_name,proposal_comments_author_email,proposal_comments_pinned,proposal_comments_publicationStatus,proposal_comments_vote_id,proposal_comments_vote_createdAt,proposal_comments_vote_publishedAt,proposal_comments_vote_author_id,proposal_comments_vote_author_username,proposal_comments_vote_author_isEmailConfirmed,proposal_comments_vote_author_userType_id,proposal_comments_vote_author_userType_name,proposal_news_id,proposal_news_title,proposal_news_themes,proposal_news_linkedProjects,proposal_news_linkedProposal,proposal_news_createdAt,proposal_news_updatedAt,proposal_news_publishedAt,proposal_news_publicationStatus,proposal_news_commentable,proposal_news_displayedOnBlog,proposal_news_authors_id,proposal_news_authors_username,proposal_news_authors_isEmailConfirmed,proposal_news_authors_userType_id,proposal_news_authors_userType_name,proposal_news_comments_id,proposal_news_comments_body,proposal_news_comments_parent,proposal_news_comments_createdAt,proposal_news_comments_publishedAt,proposal_news_comments_updatedAt,proposal_news_comments_author_id,proposal_news_comments_author_username,proposal_news_comments_author_isEmailConfirmed,proposal_news_comments_author_userType_id,proposal_news_comments_author_userType_name,proposal_news_comments_author_email,proposal_news_comments_pinned,proposal_news_comments_publicationStatus,proposal_news_comments_vote_id,proposal_news_comments_vote_createdAt,proposal_news_comments_vote_publishedAt,proposal_news_comments_vote_author_id,proposal_news_comments_vote_author_username,proposal_news_comments_vote_author_isEmailConfirmed,proposal_news_comments_vote_author_userType_id,proposal_news_comments_vote_author_userType_name,proposal_news_comments_reportings_id,proposal_news_comments_reportings_createdAt,proposal_news_comments_reportings_author_id,proposal_news_comments_reportings_author_username,proposal_news_comments_reportings_author_isEmailConfirmed,proposal_news_comments_reportings_author_userType_id,proposal_news_comments_reportings_author_userType_name,proposal_reportings_id,proposal_reportings_body,proposal_reportings_createdAt,proposal_reportings_author_id,proposal_reportings_author_username,proposal_reportings_author_isEmailConfirmed,proposal_reportings_author_userType_id,proposal_reportings_author_userType_name
proposal,UHJvcG9zYWw6cHJvcG9zaXRpb25Qb3VyVGVzdExlRG91Ymxvbg==,"""22-133""","Proposition pour tester le doublon",0,0,0,0,0,0,"2021-05-21 10:30:00","2021-05-21 10:30:00","2021-05-21 10:30:00",PUBLISHED,"2021-05-21 10:30:00",,,https://capco.dev/project/budget-participatif-idf-3/collect/collecte-des-projets-idf-brp-3/proposals/proposition-pour-tester-le-doublon,VXNlcjp1c2VyNQ==,user,Yes,user@test.com,1,Citoyen,,,,,"155 Boulevard Saint-Germain, 75006 Paris, France",48.8538407,2.3321014,"Toute la région (IDF BP3)",,,TODO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proposal,UHJvcG9zYWw6cHJvcG9zaXRpb25BdmVjRGVzUnM=,"""22-134""","Proposition avec des réseaux sociaux",0,0,0,0,0,0,"2021-06-02 10:30:00","2021-06-02 10:30:00","2021-06-02 10:30:00",PUBLISHED,"2021-06-02 10:30:00",,,https://capco.dev/project/budget-participatif-idf-3/collect/collecte-des-projets-idf-brp-3/proposals/proposition-avec-des-reseaux-sociaux,VXNlcjp1c2VyNQ==,user,Yes,user@test.com,1,Citoyen,,,Politique,,"155 Boulevard Saint-Germain, 75006 Paris, France",48.8538407,2.3321014,"Toute la région (IDF BP3)",,,TODO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proposal,UHJvcG9zYWw6cHJvcG9zYWxCeUZyYW5jZUNvbm5lY3RVc2Vy,"""22-135""","Proposition par un utilisateur France Connect",0,0,0,0,0,0,"2021-07-04 10:30:00","2021-07-04 10:30:00","2021-07-04 10:30:00",PUBLISHED,"2021-07-04 10:30:00",,,https://capco.dev/project/budget-participatif-idf-3/collect/collecte-des-projets-idf-brp-3/proposals/proposition-par-un-utilisateur-france-connect,VXNlcjp1c2VyQ29ubmVjdGVkRnJhbmNlQ29ubmVjdA==,"LAMPE Geraldine",Yes,ducowanet-7006@yopmail.com,,,,,Politique,,"155 Boulevard Saint-Germain, 75006 Paris, France",48.8538407,2.3321014,"Toute la région (IDF BP3)",,,TODO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proposal,UHJvcG9zYWw6cHJvcG9zYWxMb2NhdGlvbldpdGhvdXRBZGRyZXNz,"""22-600509""","Proposition sans adresse",0,0,0,0,0,0,"2022-04-15 10:30:00","2022-04-15 10:30:00","2022-04-15 10:30:00",PUBLISHED,"2022-04-15 10:30:00",,,https://capco.dev/project/budget-participatif-idf-3/collect/collecte-des-projets-idf-brp-3/proposals/proposition-sans-adresse,VXNlcjp1c2VyNQ==,user,Yes,user@test.com,1,Citoyen,,,,Immobilier,,,,"Toute la région (IDF BP3)",,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proposal,UHJvcG9zYWw6cHJvcG9zYWxMb2NhdGlvbjE2OQ==,"""22-844795""","Incidunt ipsam ullam eius.",0,0,0,0,0,0,"2022-04-16 02:50:23","2022-04-16 02:50:23","2022-04-16 02:50:23",PUBLISHED,"2022-04-16 02:50:23",,,https://capco.dev/project/budget-participatif-idf-3/collect/collecte-des-projets-idf-brp-3/proposals/incidunt-ipsam-ullam-eius,VXNlcjp1c2VyNQ==,user,Yes,user@test.com,1,Citoyen,,,"Santé environnementale",Immobilier,"Fake address, 75006 Paris, France",48.11524,1.44616,"Val de marne (94) (IDF BP3)",,,"Beatae non laudantium animi ut est quia. Odio ut in recusandae id excepturi. Sed ipsa quo velit. Dolorum illo voluptatibus enim non adipisci quam. Expedita provident reiciendis iure ex est.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proposal,UHJvcG9zYWw6cHJvcG9zYWxMb2NhdGlvbjE1Mg==,"""22-906687""","Ut et et dolore quia illo explicabo dolores.",0,0,0,0,0,0,"2022-04-17 19:40:58","2022-04-17 19:40:58","2022-04-17 19:40:58",PUBLISHED,"2022-04-17 19:40:58",,,https://capco.dev/project/budget-participatif-idf-3/collect/collecte-des-projets-idf-brp-3/proposals/ut-et-et-dolore-quia-illo-explicabo-dolores,VXNlcjp1c2VyNQ==,user,Yes,user@test.com,1,Citoyen,,,"Énergies renouvelables et efficacité énergétique",Justice,"Fake address, 75006 Paris, France",48.4627,1.97181,"Val de marne (94) (IDF BP3)",,,"Fuga illum ut pariatur sit. At quia officiis in ipsam minus quam. Provident et dolor rerum nihil consectetur aut.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proposal,UHJvcG9zYWw6cHJvcG9zYWxMb2NhdGlvbjI1,"""22-861335""","Harum alias omnis quibusdam asperiores aliquid ducimus.",0,0,0,0,0,0,"2022-04-18 09:09:46","2022-04-18 09:09:46","2022-04-18 09:09:46",PUBLISHED,"2022-04-18 09:09:46",,,https://capco.dev/project/budget-participatif-idf-3/collect/collecte-des-projets-idf-brp-3/proposals/harum-alias-omnis-quibusdam-asperiores-aliquid-ducimus,VXNlcjp1c2VyNQ==,user,Yes,user@test.com,1,Citoyen,,,"Vélo et mobilités propres",Immobilier,"Fake address, 75006 Paris, France",48.90224,3.40016,"Val de marne (94) (IDF BP3)",,,"Consequuntur omnis sit saepe corrupti vitae consectetur quia. Eligendi vel est repellat asperiores vitae neque optio quod. Consectetur ut expedita ratione vitae qui. Ut repudiandae quod sit asperiores. Et nisi cumque et quod hic.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proposal,UHJvcG9zYWw6cHJvcG9zYWxMb2NhdGlvbjEyMw==,"""22-814223""","Natus ratione et illo architecto.",0,0,0,0,0,0,"2022-04-18 14:03:33","2022-04-18 14:03:33","2022-04-18 14:03:33",PUBLISHED,"2022-04-18 14:03:33",,,https://capco.dev/project/budget-participatif-idf-3/collect/collecte-des-projets-idf-brp-3/proposals/natus-ratione-et-illo-architecto,VXNlcjp1c2VyNQ==,user,Yes,user@test.com,1,Citoyen,,,"Énergies renouvelables et efficacité énergétique",Immobilier,"Fake address, 75006 Paris, France",48.22836,2.00861,"Toute la région (IDF BP3)",,,"Eveniet libero eum aliquid animi omnis. Praesentium molestias dignissimos temporibus quo qui ad iste. Ipsam eaque sed maiores consectetur. Numquam odit eum sint recusandae consequuntur laudantium dolor. Tempore nihil aut rerum aut nulla. Modi amet eaque distinctio numquam vitae eos magnam.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proposal,UHJvcG9zYWw6cHJvcG9zYWxMb2NhdGlvbjE1OQ==,"""22-672320""","Sed ut occaecati inventore excepturi.",0,0,0,0,0,0,"2022-04-19 04:08:03","2022-04-19 04:08:03","2022-04-19 04:08:03",PUBLISHED,"2022-04-19 04:08:03",,,https://capco.dev/project/budget-participatif-idf-3/collect/collecte-des-projets-idf-brp-3/proposals/sed-ut-occaecati-inventore-excepturi,VXNlcjp1c2VyNQ==,user,Yes,user@test.com,1,Citoyen,,,"Vélo et mobilités propres","Thème vide","Fake address, 75006 Paris, France",48.56893,1.97598,"Toute la région (IDF BP3)",,,"Sapiente ut veniam voluptas culpa blanditiis modi iste repellat. Blanditiis occaecati labore delectus praesentium ad. Mollitia omnis explicabo qui nobis. Eveniet nemo asperiores et. Aut inventore officiis cupiditate commodi veritatis tempora labore. Minima voluptatum rerum ea eos.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proposal,UHJvcG9zYWw6cHJvcG9zYWxMb2NhdGlvbjE4Nw==,"""22-396646""","Est quia in atque quam mollitia sequi et nam.",0,0,0,0,0,0,"2022-04-19 20:28:31","2022-04-19 20:28:31","2022-04-19 20:28:31",PUBLISHED,"2022-04-19 20:28:31",,,https://capco.dev/project/budget-participatif-idf-3/collect/collecte-des-projets-idf-brp-3/proposals/est-quia-in-atque-quam-mollitia-sequi-et-nam,VXNlcjp1c2VyNQ==,user,Yes,user@test.com,1,Citoyen,,,"Santé environnementale",Justice,"Fake address, 75006 Paris, France",48.23342,1.93352,"Val de marne (94) (IDF BP3)",,,"Fuga optio placeat quam vitae accusamus id. Sed est at iure debitis soluta itaque corrupti. Sunt eius est et enim doloremque. Animi minima velit numquam ducimus.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proposal,UHJvcG9zYWw6cHJvcG9zYWxMb2NhdGlvbjIxMw==,"""22-993974""","Sed sunt delectus nihil dolorum eum molestiae.",0,0,0,0,0,0,"2022-04-19 23:01:59","2022-04-19 23:01:59","2022-04-19 23:01:59",PUBLISHED,"2022-04-19 23:01:59",,,https://capco.dev/project/budget-participatif-idf-3/collect/collecte-des-projets-idf-brp-3/proposals/sed-sunt-delectus-nihil-dolorum-eum-molestiae,VXNlcjp1c2VyNQ==,user,Yes,user@test.com,1,Citoyen,,,"Vélo et mobilités propres",Transport,"Fake address, 75006 Paris, France",48.97146,2.02528,"Toute la région (IDF BP3)",,,"Voluptatem maxime nobis soluta officia qui. Facilis aliquid reiciendis quas quis quisquam maiores autem exercitationem. Accusantium ipsum quo error sunt optio id eos. Quaerat quod similique dicta sunt.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proposal,UHJvcG9zYWw6cHJvcG9zYWxMb2NhdGlvbjI2,"""22-910800""","Officia et neque pariatur vel laudantium et.",0,0,0,0,0,0,"2022-04-21 03:06:59","2022-04-21 03:06:59","2022-04-21 03:06:59",PUBLISHED,"2022-04-21 03:06:59",,,https://capco.dev/project/budget-participatif-idf-3/collect/collecte-des-projets-idf-brp-3/proposals/officia-et-neque-pariatur-vel-laudantium-et,VXNlcjp1c2VyNQ==,user,Yes,user@test.com,1,Citoyen,,,"Santé environnementale",Transport,"Fake address, 75006 Paris, France",48.48225,2.3361,"Toute la région (IDF BP3)",,,"Dolores dolorum ad in et. Eius facilis dolor fugiat dicta. Voluptas est accusantium eveniet rerum architecto commodi est. Distinctio eum sit hic voluptatum quis debitis et. Qui vel debitis qui ipsum.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
