export_contribution_type,export_proposal_id,export_proposal_published_at,export_proposal_reference,export_proposal_title,export_proposal_summary,export_proposal_description,export_proposal_author_id,export_proposal_votes_total_count,export_proposal_votes_digital_count,export_proposal_votes_paper_count,export_proposal_votes_total_points_count,export_proposal_votes_digital_points_count,export_proposal_votes_paper_points_count,export_proposal_category_name,export_proposal_theme_title,export_proposal_formatted_address,export_proposal_address_lat,export_proposal_address_lng,export_proposal_district_name,"Donnez une fourchette de coût",export_proposal_estimation,export_proposal_illustration,export_proposal_link,export_proposal_status_name,export_proposal_created_at,export_proposal_updated_at,export_proposal_publication_status,export_proposal_undraft_at,export_proposal_trashed_at,export_proposal_trashed_reason,export_proposal_author_username,export_proposal_author_is_email_confirmed,export_proposal_author_email,export_proposal_author_user_type_id,export_proposal_author_user_type_name,export_proposal_official_response,export_proposal_votes_id,export_proposal_votes_ranking,export_proposal_votes_created_at,export_proposal_votes_published_at,export_proposal_votes_published,export_proposal_votes_accounted,export_proposal_votes_anonymous,export_proposal_votes_author_id,export_proposal_votes_author_username,export_proposal_votes_author_is_email_confirmed,export_proposal_votes_author_is_phone_confirmed,export_proposal_votes_author_user_type_id,export_proposal_votes_author_user_type_name,export_proposal_comments_id,export_proposal_comments_body,export_proposal_comments_created_at,export_proposal_comments_published_at,export_proposal_comments_updated_at,export_proposal_comments_author_id,export_proposal_comments_author_username,export_proposal_comments_author_is_email_confirmed,export_proposal_comments_author_user_type_id,export_proposal_comments_author_user_type_name,export_proposal_comments_author_email,export_proposal_comments_pinned,export_proposal_comments_publication_status,export_proposal_comments_vote_id,export_proposal_comments_vote_created_at,export_proposal_comments_vote_published_at,export_proposal_comments_vote_author_id,export_proposal_comments_vote_author_username,export_proposal_comments_vote_author_is_email_confirmed,export_proposal_comments_vote_author_user_type_id,export_proposal_comments_vote_author_user_type_name,export_proposal_news_id,export_proposal_news_title,export_proposal_news_themes,export_proposal_news_linked_projects,export_proposal_news_linked_proposal,export_proposal_news_created_at,export_proposal_news_updated_at,export_proposal_news_published_at,export_proposal_news_publication_status,export_proposal_news_commentable,export_proposal_news_displayed_on_blog,export_proposal_news_authors_id,export_proposal_news_authors_username,export_proposal_news_authors_is_email_confirmed,export_proposal_news_authors_user_type_id,export_proposal_news_authors_user_type_name,export_proposal_news_comments_id,export_proposal_news_comments_body,export_proposal_news_comments_parent,export_proposal_news_comments_created_at,export_proposal_news_comments_published_at,export_proposal_news_comments_updated_at,export_proposal_news_comments_author_id,export_proposal_news_comments_author_username,export_proposal_news_comments_author_is_email_confirmed,export_proposal_news_comments_author_user_type_id,export_proposal_news_comments_author_user_type_name,export_proposal_news_comments_author_email,export_proposal_news_comments_pinned,export_proposal_news_comments_publication_status,export_proposal_news_comments_vote_id,export_proposal_news_comments_vote_created_at,export_proposal_news_comments_vote_published_at,export_proposal_news_comments_vote_author_id,export_proposal_news_comments_vote_author_username,export_proposal_news_comments_vote_author_is_email_confirmed,export_proposal_news_comments_vote_author_user_type_id,export_proposal_news_comments_vote_author_user_type_name,export_proposal_news_comments_reportings_id,export_proposal_news_comments_reportings_created_at,export_proposal_news_comments_reportings_author_id,export_proposal_news_comments_reportings_author_username,export_proposal_news_comments_reportings_author_is_email_confirmed,export_proposal_news_comments_reportings_author_user_type_id,export_proposal_news_comments_reportings_author_user_type_name,export_proposal_reportings_id,export_proposal_reportings_body,export_proposal_reportings_created_at,export_proposal_reportings_author_id,export_proposal_reportings_author_username,export_proposal_reportings_author_is_email_confirmed,export_proposal_reportings_author_user_type_id,export_proposal_reportings_author_user_type_name
export_contribution_type_proposal,proposal24,"2017-02-01 00:02:40","""1337-1""","Proposition 1",,TODO,user1,1,1,0,1,1,0,,,,,,,,,,https://capco.dev/project/bp-avec-vote-classement/collect/collecte-avec-vote-classement-limite/proposals/proposition-1?_locale=fr-FR,,"2017-02-01 00:02:40","2017-02-01 00:02:40",export_proposal_publication_status_published,"2017-02-01 00:02:40",,,lbrunet,Oui,lbrunet@cap-collectif.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,proposal24,"2017-02-01 00:02:40","""1337-1""","Proposition 1",,TODO,user1,1,1,0,1,1,0,,,,,,,,,,https://capco.dev/project/bp-avec-vote-classement/collect/collecte-avec-vote-classement-limite/proposals/proposition-1?_locale=fr-FR,,,,,,,,,,,,,,2051,3,"2015-03-01 00:00:51","2015-03-01 00:00:51",Oui,Oui,Non,user5,user,Oui,Oui,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,proposal24,"2017-02-01 00:02:40","""1337-1""","Proposition 1",,TODO,user1,1,1,0,1,1,0,,,,,,,,,,https://capco.dev/project/bp-avec-vote-classement/collect/collecte-avec-vote-classement-limite/proposals/proposition-1?_locale=fr-FR,,,,,,,,,,,,,,2066,3,"2015-03-01 00:01:02",,Non,Oui,Non,user_not_confirmed,user_not_confirmed,Non,Non,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,proposal25,"2017-02-01 00:02:50","""1337-2""","Proposition 2",,TODO,user1,3,3,0,7,7,0,,,,,,,,,,https://capco.dev/project/bp-avec-vote-classement/collect/collecte-avec-vote-classement-limite/proposals/proposition-2?_locale=fr-FR,,"2017-02-01 00:02:50","2017-02-01 00:02:50",export_proposal_publication_status_published,"2017-02-01 00:02:50",,,lbrunet,Oui,lbrunet@cap-collectif.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,proposal25,"2017-02-01 00:02:50","""1337-2""","Proposition 2",,TODO,user1,3,3,0,7,7,0,,,,,,,,,,https://capco.dev/project/bp-avec-vote-classement/collect/collecte-avec-vote-classement-limite/proposals/proposition-2?_locale=fr-FR,,,,,,,,,,,,,,2052,2,"2015-03-01 00:00:52","2015-03-01 00:00:52",Oui,Oui,Non,user5,user,Oui,Oui,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,proposal25,"2017-02-01 00:02:50","""1337-2""","Proposition 2",,TODO,user1,3,3,0,7,7,0,,,,,,,,,,https://capco.dev/project/bp-avec-vote-classement/collect/collecte-avec-vote-classement-limite/proposals/proposition-2?_locale=fr-FR,,,,,,,,,,,,,,2059,2,"2015-03-01 00:00:56","2015-03-01 00:00:56",Oui,Oui,Non,userMaxime,mauriau,Oui,Oui,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,proposal25,"2017-02-01 00:02:50","""1337-2""","Proposition 2",,TODO,user1,3,3,0,7,7,0,,,,,,,,,,https://capco.dev/project/bp-avec-vote-classement/collect/collecte-avec-vote-classement-limite/proposals/proposition-2?_locale=fr-FR,,,,,,,,,,,,,,2061,1,"2015-03-01 00:00:58","2015-03-01 00:00:58",Oui,Oui,Non,user2,sfavot,Oui,Oui,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,proposal25,"2017-02-01 00:02:50","""1337-2""","Proposition 2",,TODO,user1,3,3,0,7,7,0,,,,,,,,,,https://capco.dev/project/bp-avec-vote-classement/collect/collecte-avec-vote-classement-limite/proposals/proposition-2?_locale=fr-FR,,,,,,,,,,,,,,2064,1,"2015-03-01 00:01:00",,Non,Oui,Non,user_not_confirmed,user_not_confirmed,Non,Non,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,proposal26,"2017-02-01 00:26:00","""1337-3""","Proposition 3",,TODO,user1,3,3,0,8,8,0,,,,,,,,,,https://capco.dev/project/bp-avec-vote-classement/collect/collecte-avec-vote-classement-limite/proposals/proposition-3?_locale=fr-FR,,"2017-02-01 00:26:00","2017-02-01 00:26:00",export_proposal_publication_status_published,"2017-02-01 00:26:00",,,lbrunet,Oui,lbrunet@cap-collectif.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,proposal26,"2017-02-01 00:26:00","""1337-3""","Proposition 3",,TODO,user1,3,3,0,8,8,0,,,,,,,,,,https://capco.dev/project/bp-avec-vote-classement/collect/collecte-avec-vote-classement-limite/proposals/proposition-3?_locale=fr-FR,,,,,,,,,,,,,,2053,1,"2015-03-01 00:00:53","2015-03-01 00:00:53",Oui,Oui,Non,user5,user,Oui,Oui,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,proposal26,"2017-02-01 00:26:00","""1337-3""","Proposition 3",,TODO,user1,3,3,0,8,8,0,,,,,,,,,,https://capco.dev/project/bp-avec-vote-classement/collect/collecte-avec-vote-classement-limite/proposals/proposition-3?_locale=fr-FR,,,,,,,,,,,,,,2060,1,"2015-03-01 00:00:57","2015-03-01 00:00:57",Oui,Oui,Non,userMaxime,mauriau,Oui,Oui,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,proposal26,"2017-02-01 00:26:00","""1337-3""","Proposition 3",,TODO,user1,3,3,0,8,8,0,,,,,,,,,,https://capco.dev/project/bp-avec-vote-classement/collect/collecte-avec-vote-classement-limite/proposals/proposition-3?_locale=fr-FR,,,,,,,,,,,,,,2062,2,"2015-03-01 00:00:59","2015-03-01 00:00:59",Oui,Oui,Non,user2,sfavot,Oui,Oui,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,proposal26,"2017-02-01 00:26:00","""1337-3""","Proposition 3",,TODO,user1,3,3,0,8,8,0,,,,,,,,,,https://capco.dev/project/bp-avec-vote-classement/collect/collecte-avec-vote-classement-limite/proposals/proposition-3?_locale=fr-FR,,,,,,,,,,,,,,2065,2,"2015-03-01 00:01:01",,Non,Oui,Non,user_not_confirmed,user_not_confirmed,Non,Non,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,proposal138,"2017-02-01 00:03:40","""1337-4""","Proposition de Jean 1",,TODO,userJean,0,0,0,0,0,0,,,,,,,,,,https://capco.dev/project/bp-avec-vote-classement/collect/collecte-avec-vote-classement-limite/proposals/proposition-de-jean-1?_locale=fr-FR,,"2017-02-01 00:03:40","2017-02-01 00:03:40",export_proposal_publication_status_published,"2017-02-01 00:03:40",,,Juan,Oui,jean@cap-collectif.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,proposal139,"2017-02-01 00:03:41","""1337-5""","Proposition de Jean 2",,TODO,userJean,0,0,0,0,0,0,,,,,,,,,,https://capco.dev/project/bp-avec-vote-classement/collect/collecte-avec-vote-classement-limite/proposals/proposition-de-jean-2?_locale=fr-FR,,"2017-02-01 00:03:41","2017-02-01 00:03:41",export_proposal_publication_status_published,"2017-02-01 00:03:41",,,Juan,Oui,jean@cap-collectif.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,proposal139bis,"2017-02-01 00:03:41","""1337-555555""","Proposition de Jean Duplicate 2",,TODO,userJeanDuplicates,0,0,0,0,0,0,,,,,,,,,,https://capco.dev/project/bp-avec-vote-classement/collect/collecte-avec-vote-classement-limite/proposals/proposition-de-jean-duplicate-2?_locale=fr-FR,,"2017-02-01 00:03:41","2017-02-01 00:03:41",export_proposal_publication_status_published,"2017-02-01 00:03:41",,,Juan,Oui,jean.duplicates@cap-collectif.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
