export_contribution_type,export_participant_user_id,export_participant_username,export_participant_user_email,export_participant_consent_internal_communication,export_participant_phone,export_participant_type,export_participant_firstname,export_participant_lastname,export_participant_date_of_birth,export_participant_postal_address,export_participant_zip_code,export_participant_city,export_participant_profile_url,export_participant_identification_code,export_user_total_votes,export_user_total_proposals,user_votes_proposal_ids,export_proposal_votes_id,export_proposal_votes_ranking,export_proposal_votes_created_at,export_proposal_reference,export_proposal_title,export_proposal_link,export_proposal_id,export_proposal_published_at,export_proposal_summary,export_proposal_description,export_proposal_votes_total_count,export_proposal_votes_digital_count,export_proposal_votes_paper_count,export_proposal_votes_total_points_count,export_proposal_votes_digital_points_count,export_proposal_votes_paper_points_count,export_proposal_category_name,export_proposal_theme_title,export_proposal_formatted_address,export_proposal_address_lat,export_proposal_address_lng,export_proposal_district_name,"Donnez une fourchette de coût",export_proposal_estimation,export_proposal_illustration,export_proposal_status_name
export_contribution_type_proposal,user1,lbrunet,lbrunet@cap-collectif.com,Oui,+3300000000,Citoyen,Laurent,Brunet,,,,,https://capco.dev/profile/lbrunet,,0,3,,,,,"""1337-1""","Proposition 1",https://capco.dev/project/bp-avec-vote-classement/collect/collecte-avec-vote-classement-limite/proposals/proposition-1?_locale=fr-FR,proposal24,"2017-02-01 00:02:40",,TODO,1,1,0,1,1,0,,,,,,,,,,
export_contribution_type_proposal_vote,user5,user,user@test.com,Oui,+33635492871,,Utilisateur,authentifier,"1996-03-01 00:00:00",,75012,Paris,,DK2AZ554,3,0,,2051,3,"2015-03-01 00:00:51","""1337-1""","Proposition 1",https://capco.dev/project/bp-avec-vote-classement/collect/collecte-avec-vote-classement-limite/proposals/proposition-1?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,user1,lbrunet,lbrunet@cap-collectif.com,Oui,+3300000000,Citoyen,Laurent,Brunet,,,,,https://capco.dev/profile/lbrunet,,0,3,,,,,"""1337-2""","Proposition 2",https://capco.dev/project/bp-avec-vote-classement/collect/collecte-avec-vote-classement-limite/proposals/proposition-2?_locale=fr-FR,proposal25,"2017-02-01 00:02:50",,TODO,3,3,0,7,7,0,,,,,,,,,,
export_contribution_type_proposal_vote,user5,user,user@test.com,Oui,+33635492871,,Utilisateur,authentifier,"1996-03-01 00:00:00",,75012,Paris,,DK2AZ554,3,0,,2052,2,"2015-03-01 00:00:52","""1337-2""","Proposition 2",https://capco.dev/project/bp-avec-vote-classement/collect/collecte-avec-vote-classement-limite/proposals/proposition-2?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,userMaxime,mauriau,maxime.auriau@cap-collectif.com,Oui,,,Maxime,AURIAU,,,,,,,2,0,,2059,2,"2015-03-01 00:00:56","""1337-2""","Proposition 2",https://capco.dev/project/bp-avec-vote-classement/collect/collecte-avec-vote-classement-limite/proposals/proposition-2?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,user2,sfavot,sfavot@cap-collectif.com,Non,+3300000000,,Suzanne,Favot,,,,Antony,,,2,0,,2061,1,"2015-03-01 00:00:58","""1337-2""","Proposition 2",https://capco.dev/project/bp-avec-vote-classement/collect/collecte-avec-vote-classement-limite/proposals/proposition-2?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,user1,lbrunet,lbrunet@cap-collectif.com,Oui,+3300000000,Citoyen,Laurent,Brunet,,,,,https://capco.dev/profile/lbrunet,,0,3,,,,,"""1337-3""","Proposition 3",https://capco.dev/project/bp-avec-vote-classement/collect/collecte-avec-vote-classement-limite/proposals/proposition-3?_locale=fr-FR,proposal26,"2017-02-01 00:26:00",,TODO,3,3,0,8,8,0,,,,,,,,,,
export_contribution_type_proposal_vote,user5,user,user@test.com,Oui,+33635492871,,Utilisateur,authentifier,"1996-03-01 00:00:00",,75012,Paris,,DK2AZ554,3,0,,2053,1,"2015-03-01 00:00:53","""1337-3""","Proposition 3",https://capco.dev/project/bp-avec-vote-classement/collect/collecte-avec-vote-classement-limite/proposals/proposition-3?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,userMaxime,mauriau,maxime.auriau@cap-collectif.com,Oui,,,Maxime,AURIAU,,,,,,,2,0,,2060,1,"2015-03-01 00:00:57","""1337-3""","Proposition 3",https://capco.dev/project/bp-avec-vote-classement/collect/collecte-avec-vote-classement-limite/proposals/proposition-3?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,user2,sfavot,sfavot@cap-collectif.com,Non,+3300000000,,Suzanne,Favot,,,,Antony,,,2,0,,2062,2,"2015-03-01 00:00:59","""1337-3""","Proposition 3",https://capco.dev/project/bp-avec-vote-classement/collect/collecte-avec-vote-classement-limite/proposals/proposition-3?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,
