export_contribution_type,export_participant_user_id,export_participant_username,export_participant_user_email,export_participant_consent_internal_communication,export_participant_phone,export_participant_type,export_participant_firstname,export_participant_lastname,export_participant_date_of_birth,export_participant_postal_address,export_participant_zip_code,export_participant_city,export_participant_profile_url,export_participant_identification_code,export_user_total_proposals,user_votes_proposal_ids,export_proposal_reference,export_proposal_title,export_proposal_link,export_proposal_id,export_proposal_published_at,export_proposal_summary,export_proposal_description,export_proposal_category_name,export_proposal_theme_title,export_proposal_formatted_address,export_proposal_address_lat,export_proposal_address_lng,export_proposal_district_name,"Zone d’impact","Je souhaite...","Grand Projet","Informations complémentaires sur mon projet","Date prévisionnelle de début de projet","Date prévisionnelle de fin de projet","Montant total du projet","Montant de la subvention sollicitée","Informations sur le porteur de projet","N° du dossier MesDémarches","Je suis...","Raison sociale du porteur de projet","Projet local","Informations complémentaires sur mon projet","Bénéfices environnementaux attendus pour les Franciliens","Date prévisionnelle de début de projet","Date prévisionnelle de fin de projet","Montant de la subvention sollicitée","Montant total du projet","Plan de financement","Justificatif des dépenses estimées","Informations sur le porteur de projet","Je suis...","Avez-vous un numéro SIRET ? (Pour les associations)","Numéro SIRET","Raison sociale","Adresse du siège social","Prénom et Nom du représentant légal","Qualité du représentant légal","Avis de situation SIREN","Composition du conseil d'administration et du bureau","Statuts en vigueur datés et signés","RIB au nom de la raison sociale et à l'adresse du siège social","Charte régionale des valeurs de la République et de la laïcité signée par le représentant légal","Avez-vous un numéro RNA (ou WALDEC pour les associations créées avant 2010)","Numéro RNA (ou WALDEC pour les associations créées avant 2010)","Raison sociale","Adresse du siège social","Prénom et Nom du représentant légal","Qualité du représentant légal","Composition du conseil d'administration et du bureau","Récépissé de la déclaration en préfecture (greffe des associations)","RIB au nom de la raison sociale et à l'adresse du siège social","Statuts en vigueur datés et signés","Charte régionale des valeurs de la République et de la laïcité signée par le représentant légal","Raison sociale","Adresse du siège social","Prénom et Nom du représentant légal","Qualité du représentant légal","RIB au nom de la raison sociale et à l'adresse du siège social","Charte régionale des valeurs de la République et de la laïcité signée par le représentant légal","Numéro SIRET","Raison sociale","Adresse du siège social","Prénom & nom du représentant légal","Qualité du représentant légal","Avis de situation SIREN","Attestation de régularité fiscale de moins de 3 mois","Attestation de régularité sociale de moins de 3 mois","Chiffres d'affaires comptable","Extrait KBIS","RIB au nom de la raison sociale et à l'adresse du siège social","Charte régionale des valeurs de la République et de la laïcité signée par le représentant légal","Numéro SIRET","Raison sociale","Adresse du siège social","Prénom & nom du représentant légal","Qualité du représentant légal","Avis de situation SIREN","RIB au nom de la raison sociale et à l'adresse du siège social",export_proposal_estimation,export_proposal_illustration,export_proposal_status_name
export_contribution_type_proposal,userKiroule,ptondereau,pierre@cap-collectif.com,Non,,Citoyen,Pierre,Tondereau,,,,,https://capco.dev/profile/ptondereau,,2,,"""18-1""","Mon grand projet",https://capco.dev/project/budget-participatif-idf/collect/collecte-des-projets-idf-privee/proposals/mon-grand-projet?_locale=fr-FR,proposalIdf1,"2020-02-01 00:00:01",,"Je ne crois pas qu'il y ai de petit ou de moyen projet.",,,,,,,,"Renseigner la présentation de mon Grand Projet",,,,,,,,,"Un autre organisme privé",,,,,,,,,,,,"Un autre organisme privé",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nouveau projet"
export_contribution_type_proposal,userJean,Juan,jean@cap-collectif.com,Non,,Citoyen,Jean,Treibert,,,,,https://capco.dev/profile/juan1,,2,,"""18-2""","Mon projet local en tant qu'entreprise",https://capco.dev/project/budget-participatif-idf/collect/collecte-des-projets-idf-privee/proposals/mon-projet-local-en-tant-quentreprise?_locale=fr-FR,proposalIdf2,"2020-02-01 00:00:02",,"Plus de frites à la cantine.","Espaces verts et biodiversité",,,,,"Val de marne (94)",,"Déposer un Projet Local",,,,,,,,,,,,,,,,,,,,,,"J’ai un numéro SIRET",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nouveau projet"
export_contribution_type_proposal,userIan,"Ian apprenti DevOps",ian@cap-collectif.com,Non,,,Ian,DUCROT--THOLLON-POMMEROL,,,,,https://capco.dev/profile/ianapprentidevops,,5,,"""18-3""","Mon projet local en tant qu'association avec SIRET",https://capco.dev/project/budget-participatif-idf/collect/collecte-des-projets-idf-privee/proposals/mon-projet-local-en-tant-quassociation-avec-siret?_locale=fr-FR,proposalIdf3,"2020-02-01 00:00:03",,"Faire une boite à dons.","Espaces verts et biodiversité",,,,,"Toute la région",,"Déposer un Projet Local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nouveau projet"
export_contribution_type_proposal,userIan,"Ian apprenti DevOps",ian@cap-collectif.com,Non,,,Ian,DUCROT--THOLLON-POMMEROL,,,,,https://capco.dev/profile/ianapprentidevops,,5,,"""18-4""","Mon projet local en tant qu'association avec RNA",https://capco.dev/project/budget-participatif-idf/collect/collecte-des-projets-idf-privee/proposals/mon-projet-local-en-tant-quassociation-avec-rna?_locale=fr-FR,proposalIdf4,"2020-02-01 00:00:04",,"Des stationnements à vélo pluriels partout dans la ville !","Propreté, prévention et gestion des déchets, économie circulaire",,,,,"Toute la région",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nouveau projet"
export_contribution_type_proposal,userIan,"Ian apprenti DevOps",ian@cap-collectif.com,Non,,,Ian,DUCROT--THOLLON-POMMEROL,,,,,https://capco.dev/profile/ianapprentidevops,,5,,"""18-5""","Mon projet local en tant qu'association sans SIRET ni RNA",https://capco.dev/project/budget-participatif-idf/collect/collecte-des-projets-idf-privee/proposals/mon-projet-local-en-tant-quassociation-sans-siret-ni-rna?_locale=fr-FR,proposalIdf5,"2020-02-01 00:00:05",,"Végétalisons les champs libres !","Propreté, prévention et gestion des déchets, économie circulaire",,,,,"Toute la région",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nouveau projet"
export_contribution_type_proposal,userJean,Juan,jean@cap-collectif.com,Non,,Citoyen,Jean,Treibert,,,,,https://capco.dev/profile/juan1,,2,,"""18-6""","Mon projet local en tant qu'organisme public",https://capco.dev/project/budget-participatif-idf/collect/collecte-des-projets-idf-privee/proposals/mon-projet-local-en-tant-quorganisme-public?_locale=fr-FR,proposalIdf6,"2020-02-01 00:00:06",,"Préserver la biodiversité ordinaire de nos quartiers…","Propreté, prévention et gestion des déchets, économie circulaire",,,,,"Val de marne (94)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nouveau projet"
export_contribution_type_proposal,userIan,"Ian apprenti DevOps",ian@cap-collectif.com,Non,,,Ian,DUCROT--THOLLON-POMMEROL,,,,,https://capco.dev/profile/ianapprentidevops,,5,,"""18-7""","Mon projet en brouillon",https://capco.dev/project/budget-participatif-idf/collect/collecte-des-projets-idf-privee/proposals/mon-projet-en-brouillon?_locale=fr-FR,proposalIdf7,,,"Faire une boite…","Propreté, prévention et gestion des déchets, économie circulaire",,,,,"Toute la région",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nouveau projet"
export_contribution_type_proposal,userIan,"Ian apprenti DevOps",ian@cap-collectif.com,Non,,,Ian,DUCROT--THOLLON-POMMEROL,,,,,https://capco.dev/profile/ianapprentidevops,,5,,"""18-8""","Mon projet qui ne sera pas analysé",https://capco.dev/project/budget-participatif-idf/collect/collecte-des-projets-idf-privee/proposals/mon-projet-qui-ne-sera-pas-analyse?_locale=fr-FR,proposalIdf8,"2020-02-01 00:00:08",,"Mettre en place Kubernetes.","Propreté, prévention et gestion des déchets, économie circulaire",,,,,"Toute la région",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nouveau projet"
export_contribution_type_proposal,userIan,"Ian apprenti DevOps",ian@cap-collectif.com,Non,,,Ian,DUCROT--THOLLON-POMMEROL,,,,,https://capco.dev/profile/ianapprentidevops,,5,,"""18-9""","Mon projet mis à la corbeille",https://capco.dev/project/budget-participatif-idf/collect/collecte-des-projets-idf-privee/proposals/mon-projet-mis-a-la-corbeille?_locale=fr-FR,proposalIdf9,"2020-02-01 00:00:09",,"Organiser une rétrospective à distance.","Propreté, prévention et gestion des déchets, économie circulaire",,,,,"Toute la région",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nouveau projet"
export_contribution_type_proposal,userKiroule,ptondereau,pierre@cap-collectif.com,Non,,Citoyen,Pierre,Tondereau,,,,,https://capco.dev/profile/ptondereau,,2,,"""18-10""","Mon autre grand projet",https://capco.dev/project/budget-participatif-idf/collect/collecte-des-projets-idf-privee/proposals/mon-autre-grand-projet?_locale=fr-FR,proposalIdf10,"2020-02-01 00:00:02",,"Je ne crois pas qu'il y ai d'autres bon ou mauvais projets.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
