export_contribution_type,export_proposal_id,export_proposal_published_at,export_proposal_reference,export_proposal_title,export_proposal_summary,export_proposal_description,export_proposal_author_id,export_proposal_category_name,export_proposal_theme_title,export_proposal_formatted_address,export_proposal_address_lat,export_proposal_address_lng,export_proposal_district_name,"Hap ou Noel ?","Votre fleuve préféré","Comme tu as choisi Hap et le Gange, je t'affiche cette question (dsl jui pas inspiré)","Par qui Hap a t-il été créé ?","Hap est-il un homme bon ?","Comment ça ce n'est pas un homme bon, comment oses-tu ?","Noel a t-il un rapport avec la fête de Noël ?","De quelle couleur est le chapeau de Noël ?","Plutôt Marvel ou DC ?","T'aimes bien Superman ?","T'aimes bien Batman ?","T'aimes bien Supergirl ?","T'aimes bien Iron Man ?","T'aimes bien Luke Cage ?","T'aimes bien Thor ?","C'est la fin mais j'affiche quand même des choix",export_proposal_estimation,export_proposal_illustration,export_proposal_link,export_proposal_status_name,export_proposal_created_at,export_proposal_updated_at,export_proposal_publication_status,export_proposal_undraft_at,export_proposal_trashed_at,export_proposal_trashed_reason,export_proposal_author_username,export_proposal_author_is_email_confirmed,export_proposal_author_email,export_proposal_author_user_type_id,export_proposal_author_user_type_name,export_proposal_official_response,export_proposal_votes_published_at,export_proposal_votes_published,export_proposal_votes_accounted,export_proposal_votes_anonymous,export_proposal_votes_author_id,export_proposal_votes_author_username,export_proposal_votes_author_is_email_confirmed,export_proposal_votes_author_is_phone_confirmed,export_proposal_votes_author_user_type_id,export_proposal_votes_author_user_type_name,export_proposal_comments_id,export_proposal_comments_body,export_proposal_comments_created_at,export_proposal_comments_published_at,export_proposal_comments_updated_at,export_proposal_comments_author_id,export_proposal_comments_author_username,export_proposal_comments_author_is_email_confirmed,export_proposal_comments_author_user_type_id,export_proposal_comments_author_user_type_name,export_proposal_comments_author_email,export_proposal_comments_pinned,export_proposal_comments_publication_status,export_proposal_comments_vote_id,export_proposal_comments_vote_created_at,export_proposal_comments_vote_published_at,export_proposal_comments_vote_author_id,export_proposal_comments_vote_author_username,export_proposal_comments_vote_author_is_email_confirmed,export_proposal_comments_vote_author_user_type_id,export_proposal_comments_vote_author_user_type_name,export_proposal_news_id,export_proposal_news_title,export_proposal_news_themes,export_proposal_news_linked_projects,export_proposal_news_linked_proposal,export_proposal_news_created_at,export_proposal_news_updated_at,export_proposal_news_published_at,export_proposal_news_publication_status,export_proposal_news_commentable,export_proposal_news_displayed_on_blog,export_proposal_news_authors_id,export_proposal_news_authors_username,export_proposal_news_authors_is_email_confirmed,export_proposal_news_authors_user_type_id,export_proposal_news_authors_user_type_name,export_proposal_news_comments_id,export_proposal_news_comments_body,export_proposal_news_comments_parent,export_proposal_news_comments_created_at,export_proposal_news_comments_published_at,export_proposal_news_comments_updated_at,export_proposal_news_comments_author_id,export_proposal_news_comments_author_username,export_proposal_news_comments_author_is_email_confirmed,export_proposal_news_comments_author_user_type_id,export_proposal_news_comments_author_user_type_name,export_proposal_news_comments_author_email,export_proposal_news_comments_pinned,export_proposal_news_comments_publication_status,export_proposal_news_comments_vote_id,export_proposal_news_comments_vote_created_at,export_proposal_news_comments_vote_published_at,export_proposal_news_comments_vote_author_id,export_proposal_news_comments_vote_author_username,export_proposal_news_comments_vote_author_is_email_confirmed,export_proposal_news_comments_vote_author_user_type_id,export_proposal_news_comments_vote_author_user_type_name,export_proposal_news_comments_reportings_id,export_proposal_news_comments_reportings_created_at,export_proposal_news_comments_reportings_author_id,export_proposal_news_comments_reportings_author_username,export_proposal_news_comments_reportings_author_is_email_confirmed,export_proposal_news_comments_reportings_author_user_type_id,export_proposal_news_comments_reportings_author_user_type_name,export_proposal_reportings_id,export_proposal_reportings_body,export_proposal_reportings_created_at,export_proposal_reportings_author_id,export_proposal_reportings_author_username,export_proposal_reportings_author_is_email_confirmed,export_proposal_reportings_author_user_type_id,export_proposal_reportings_author_user_type_name
export_contribution_type_proposal,proposal101,"2017-02-01 10:01:00","""114-101""","Proposition sans titre",,"Je suis une proposition crée en tant que fusion avec mon titre (FR) par défaut",user1,,,,,,,,,,,,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposition-sans-titre?_locale=fr-FR,,"2017-02-01 10:01:00",,export_proposal_publication_status_published,"2017-02-01 10:01:00",,,lbrunet,Oui,lbrunet@cap-collectif.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,proposal40,"2017-03-13 00:21:00","""114-140""","Proposal 40",,"Contenu 40",user1,,,,,,,,,,,,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-40?_locale=fr-FR,,"2017-03-13 00:21:00","2017-03-13 00:21:00",export_proposal_publication_status_published,"2017-03-13 00:21:00",,,lbrunet,Oui,lbrunet@cap-collectif.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,proposal41,"2017-03-14 00:21:00","""114-141""","Proposal 41",,"Contenu 41",user1,,,,,,,,,,,,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-41?_locale=fr-FR,,"2017-03-14 00:21:00","2017-03-14 00:21:00",export_proposal_publication_status_published,"2017-03-14 00:21:00",,,lbrunet,Oui,lbrunet@cap-collectif.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,proposal42,"2017-03-15 00:21:00","""114-142""","Proposal 42",,"Contenu 42",user1,,,,,,,,,,,,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-42?_locale=fr-FR,,"2017-03-15 00:21:00","2017-03-15 00:21:00",export_proposal_publication_status_published,"2017-03-15 00:21:00",,,lbrunet,Oui,lbrunet@cap-collectif.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,proposal43,"2017-03-16 00:21:00","""114-143""","Proposal 43",,"Contenu 43",user1,,,,,,,,,,,,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-43?_locale=fr-FR,,"2017-03-16 00:21:00","2017-03-16 00:21:00",export_proposal_publication_status_published,"2017-03-16 00:21:00",,,lbrunet,Oui,lbrunet@cap-collectif.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,proposal44,"2017-03-17 00:21:00","""114-144""","Proposal 44",,"Contenu 44",user1,,,,,,,,,,,,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-44?_locale=fr-FR,,"2017-03-17 00:21:00","2017-03-17 00:21:00",export_proposal_publication_status_published,"2017-03-17 00:21:00",,,lbrunet,Oui,lbrunet@cap-collectif.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,proposal45,"2017-03-18 00:21:00","""114-145""","Proposal 45",,"Contenu 45",user1,,,,,,,,,,,,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-45?_locale=fr-FR,,"2017-03-18 00:21:00","2017-03-18 00:21:00",export_proposal_publication_status_published,"2017-03-18 00:21:00",,,lbrunet,Oui,lbrunet@cap-collectif.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,proposal46,"2017-03-19 00:21:00","""114-146""","Proposal 46",,"Contenu 46",user1,,,,,,,,,,,,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-46?_locale=fr-FR,,"2017-03-19 00:21:00","2017-03-19 00:21:00",export_proposal_publication_status_published,"2017-03-19 00:21:00",,,lbrunet,Oui,lbrunet@cap-collectif.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,proposal47,"2017-03-20 00:21:00","""114-147""","Proposal 47",,"Contenu 47",user1,,,,,,,,,,,,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-47?_locale=fr-FR,,"2017-03-20 00:21:00","2017-03-20 00:21:00",export_proposal_publication_status_published,"2017-03-20 00:21:00",,,lbrunet,Oui,lbrunet@cap-collectif.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,proposal48,"2017-03-21 00:21:00","""114-148""","Proposal 48",,"Contenu 48",user1,,,,,,,,,,,,,,,,,,,,,,,,,https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-48?_locale=fr-FR,,"2017-03-21 00:21:00","2017-03-21 00:21:00",export_proposal_publication_status_published,"2017-03-21 00:21:00",,,lbrunet,Oui,lbrunet@cap-collectif.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
