export_contribution_type,export_participant_user_id,export_participant_username,export_participant_user_email,export_participant_consent_internal_communication,export_participant_phone,export_participant_type,export_participant_firstname,export_participant_lastname,export_participant_date_of_birth,export_participant_postal_address,export_participant_zip_code,export_participant_city,export_participant_profile_url,export_participant_identification_code,export_user_total_proposals,user_votes_proposal_ids,export_proposal_reference,export_proposal_title,export_proposal_link,export_proposal_id,export_proposal_published_at,export_proposal_summary,export_proposal_description,export_proposal_category_name,export_proposal_theme_title,export_proposal_formatted_address,export_proposal_address_lat,export_proposal_address_lng,export_proposal_district_name,"Hap ou Noel ?","Votre fleuve préféré","Comme tu as choisi Hap et le Gange, je t'affiche cette question (dsl jui pas inspiré)","Par qui Hap a t-il été créé ?","Hap est-il un homme bon ?","Comment ça ce n'est pas un homme bon, comment oses-tu ?","Noel a t-il un rapport avec la fête de Noël ?","De quelle couleur est le chapeau de Noël ?","Plutôt Marvel ou DC ?","T'aimes bien Superman ?","T'aimes bien Batman ?","T'aimes bien Supergirl ?","T'aimes bien Iron Man ?","T'aimes bien Luke Cage ?","T'aimes bien Thor ?","C'est la fin mais j'affiche quand même des choix",export_proposal_estimation,export_proposal_illustration,export_proposal_status_name
export_contribution_type_proposal,user1,lbrunet,lbrunet@cap-collectif.com,Oui,+3300000000,Citoyen,Laurent,Brunet,,,,,https://capco.dev/profile/lbrunet,,62,,"""114-101""","Proposition sans titre",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposition-sans-titre?_locale=fr-FR,proposal101,"2017-02-01 10:01:00",,"Je suis une proposition crée en tant que fusion avec mon titre (FR) par défaut",,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,user1,lbrunet,lbrunet@cap-collectif.com,Oui,+3300000000,Citoyen,Laurent,Brunet,,,,,https://capco.dev/profile/lbrunet,,62,,"""114-140""","Proposal 40",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-40?_locale=fr-FR,proposal40,"2017-03-13 00:21:00",,"Contenu 40",,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,user1,lbrunet,lbrunet@cap-collectif.com,Oui,+3300000000,Citoyen,Laurent,Brunet,,,,,https://capco.dev/profile/lbrunet,,62,,"""114-141""","Proposal 41",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-41?_locale=fr-FR,proposal41,"2017-03-14 00:21:00",,"Contenu 41",,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,user1,lbrunet,lbrunet@cap-collectif.com,Oui,+3300000000,Citoyen,Laurent,Brunet,,,,,https://capco.dev/profile/lbrunet,,62,,"""114-142""","Proposal 42",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-42?_locale=fr-FR,proposal42,"2017-03-15 00:21:00",,"Contenu 42",,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,user1,lbrunet,lbrunet@cap-collectif.com,Oui,+3300000000,Citoyen,Laurent,Brunet,,,,,https://capco.dev/profile/lbrunet,,62,,"""114-143""","Proposal 43",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-43?_locale=fr-FR,proposal43,"2017-03-16 00:21:00",,"Contenu 43",,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,user1,lbrunet,lbrunet@cap-collectif.com,Oui,+3300000000,Citoyen,Laurent,Brunet,,,,,https://capco.dev/profile/lbrunet,,62,,"""114-144""","Proposal 44",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-44?_locale=fr-FR,proposal44,"2017-03-17 00:21:00",,"Contenu 44",,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,user1,lbrunet,lbrunet@cap-collectif.com,Oui,+3300000000,Citoyen,Laurent,Brunet,,,,,https://capco.dev/profile/lbrunet,,62,,"""114-145""","Proposal 45",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-45?_locale=fr-FR,proposal45,"2017-03-18 00:21:00",,"Contenu 45",,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,user1,lbrunet,lbrunet@cap-collectif.com,Oui,+3300000000,Citoyen,Laurent,Brunet,,,,,https://capco.dev/profile/lbrunet,,62,,"""114-146""","Proposal 46",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-46?_locale=fr-FR,proposal46,"2017-03-19 00:21:00",,"Contenu 46",,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,user1,lbrunet,lbrunet@cap-collectif.com,Oui,+3300000000,Citoyen,Laurent,Brunet,,,,,https://capco.dev/profile/lbrunet,,62,,"""114-147""","Proposal 47",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-47?_locale=fr-FR,proposal47,"2017-03-20 00:21:00",,"Contenu 47",,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,user1,lbrunet,lbrunet@cap-collectif.com,Oui,+3300000000,Citoyen,Laurent,Brunet,,,,,https://capco.dev/profile/lbrunet,,62,,"""114-148""","Proposal 48",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-48?_locale=fr-FR,proposal48,"2017-03-21 00:21:00",,"Contenu 48",,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,user1,lbrunet,lbrunet@cap-collectif.com,Oui,+3300000000,Citoyen,Laurent,Brunet,,,,,https://capco.dev/profile/lbrunet,,62,,"""114-149""","Proposal 49",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-49?_locale=fr-FR,proposal49,"2017-03-22 00:21:00",,"Contenu 49",,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,user1,lbrunet,lbrunet@cap-collectif.com,Oui,+3300000000,Citoyen,Laurent,Brunet,,,,,https://capco.dev/profile/lbrunet,,62,,"""114-150""","Proposal 50",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-50?_locale=fr-FR,proposal50,"2017-03-23 00:21:00",,"Contenu 50",,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,user1,lbrunet,lbrunet@cap-collectif.com,Oui,+3300000000,Citoyen,Laurent,Brunet,,,,,https://capco.dev/profile/lbrunet,,62,,"""114-151""","Proposal 51",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-51?_locale=fr-FR,proposal51,"2017-03-24 00:21:00",,"Contenu 51",,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,user1,lbrunet,lbrunet@cap-collectif.com,Oui,+3300000000,Citoyen,Laurent,Brunet,,,,,https://capco.dev/profile/lbrunet,,62,,"""114-152""","Proposal 52",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-52?_locale=fr-FR,proposal52,"2017-03-25 00:21:00",,"Contenu 52",,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,user1,lbrunet,lbrunet@cap-collectif.com,Oui,+3300000000,Citoyen,Laurent,Brunet,,,,,https://capco.dev/profile/lbrunet,,62,,"""114-153""","Proposal 53",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-53?_locale=fr-FR,proposal53,"2017-03-26 00:21:00",,"Contenu 53",,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,user1,lbrunet,lbrunet@cap-collectif.com,Oui,+3300000000,Citoyen,Laurent,Brunet,,,,,https://capco.dev/profile/lbrunet,,62,,"""114-154""","Proposal 54",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-54?_locale=fr-FR,proposal54,"2017-03-27 00:21:00",,"Contenu 54",,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,user1,lbrunet,lbrunet@cap-collectif.com,Oui,+3300000000,Citoyen,Laurent,Brunet,,,,,https://capco.dev/profile/lbrunet,,62,,"""114-155""","Proposal 55",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-55?_locale=fr-FR,proposal55,"2017-03-28 00:21:00",,"Contenu 55",,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,user1,lbrunet,lbrunet@cap-collectif.com,Oui,+3300000000,Citoyen,Laurent,Brunet,,,,,https://capco.dev/profile/lbrunet,,62,,"""114-156""","Proposal 56",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-56?_locale=fr-FR,proposal56,"2017-03-29 00:21:00",,"Contenu 56",,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,user1,lbrunet,lbrunet@cap-collectif.com,Oui,+3300000000,Citoyen,Laurent,Brunet,,,,,https://capco.dev/profile/lbrunet,,62,,"""114-157""","Proposal 57",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-57?_locale=fr-FR,proposal57,"2017-03-30 00:21:00",,"Contenu 57",,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,user1,lbrunet,lbrunet@cap-collectif.com,Oui,+3300000000,Citoyen,Laurent,Brunet,,,,,https://capco.dev/profile/lbrunet,,62,,"""114-158""","Proposal 58",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-58?_locale=fr-FR,proposal58,"2017-03-31 00:21:00",,"Contenu 58",,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,user1,lbrunet,lbrunet@cap-collectif.com,Oui,+3300000000,Citoyen,Laurent,Brunet,,,,,https://capco.dev/profile/lbrunet,,62,,"""114-159""","Proposal 59",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-59?_locale=fr-FR,proposal59,"2017-04-01 00:21:00",,"Contenu 59",,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,user1,lbrunet,lbrunet@cap-collectif.com,Oui,+3300000000,Citoyen,Laurent,Brunet,,,,,https://capco.dev/profile/lbrunet,,62,,"""114-160""","Proposal 60",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-60?_locale=fr-FR,proposal60,"2017-04-02 00:21:00",,"Contenu 60",,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,user1,lbrunet,lbrunet@cap-collectif.com,Oui,+3300000000,Citoyen,Laurent,Brunet,,,,,https://capco.dev/profile/lbrunet,,62,,"""114-161""","Proposal 61",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-61?_locale=fr-FR,proposal61,"2017-04-03 00:21:00",,"Contenu 61",,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,user1,lbrunet,lbrunet@cap-collectif.com,Oui,+3300000000,Citoyen,Laurent,Brunet,,,,,https://capco.dev/profile/lbrunet,,62,,"""114-162""","Proposal 62",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-62?_locale=fr-FR,proposal62,"2017-04-04 00:21:00",,"Contenu 62",,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,user1,lbrunet,lbrunet@cap-collectif.com,Oui,+3300000000,Citoyen,Laurent,Brunet,,,,,https://capco.dev/profile/lbrunet,,62,,"""114-163""","Proposal 63",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/proposal-63?_locale=fr-FR,proposal63,"2017-04-05 00:21:00",,"Contenu 63",,,,,,,,,,,,,,,,,,,,,,,,,
