export_contribution_type,export_participant_user_id,export_participant_username,export_participant_user_email,export_participant_consent_internal_communication,export_participant_phone,export_participant_type,export_participant_firstname,export_participant_lastname,export_participant_date_of_birth,export_participant_postal_address,export_participant_zip_code,export_participant_city,export_participant_profile_url,export_participant_identification_code,export_user_total_proposals,user_votes_proposal_ids,export_proposal_reference,export_proposal_title,export_proposal_link,export_proposal_id,export_proposal_published_at,export_proposal_summary,export_proposal_description,export_proposal_category_name,export_proposal_theme_title,export_proposal_formatted_address,export_proposal_address_lat,export_proposal_address_lng,export_proposal_district_name,"Nouvelle section 3","Evaluez l'importance de votre proposition","Evaluez le coût de votre proposition",Documents,Bilans,export_proposal_estimation,export_proposal_illustration,export_proposal_status_name
export_contribution_type_proposal,userWelcomattic,welcomattic,msantostefano@cap-collectif.com,Non,,Citoyen,Mathieu,Santostefano,,,,,https://capco.dev/profile/welcomattic,,2,,"""1-1""","Ravalement de la façade de la bibliothèque municipale",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/ravalement-de-la-facade-de-la-bibliotheque-municipale?_locale=fr-FR,proposal1,"2017-02-01 00:00:00",,"Insert Long Text here",Politique,Justice,"10 Cours des Alliés, 35000 Rennes, France",48.1051781,-1.6744521,Beauregard,,,,,,,,"En cours"
export_contribution_type_proposal,user5,user,user@test.com,Oui,+33635492871,Citoyen,Utilisateur,authentifier,"1996-03-01 00:00:00",,75012,Paris,https://capco.dev/profile/user,DK2AZ554,1,,"""1-2""","Rénovation du gymnase",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/renovation-du-gymnase?_locale=fr-FR,proposal2,"2017-02-01 00:03:00",,"On va en faire un beau gymnase, promis :)",Aménagement,Transport,"263 Avenue Général Leclerc, 35700 Rennes, France",48.119109,-1.6447289,"Nord Saint-Martin",,,,,,,https://capco.dev/media/default/0001/01/gymnase.jpg,Approuvé
export_contribution_type_proposal,userWelcomattic,welcomattic,msantostefano@cap-collectif.com,Non,,Citoyen,Mathieu,Santostefano,,,,,https://capco.dev/profile/welcomattic,,2,,"""1-3""","Installation de bancs sur la place de la mairie",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/installation-de-bancs-sur-la-place-de-la-mairie?_locale=fr-FR,proposal3,"2017-02-01 00:04:00","Un beau résumé","Insert Long Text here",Politique,Justice,"Place de la Mairie, 35000 Rennes, France",48.1113828,-1.6792624,Beaulieu,,,,,,,,"En cours"
export_contribution_type_proposal,user7,user7,user7@cap-collectif.com,Oui,,Citoyen,firstname7,lastname7,,,,,https://capco.dev/profile/user7,,2,,"""1-4""","Plantation de tulipes dans les jardinière du parking de l'église avec un titre très long pour tester la césure",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/plantation-de-tulipes-dans-les-jardiniere-du-parking-de-leglise-avec-un-titre-tres-long-pour-tester-la-cesure?_locale=fr-FR,proposal4,"2017-02-01 00:04:19",,"Insert Long Text here",,Justice,"45 Rue de Brest, 35000 Rennes, France",48.1133495,-1.6984153,"Nord Saint-Martin",,,,,,,,
export_contribution_type_proposal,user7,user7,user7@cap-collectif.com,Oui,,Citoyen,firstname7,lastname7,,,,,https://capco.dev/profile/user7,,2,,"""1-5""","Proposition à la corbeille (visible)",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/proposition-a-la-corbeille-visible?_locale=fr-FR,proposal5,"2017-02-01 00:05:00",,"Insert Long Text here",,"Thème vide",,,,"Maurepas Patton",,,,,,,,Rejeté
export_contribution_type_proposal,userAdmin,admin,admin@test.com,Non,+33675492871,Citoyen,Administrateur,authentifier,,"26 Rue Claude Tillier, 75012 Paris, France",,,https://capco.dev/profile/admin,,4,,"""1-6""","Proposition à la corbeille (invisible)",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/proposition-a-la-corbeille-invisible?_locale=fr-FR,proposal6,"2017-02-01 00:06:00",,"Insert Long Text here",,Justice,,,,"Maurepas Patton",,,,,,,,"En cours"
export_contribution_type_proposal,userAdmin,admin,admin@test.com,Non,+33675492871,Citoyen,Administrateur,authentifier,,"26 Rue Claude Tillier, 75012 Paris, France",,,https://capco.dev/profile/admin,,4,,"""1-7""","Proposition pas encore votable",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/proposition-pas-encore-votable?_locale=fr-FR,proposal10,"2017-02-01 00:07:00",,TODO,,Justice,,,,"Maurepas Patton",,,,,,100,,"En cours"
export_contribution_type_proposal,userAdmin,admin,admin@test.com,Non,+33675492871,Citoyen,Administrateur,authentifier,,"26 Rue Claude Tillier, 75012 Paris, France",,,https://capco.dev/profile/admin,,4,,"""1-8""","Proposition plus votable",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/proposition-plus-votable?_locale=fr-FR,proposal11,"2017-02-01 00:08:00",,TODO,,Justice,,,,"Maurepas Patton",,,,,,100,,"En cours"
export_contribution_type_proposal,userSpyl,spyl,aurelien@cap-collectif.com,Oui,,Citoyen,Aurélien,David,,,,,https://capco.dev/profile/spyl,,0,,"""1-9""","Proposition brouillon 1",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/proposition-brouillon-1?_locale=fr-FR,proposal19,,,TODO,,Justice,,,,"Maurepas Patton",,,,,,,,
export_contribution_type_proposal,user1,lbrunet,lbrunet@cap-collectif.com,Oui,+3300000000,Citoyen,Laurent,Brunet,,,,,https://capco.dev/profile/lbrunet,,50,,"""1-10""","Proposition brouillon 2",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/proposition-brouillon-2?_locale=fr-FR,proposal20,,,TODO,,Justice,,,,"Maurepas Patton",,,,,,,,
