export_contribution_type,export_participant_user_id,export_participant_username,export_participant_user_email,export_participant_consent_internal_communication,export_participant_phone,export_participant_type,export_participant_firstname,export_participant_lastname,export_participant_date_of_birth,export_participant_postal_address,export_participant_zip_code,export_participant_city,export_participant_profile_url,export_participant_identification_code,export_user_total_votes,export_user_total_proposals,user_votes_proposal_ids,export_proposal_votes_id,export_proposal_votes_ranking,export_proposal_votes_created_at,export_proposal_reference,export_proposal_title,export_proposal_link,export_proposal_id,export_proposal_published_at,export_proposal_summary,export_proposal_description,export_proposal_votes_total_count,export_proposal_votes_digital_count,export_proposal_votes_paper_count,export_proposal_votes_total_points_count,export_proposal_votes_digital_points_count,export_proposal_votes_paper_points_count,export_proposal_category_name,export_proposal_theme_title,export_proposal_formatted_address,export_proposal_address_lat,export_proposal_address_lng,export_proposal_district_name,export_proposal_estimation,export_proposal_illustration,export_proposal_status_name
export_contribution_type_proposal,user160,user160,user160@cap-collectif.com,Oui,,Citoyen,firstname160,lastname160,,,,,https://capco.dev/profile/user160,,0,11,,,,,"""17-9110""","Proposal 110",https://capco.dev/project/project-analyse/collect/collecte-des-propositions-pour-analyse/proposals/proposal-110?_locale=fr-FR,proposal110,"2020-01-01 00:00:03",,"Qu'ils approchent ! Il y'a encore un nain dans la Moria qui respire !",0,0,0,0,0,0,,,,,,,,,
export_contribution_type_proposal,user160,user160,user160@cap-collectif.com,Oui,,Citoyen,firstname160,lastname160,,,,,https://capco.dev/profile/user160,,0,11,,,,,"""17-9111""","Proposal 111",https://capco.dev/project/project-analyse/collect/collecte-des-propositions-pour-analyse/proposals/proposal-111?_locale=fr-FR,proposal111,"2020-01-01 00:00:03",,"Qu'ils approchent ! Il y'a encore un nain dans la Moria qui respire !",0,0,0,0,0,0,,,,,,,,,
export_contribution_type_proposal,user160,user160,user160@cap-collectif.com,Oui,,Citoyen,firstname160,lastname160,,,,,https://capco.dev/profile/user160,,0,11,,,,,"""17-9112""","Proposal 112",https://capco.dev/project/project-analyse/collect/collecte-des-propositions-pour-analyse/proposals/proposal-112?_locale=fr-FR,proposal112,"2020-01-01 00:00:03",,"Qu'ils approchent ! Il y'a encore un nain dans la Moria qui respire !",0,0,0,0,0,0,,,,,,,,,
export_contribution_type_proposal,user160,user160,user160@cap-collectif.com,Oui,,Citoyen,firstname160,lastname160,,,,,https://capco.dev/profile/user160,,0,11,,,,,"""17-9113""","Proposal 113",https://capco.dev/project/project-analyse/collect/collecte-des-propositions-pour-analyse/proposals/proposal-113?_locale=fr-FR,proposal113,"2020-01-01 00:00:03",,"Qu'ils approchent ! Il y'a encore un nain dans la Moria qui respire !",0,0,0,0,0,0,,,,,,,,,
export_contribution_type_proposal,user160,user160,user160@cap-collectif.com,Oui,,Citoyen,firstname160,lastname160,,,,,https://capco.dev/profile/user160,,0,11,,,,,"""17-9114""","Proposal 114",https://capco.dev/project/project-analyse/collect/collecte-des-propositions-pour-analyse/proposals/proposal-114?_locale=fr-FR,proposal114,"2020-01-01 00:00:03",,"Qu'ils approchent ! Il y'a encore un nain dans la Moria qui respire !",0,0,0,0,0,0,,,,,,,,,
export_contribution_type_proposal,user160,user160,user160@cap-collectif.com,Oui,,Citoyen,firstname160,lastname160,,,,,https://capco.dev/profile/user160,,0,11,,,,,"""17-9115""","Proposal 115",https://capco.dev/project/project-analyse/collect/collecte-des-propositions-pour-analyse/proposals/proposal-115?_locale=fr-FR,proposal115,"2020-01-01 00:00:03",,"Qu'ils approchent ! Il y'a encore un nain dans la Moria qui respire !",0,0,0,0,0,0,,,,,,,,,
export_contribution_type_proposal,user160,user160,user160@cap-collectif.com,Oui,,Citoyen,firstname160,lastname160,,,,,https://capco.dev/profile/user160,,0,11,,,,,"""17-9116""","Proposal 116",https://capco.dev/project/project-analyse/collect/collecte-des-propositions-pour-analyse/proposals/proposal-116?_locale=fr-FR,proposal116,"2020-01-01 00:00:03",,"Qu'ils approchent ! Il y'a encore un nain dans la Moria qui respire !",0,0,0,0,0,0,,,,,,,,,
export_contribution_type_proposal,user160,user160,user160@cap-collectif.com,Oui,,Citoyen,firstname160,lastname160,,,,,https://capco.dev/profile/user160,,0,11,,,,,"""17-9117""","Proposal 117",https://capco.dev/project/project-analyse/collect/collecte-des-propositions-pour-analyse/proposals/proposal-117?_locale=fr-FR,proposal117,"2020-01-01 00:00:03",,"Qu'ils approchent ! Il y'a encore un nain dans la Moria qui respire !",0,0,0,0,0,0,,,,,,,,,
export_contribution_type_proposal,user160,user160,user160@cap-collectif.com,Oui,,Citoyen,firstname160,lastname160,,,,,https://capco.dev/profile/user160,,0,11,,,,,"""17-9118""","Proposal 118",https://capco.dev/project/project-analyse/collect/collecte-des-propositions-pour-analyse/proposals/proposal-118?_locale=fr-FR,proposal118,"2020-01-01 00:00:03",,"Qu'ils approchent ! Il y'a encore un nain dans la Moria qui respire !",0,0,0,0,0,0,,,,,,,,,
export_contribution_type_proposal,user160,user160,user160@cap-collectif.com,Oui,,Citoyen,firstname160,lastname160,,,,,https://capco.dev/profile/user160,,0,11,,,,,"""17-9119""","Proposal 119",https://capco.dev/project/project-analyse/collect/collecte-des-propositions-pour-analyse/proposals/proposal-119?_locale=fr-FR,proposal119,"2020-01-01 00:00:03",,"Qu'ils approchent ! Il y'a encore un nain dans la Moria qui respire !",0,0,0,0,0,0,,,,,,,,,
