export_contribution_type,export_proposal_id,export_proposal_published_at,export_proposal_reference,export_proposal_title,export_proposal_summary,export_proposal_description,export_proposal_author_id,export_proposal_votes_total_count,export_proposal_votes_digital_count,export_proposal_votes_paper_count,export_proposal_votes_total_points_count,export_proposal_votes_digital_points_count,export_proposal_votes_paper_points_count,export_proposal_category_name,export_proposal_theme_title,export_proposal_formatted_address,export_proposal_address_lat,export_proposal_address_lng,export_proposal_district_name,export_proposal_estimation,export_proposal_illustration,export_proposal_link,export_proposal_status_name,export_proposal_created_at,export_proposal_updated_at,export_proposal_publication_status,export_proposal_undraft_at,export_proposal_trashed_at,export_proposal_trashed_reason,export_proposal_author_username,export_proposal_author_is_email_confirmed,export_proposal_author_email,export_proposal_author_user_type_id,export_proposal_author_user_type_name,export_proposal_official_response,export_proposal_votes_id,export_proposal_votes_ranking,export_proposal_votes_created_at,export_proposal_votes_published_at,export_proposal_votes_published,export_proposal_votes_accounted,export_proposal_votes_anonymous,export_proposal_votes_author_id,export_proposal_votes_author_username,export_proposal_votes_author_is_email_confirmed,export_proposal_votes_author_is_phone_confirmed,export_proposal_votes_author_user_type_id,export_proposal_votes_author_user_type_name,export_proposal_comments_id,export_proposal_comments_body,export_proposal_comments_created_at,export_proposal_comments_published_at,export_proposal_comments_updated_at,export_proposal_comments_author_id,export_proposal_comments_author_username,export_proposal_comments_author_is_email_confirmed,export_proposal_comments_author_user_type_id,export_proposal_comments_author_user_type_name,export_proposal_comments_author_email,export_proposal_comments_pinned,export_proposal_comments_publication_status,export_proposal_comments_vote_id,export_proposal_comments_vote_created_at,export_proposal_comments_vote_published_at,export_proposal_comments_vote_author_id,export_proposal_comments_vote_author_username,export_proposal_comments_vote_author_is_email_confirmed,export_proposal_comments_vote_author_user_type_id,export_proposal_comments_vote_author_user_type_name,export_proposal_news_id,export_proposal_news_title,export_proposal_news_themes,export_proposal_news_linked_projects,export_proposal_news_linked_proposal,export_proposal_news_created_at,export_proposal_news_updated_at,export_proposal_news_published_at,export_proposal_news_publication_status,export_proposal_news_commentable,export_proposal_news_displayed_on_blog,export_proposal_news_authors_id,export_proposal_news_authors_username,export_proposal_news_authors_is_email_confirmed,export_proposal_news_authors_user_type_id,export_proposal_news_authors_user_type_name,export_proposal_news_comments_id,export_proposal_news_comments_body,export_proposal_news_comments_parent,export_proposal_news_comments_created_at,export_proposal_news_comments_published_at,export_proposal_news_comments_updated_at,export_proposal_news_comments_author_id,export_proposal_news_comments_author_username,export_proposal_news_comments_author_is_email_confirmed,export_proposal_news_comments_author_user_type_id,export_proposal_news_comments_author_user_type_name,export_proposal_news_comments_author_email,export_proposal_news_comments_pinned,export_proposal_news_comments_publication_status,export_proposal_news_comments_vote_id,export_proposal_news_comments_vote_created_at,export_proposal_news_comments_vote_published_at,export_proposal_news_comments_vote_author_id,export_proposal_news_comments_vote_author_username,export_proposal_news_comments_vote_author_is_email_confirmed,export_proposal_news_comments_vote_author_user_type_id,export_proposal_news_comments_vote_author_user_type_name,export_proposal_news_comments_reportings_id,export_proposal_news_comments_reportings_created_at,export_proposal_news_comments_reportings_author_id,export_proposal_news_comments_reportings_author_username,export_proposal_news_comments_reportings_author_is_email_confirmed,export_proposal_news_comments_reportings_author_user_type_id,export_proposal_news_comments_reportings_author_user_type_name,export_proposal_reportings_id,export_proposal_reportings_body,export_proposal_reportings_created_at,export_proposal_reportings_author_id,export_proposal_reportings_author_username,export_proposal_reportings_author_is_email_confirmed,export_proposal_reportings_author_user_type_id,export_proposal_reportings_author_user_type_name
export_contribution_type_proposal,proposal130,"2020-07-01 00:00:10","""20-130""","Proposal 130",,"Et si on gardait le TT à vie ?",userSpyl,0,0,0,0,0,0,"Théories du complot au cachot",,,,,"Toute la région",,,https://capco.dev/project/projet-pour-consolider-les-exports/collect/etape-de-depot-des-exports/proposals/proposal-130?_locale=fr-FR,,"2020-07-01 00:00:10","2020-07-01 00:00:10",export_proposal_publication_status_published,"2020-07-01 00:00:10",,,spyl,Oui,aurelien@cap-collectif.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,proposal131,"2020-07-01 00:00:10","""20-131""","Proposal 131",,"Imagine un monde où tout le monde s'entreaide pour améliorer les exports",userJpec,0,0,0,0,0,0,"Théories du complot au cachot",,,,,"Toute la région",,,https://capco.dev/project/projet-pour-consolider-les-exports/collect/etape-de-depot-des-exports/proposals/proposal-131?_locale=fr-FR,,"2020-07-01 00:00:10","2020-07-01 00:00:10",export_proposal_publication_status_published,"2020-07-01 00:00:10",,,Jpec,Oui,jpec@cap-collectif.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,proposal132,"2020-07-01 00:00:11","""20-132""","Proposal 132",,"Imagine Juan est de bonne humeur aujourd'hui... Non je déconne. Mais imagine quand même",userJpec,0,0,0,0,0,0,"Théories du complot au cachot",,,,,"Toute la région",,,https://capco.dev/project/projet-pour-consolider-les-exports/collect/etape-de-depot-des-exports/proposals/proposal-132?_locale=fr-FR,,"2020-07-01 00:00:11","2020-07-01 00:00:11",export_proposal_publication_status_published,"2020-07-01 00:00:11",,,Jpec,Oui,jpec@cap-collectif.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,proposal132,"2020-07-01 00:00:11","""20-132""","Proposal 132",,"Imagine Juan est de bonne humeur aujourd'hui... Non je déconne. Mais imagine quand même",userJpec,0,0,0,0,0,0,"Théories du complot au cachot",,,,,"Toute la région",,,https://capco.dev/project/projet-pour-consolider-les-exports/collect/etape-de-depot-des-exports/proposals/proposal-132?_locale=fr-FR,,,,,,,,,,,,,,2057,1,"2019-03-01 00:00:01","2019-03-01 00:00:01",Oui,Non,Non,userSpyl,spyl,Oui,Non,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,proposal132,"2020-07-01 00:00:11","""20-132""","Proposal 132",,"Imagine Juan est de bonne humeur aujourd'hui... Non je déconne. Mais imagine quand même",userJpec,0,0,0,0,0,0,"Théories du complot au cachot",,,,,"Toute la région",,,https://capco.dev/project/projet-pour-consolider-les-exports/collect/etape-de-depot-des-exports/proposals/proposal-132?_locale=fr-FR,,,,,,,,,,,,,,2058,1,"2019-03-01 00:00:02","2019-03-01 00:00:02",Oui,Non,Non,user5,user,Oui,Oui,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,proposal132,"2020-07-01 00:00:11","""20-132""","Proposal 132",,"Imagine Juan est de bonne humeur aujourd'hui... Non je déconne. Mais imagine quand même",userJpec,0,0,0,0,0,0,"Théories du complot au cachot",,,,,"Toute la région",,,https://capco.dev/project/projet-pour-consolider-les-exports/collect/etape-de-depot-des-exports/proposals/proposal-132?_locale=fr-FR,,,,,,,,,,,,,,2063,2,"2019-03-01 00:00:03",,Non,Non,Non,user_not_confirmed,user_not_confirmed,Non,Non,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,selectionExportProposals133,"2020-09-01 00:00:10","""20-9133""","Selection Export Proposal 133",,"Propositions random",user160,0,0,0,0,0,0,"On veut des masques",,,,,Beauregard,,,https://capco.dev/project/projet-pour-consolider-les-exports/collect/etape-de-depot-des-exports/proposals/selection-export-proposal-133?_locale=fr-FR,,"2020-09-01 00:00:10","2020-09-01 00:00:10",export_proposal_publication_status_published,"2020-09-01 00:00:10",,,user160,Oui,user160@cap-collectif.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,selectionExportProposals134,"2020-09-01 00:00:10","""20-9134""","Selection Export Proposal 134",,"Propositions random",user160,0,0,0,0,0,0,"On veut des masques",,,,,Beauregard,,,https://capco.dev/project/projet-pour-consolider-les-exports/collect/etape-de-depot-des-exports/proposals/selection-export-proposal-134?_locale=fr-FR,,"2020-09-01 00:00:10","2020-09-01 00:00:10",export_proposal_publication_status_published,"2020-09-01 00:00:10",,,user160,Oui,user160@cap-collectif.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,selectionExportProposals135,"2020-09-01 00:00:10","""20-9135""","Selection Export Proposal 135",,"Propositions random",user160,0,0,0,0,0,0,"On veut des masques",,,,,Beauregard,,,https://capco.dev/project/projet-pour-consolider-les-exports/collect/etape-de-depot-des-exports/proposals/selection-export-proposal-135?_locale=fr-FR,,"2020-09-01 00:00:10","2020-09-01 00:00:10",export_proposal_publication_status_published,"2020-09-01 00:00:10",,,user160,Oui,user160@cap-collectif.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,selectionExportProposals136,"2020-09-01 00:00:10","""20-9136""","Selection Export Proposal 136",,"Propositions random",user160,0,0,0,0,0,0,"On veut des masques",,,,,Beauregard,,,https://capco.dev/project/projet-pour-consolider-les-exports/collect/etape-de-depot-des-exports/proposals/selection-export-proposal-136?_locale=fr-FR,,"2020-09-01 00:00:10","2020-09-01 00:00:10",export_proposal_publication_status_published,"2020-09-01 00:00:10",,,user160,Oui,user160@cap-collectif.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
