export_contribution_type,export_proposal_id,export_proposal_published_at,export_proposal_reference,export_proposal_title,export_proposal_summary,export_proposal_description,export_proposal_author_id,export_proposal_category_name,export_proposal_theme_title,export_proposal_formatted_address,export_proposal_address_lat,export_proposal_address_lng,export_proposal_district_name,export_proposal_estimation,export_proposal_illustration,export_proposal_link,export_proposal_status_name,export_proposal_created_at,export_proposal_updated_at,export_proposal_publication_status,export_proposal_undraft_at,export_proposal_trashed_at,export_proposal_trashed_reason,export_proposal_author_username,export_proposal_author_is_email_confirmed,export_proposal_author_email,export_proposal_author_user_type_id,export_proposal_author_user_type_name,export_proposal_official_response,export_proposal_votes_published_at,export_proposal_votes_published,export_proposal_votes_accounted,export_proposal_votes_anonymous,export_proposal_votes_author_id,export_proposal_votes_author_username,export_proposal_votes_author_is_email_confirmed,export_proposal_votes_author_is_phone_confirmed,export_proposal_votes_author_user_type_id,export_proposal_votes_author_user_type_name,export_proposal_comments_id,export_proposal_comments_body,export_proposal_comments_created_at,export_proposal_comments_published_at,export_proposal_comments_updated_at,export_proposal_comments_author_id,export_proposal_comments_author_username,export_proposal_comments_author_is_email_confirmed,export_proposal_comments_author_user_type_id,export_proposal_comments_author_user_type_name,export_proposal_comments_author_email,export_proposal_comments_pinned,export_proposal_comments_publication_status,export_proposal_comments_vote_id,export_proposal_comments_vote_created_at,export_proposal_comments_vote_published_at,export_proposal_comments_vote_author_id,export_proposal_comments_vote_author_username,export_proposal_comments_vote_author_is_email_confirmed,export_proposal_comments_vote_author_user_type_id,export_proposal_comments_vote_author_user_type_name,export_proposal_news_id,export_proposal_news_title,export_proposal_news_themes,export_proposal_news_linked_projects,export_proposal_news_linked_proposal,export_proposal_news_created_at,export_proposal_news_updated_at,export_proposal_news_published_at,export_proposal_news_publication_status,export_proposal_news_commentable,export_proposal_news_displayed_on_blog,export_proposal_news_authors_id,export_proposal_news_authors_username,export_proposal_news_authors_is_email_confirmed,export_proposal_news_authors_user_type_id,export_proposal_news_authors_user_type_name,export_proposal_news_comments_id,export_proposal_news_comments_body,export_proposal_news_comments_parent,export_proposal_news_comments_created_at,export_proposal_news_comments_published_at,export_proposal_news_comments_updated_at,export_proposal_news_comments_author_id,export_proposal_news_comments_author_username,export_proposal_news_comments_author_is_email_confirmed,export_proposal_news_comments_author_user_type_id,export_proposal_news_comments_author_user_type_name,export_proposal_news_comments_author_email,export_proposal_news_comments_pinned,export_proposal_news_comments_publication_status,export_proposal_news_comments_vote_id,export_proposal_news_comments_vote_created_at,export_proposal_news_comments_vote_published_at,export_proposal_news_comments_vote_author_id,export_proposal_news_comments_vote_author_username,export_proposal_news_comments_vote_author_is_email_confirmed,export_proposal_news_comments_vote_author_user_type_id,export_proposal_news_comments_vote_author_user_type_name,export_proposal_news_comments_reportings_id,export_proposal_news_comments_reportings_created_at,export_proposal_news_comments_reportings_author_id,export_proposal_news_comments_reportings_author_username,export_proposal_news_comments_reportings_author_is_email_confirmed,export_proposal_news_comments_reportings_author_user_type_id,export_proposal_news_comments_reportings_author_user_type_name,export_proposal_reportings_id,export_proposal_reportings_body,export_proposal_reportings_created_at,export_proposal_reportings_author_id,export_proposal_reportings_author_username,export_proposal_reportings_author_is_email_confirmed,export_proposal_reportings_author_user_type_id,export_proposal_reportings_author_user_type_name
export_contribution_type_proposal,proposal31,"2017-02-01 00:31:00","""1664-42""","Minus et Cortex",,TODO,user5,,,,,,,,,https://capco.dev/project/qui-doit-conquerir-le-monde-visible-par-les-admins-seulement/collect/collecte-des-propositions-pour-conquerir-le-monde/proposals/minus-et-cortex?_locale=fr-FR,,"2017-02-01 00:31:00","2017-02-01 00:31:00",export_proposal_publication_status_published,"2017-02-01 00:31:00",,,user,Oui,user@test.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_comment,proposal31,"2017-02-01 00:31:00","""1664-42""","Minus et Cortex",,TODO,user5,,,,,,,,,https://capco.dev/project/qui-doit-conquerir-le-monde-visible-par-les-admins-seulement/collect/collecte-des-propositions-pour-conquerir-le-monde/proposals/minus-et-cortex?_locale=fr-FR,,"2017-02-01 00:31:00","2017-02-01 00:31:00",export_proposal_publication_status_published,"2017-02-01 00:31:00",,,user,Oui,user@test.com,1,Citoyen,,,,,,,,,,,,proposalComment33,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus.","2017-02-01 00:33:00","2017-02-01 00:33:00","2017-02-01 00:33:00",user5,user,Oui,1,Citoyen,user@test.com,Non,Publié,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_comment,proposal31,"2017-02-01 00:31:00","""1664-42""","Minus et Cortex",,TODO,user5,,,,,,,,,https://capco.dev/project/qui-doit-conquerir-le-monde-visible-par-les-admins-seulement/collect/collecte-des-propositions-pour-conquerir-le-monde/proposals/minus-et-cortex?_locale=fr-FR,,"2017-02-01 00:31:00","2017-02-01 00:31:00",export_proposal_publication_status_published,"2017-02-01 00:31:00",,,user,Oui,user@test.com,1,Citoyen,,,,,,,,,,,,proposalComment34,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus.","2017-02-01 00:34:00","2017-02-01 00:34:00","2017-02-01 00:34:00",user5,user,Oui,1,Citoyen,user@test.com,Non,Publié,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_comment,proposal31,"2017-02-01 00:31:00","""1664-42""","Minus et Cortex",,TODO,user5,,,,,,,,,https://capco.dev/project/qui-doit-conquerir-le-monde-visible-par-les-admins-seulement/collect/collecte-des-propositions-pour-conquerir-le-monde/proposals/minus-et-cortex?_locale=fr-FR,,"2017-02-01 00:31:00","2017-02-01 00:31:00",export_proposal_publication_status_published,"2017-02-01 00:31:00",,,user,Oui,user@test.com,1,Citoyen,,,,,,,,,,,,proposalComment35,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus.","2017-02-01 00:35:00","2017-02-01 00:35:00","2017-02-01 00:35:00",user5,user,Oui,1,Citoyen,user@test.com,Non,Publié,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_comment,proposal31,"2017-02-01 00:31:00","""1664-42""","Minus et Cortex",,TODO,user5,,,,,,,,,https://capco.dev/project/qui-doit-conquerir-le-monde-visible-par-les-admins-seulement/collect/collecte-des-propositions-pour-conquerir-le-monde/proposals/minus-et-cortex?_locale=fr-FR,,"2017-02-01 00:31:00","2017-02-01 00:31:00",export_proposal_publication_status_published,"2017-02-01 00:31:00",,,user,Oui,user@test.com,1,Citoyen,,,,,,,,,,,,proposalComment36,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus.","2017-02-01 00:36:00","2017-02-01 00:36:00","2017-02-01 00:36:00",user5,user,Oui,1,Citoyen,user@test.com,Non,Publié,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_comment_vote,proposal31,"2017-02-01 00:31:00","""1664-42""","Minus et Cortex",,TODO,user5,,,,,,,,,https://capco.dev/project/qui-doit-conquerir-le-monde-visible-par-les-admins-seulement/collect/collecte-des-propositions-pour-conquerir-le-monde/proposals/minus-et-cortex?_locale=fr-FR,,"2017-02-01 00:31:00","2017-02-01 00:31:00",export_proposal_publication_status_published,"2017-02-01 00:31:00",,,user,Oui,user@test.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,910033,"2015-02-01 00:33:00","2015-02-01 00:33:00",user33,user33,Oui,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_comment_vote,proposal31,"2017-02-01 00:31:00","""1664-42""","Minus et Cortex",,TODO,user5,,,,,,,,,https://capco.dev/project/qui-doit-conquerir-le-monde-visible-par-les-admins-seulement/collect/collecte-des-propositions-pour-conquerir-le-monde/proposals/minus-et-cortex?_locale=fr-FR,,"2017-02-01 00:31:00","2017-02-01 00:31:00",export_proposal_publication_status_published,"2017-02-01 00:31:00",,,user,Oui,user@test.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,910034,"2015-02-01 00:34:00","2015-02-01 00:34:00",user34,user34,Oui,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_comment_vote,proposal31,"2017-02-01 00:31:00","""1664-42""","Minus et Cortex",,TODO,user5,,,,,,,,,https://capco.dev/project/qui-doit-conquerir-le-monde-visible-par-les-admins-seulement/collect/collecte-des-propositions-pour-conquerir-le-monde/proposals/minus-et-cortex?_locale=fr-FR,,"2017-02-01 00:31:00","2017-02-01 00:31:00",export_proposal_publication_status_published,"2017-02-01 00:31:00",,,user,Oui,user@test.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,910035,"2015-02-01 00:35:00","2015-02-01 00:35:00",user35,user35,Oui,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_comment_vote,proposal31,"2017-02-01 00:31:00","""1664-42""","Minus et Cortex",,TODO,user5,,,,,,,,,https://capco.dev/project/qui-doit-conquerir-le-monde-visible-par-les-admins-seulement/collect/collecte-des-propositions-pour-conquerir-le-monde/proposals/minus-et-cortex?_locale=fr-FR,,"2017-02-01 00:31:00","2017-02-01 00:31:00",export_proposal_publication_status_published,"2017-02-01 00:31:00",,,user,Oui,user@test.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,910036,"2015-02-01 00:36:00","2015-02-01 00:36:00",user36,user36,Oui,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_comment_vote,proposal31,"2017-02-01 00:31:00","""1664-42""","Minus et Cortex",,TODO,user5,,,,,,,,,https://capco.dev/project/qui-doit-conquerir-le-monde-visible-par-les-admins-seulement/collect/collecte-des-propositions-pour-conquerir-le-monde/proposals/minus-et-cortex?_locale=fr-FR,,"2017-02-01 00:31:00","2017-02-01 00:31:00",export_proposal_publication_status_published,"2017-02-01 00:31:00",,,user,Oui,user@test.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,910053,"2015-01-01 07:00:00","2015-01-01 07:00:00",userAdmin,admin,Oui,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
