export_contribution_type,export_proposal_id,export_proposal_published_at,export_proposal_reference,export_proposal_title,export_proposal_summary,export_proposal_description,export_proposal_author_id,export_proposal_votes_total_count,export_proposal_votes_digital_count,export_proposal_votes_paper_count,export_proposal_votes_total_points_count,export_proposal_votes_digital_points_count,export_proposal_votes_paper_points_count,export_proposal_category_name,export_proposal_theme_title,export_proposal_formatted_address,export_proposal_address_lat,export_proposal_address_lng,export_proposal_district_name,export_proposal_estimation,export_proposal_illustration,export_proposal_link,export_proposal_status_name,export_proposal_created_at,export_proposal_updated_at,export_proposal_publication_status,export_proposal_undraft_at,export_proposal_trashed_at,export_proposal_trashed_reason,export_proposal_author_username,export_proposal_author_is_email_confirmed,export_proposal_author_email,export_proposal_author_user_type_id,export_proposal_author_user_type_name,export_proposal_official_response,export_proposal_votes_id,export_proposal_votes_ranking,export_proposal_votes_created_at,export_proposal_votes_published_at,export_proposal_votes_published,export_proposal_votes_accounted,export_proposal_votes_anonymous,export_proposal_votes_author_id,export_proposal_votes_author_username,export_proposal_votes_author_is_email_confirmed,export_proposal_votes_author_is_phone_confirmed,export_proposal_votes_author_user_type_id,export_proposal_votes_author_user_type_name,export_proposal_comments_id,export_proposal_comments_body,export_proposal_comments_created_at,export_proposal_comments_published_at,export_proposal_comments_updated_at,export_proposal_comments_author_id,export_proposal_comments_author_username,export_proposal_comments_author_is_email_confirmed,export_proposal_comments_author_user_type_id,export_proposal_comments_author_user_type_name,export_proposal_comments_author_email,export_proposal_comments_pinned,export_proposal_comments_publication_status,export_proposal_comments_vote_id,export_proposal_comments_vote_created_at,export_proposal_comments_vote_published_at,export_proposal_comments_vote_author_id,export_proposal_comments_vote_author_username,export_proposal_comments_vote_author_is_email_confirmed,export_proposal_comments_vote_author_user_type_id,export_proposal_comments_vote_author_user_type_name,export_proposal_news_id,export_proposal_news_title,export_proposal_news_themes,export_proposal_news_linked_projects,export_proposal_news_linked_proposal,export_proposal_news_created_at,export_proposal_news_updated_at,export_proposal_news_published_at,export_proposal_news_publication_status,export_proposal_news_commentable,export_proposal_news_displayed_on_blog,export_proposal_news_authors_id,export_proposal_news_authors_username,export_proposal_news_authors_is_email_confirmed,export_proposal_news_authors_user_type_id,export_proposal_news_authors_user_type_name,export_proposal_news_comments_id,export_proposal_news_comments_body,export_proposal_news_comments_parent,export_proposal_news_comments_created_at,export_proposal_news_comments_published_at,export_proposal_news_comments_updated_at,export_proposal_news_comments_author_id,export_proposal_news_comments_author_username,export_proposal_news_comments_author_is_email_confirmed,export_proposal_news_comments_author_user_type_id,export_proposal_news_comments_author_user_type_name,export_proposal_news_comments_author_email,export_proposal_news_comments_pinned,export_proposal_news_comments_publication_status,export_proposal_news_comments_vote_id,export_proposal_news_comments_vote_created_at,export_proposal_news_comments_vote_published_at,export_proposal_news_comments_vote_author_id,export_proposal_news_comments_vote_author_username,export_proposal_news_comments_vote_author_is_email_confirmed,export_proposal_news_comments_vote_author_user_type_id,export_proposal_news_comments_vote_author_user_type_name,export_proposal_news_comments_reportings_id,export_proposal_news_comments_reportings_created_at,export_proposal_news_comments_reportings_author_id,export_proposal_news_comments_reportings_author_username,export_proposal_news_comments_reportings_author_is_email_confirmed,export_proposal_news_comments_reportings_author_user_type_id,export_proposal_news_comments_reportings_author_user_type_name,export_proposal_reportings_id,export_proposal_reportings_body,export_proposal_reportings_created_at,export_proposal_reportings_author_id,export_proposal_reportings_author_username,export_proposal_reportings_author_is_email_confirmed,export_proposal_reportings_author_user_type_id,export_proposal_reportings_author_user_type_name
export_contribution_type_proposal,lePetitCafe,"2020-11-09 10:15:00","""21-5""","Le petit café",,TODO,user5,0,0,0,0,0,0,,,"6 Rue Descartes, 75005 Paris, France",48.8471578,2.3484722,"Paris - 12ième arrondissement",,https://capco.dev/media/default/0001/01/cafetier.png,https://capco.dev/project/sauvons-nos-cafes/collect/soutenons-nos-bistros-et-cafes-dans-cette-periode-difficile/proposals/le-petit-cafe?_locale=fr-FR,,"2020-11-09 10:15:00","2020-11-09 10:15:00",export_proposal_publication_status_published,"2020-11-09 10:15:00",,,user,Oui,user@test.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_news,lePetitCafe,"2020-11-09 10:15:00","""21-5""","Le petit café",,TODO,user5,0,0,0,0,0,0,,,"6 Rue Descartes, 75005 Paris, France",48.8471578,2.3484722,"Paris - 12ième arrondissement",,https://capco.dev/media/default/0001/01/cafetier.png,https://capco.dev/project/sauvons-nos-cafes/collect/soutenons-nos-bistros-et-cafes-dans-cette-periode-difficile/proposals/le-petit-cafe?_locale=fr-FR,,"2020-11-09 10:15:00","2020-11-09 10:15:00",export_proposal_publication_status_published,"2020-11-09 10:15:00",,,user,Oui,user@test.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post20,Remerciment,,"Sauvons nos cafés","Le petit café","2021-01-08 00:00:00","2021-01-08 00:00:00","2021-01-08 00:00:00",Publié,Oui,Non,postAuthor24,user,Oui,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_news,lePetitCafe,"2020-11-09 10:15:00","""21-5""","Le petit café",,TODO,user5,0,0,0,0,0,0,,,"6 Rue Descartes, 75005 Paris, France",48.8471578,2.3484722,"Paris - 12ième arrondissement",,https://capco.dev/media/default/0001/01/cafetier.png,https://capco.dev/project/sauvons-nos-cafes/collect/soutenons-nos-bistros-et-cafes-dans-cette-periode-difficile/proposals/le-petit-cafe?_locale=fr-FR,,"2020-11-09 10:15:00","2020-11-09 10:15:00",export_proposal_publication_status_published,"2020-11-09 10:15:00",,,user,Oui,user@test.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post22,,,"Sauvons nos cafés","Le petit café","2021-01-08 00:00:00","2021-01-08 00:00:00","2021-01-08 00:00:00",Publié,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_news_comment,lePetitCafe,"2020-11-09 10:15:00","""21-5""","Le petit café",,TODO,user5,0,0,0,0,0,0,,,"6 Rue Descartes, 75005 Paris, France",48.8471578,2.3484722,"Paris - 12ième arrondissement",,https://capco.dev/media/default/0001/01/cafetier.png,https://capco.dev/project/sauvons-nos-cafes/collect/soutenons-nos-bistros-et-cafes-dans-cette-periode-difficile/proposals/le-petit-cafe?_locale=fr-FR,,"2020-11-09 10:15:00","2020-11-09 10:15:00",export_proposal_publication_status_published,"2020-11-09 10:15:00",,,user,Oui,user@test.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pComment56,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus.",,"2016-02-01 00:00:00","2016-02-01 00:00:00","2017-02-01 00:00:00",user6,user6,Oui,1,Citoyen,user6@cap-collectif.com,Non,Publié,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_news_comment,lePetitCafe,"2020-11-09 10:15:00","""21-5""","Le petit café",,TODO,user5,0,0,0,0,0,0,,,"6 Rue Descartes, 75005 Paris, France",48.8471578,2.3484722,"Paris - 12ième arrondissement",,https://capco.dev/media/default/0001/01/cafetier.png,https://capco.dev/project/sauvons-nos-cafes/collect/soutenons-nos-bistros-et-cafes-dans-cette-periode-difficile/proposals/le-petit-cafe?_locale=fr-FR,,"2020-11-09 10:15:00","2020-11-09 10:15:00",export_proposal_publication_status_published,"2020-11-09 10:15:00",,,user,Oui,user@test.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pComment57,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus.",,"2016-02-01 00:00:00","2016-02-01 00:00:00","2017-02-01 00:00:00",user6,user6,Oui,1,Citoyen,user6@cap-collectif.com,Non,Publié,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_news_comment,lePetitCafe,"2020-11-09 10:15:00","""21-5""","Le petit café",,TODO,user5,0,0,0,0,0,0,,,"6 Rue Descartes, 75005 Paris, France",48.8471578,2.3484722,"Paris - 12ième arrondissement",,https://capco.dev/media/default/0001/01/cafetier.png,https://capco.dev/project/sauvons-nos-cafes/collect/soutenons-nos-bistros-et-cafes-dans-cette-periode-difficile/proposals/le-petit-cafe?_locale=fr-FR,,"2020-11-09 10:15:00","2020-11-09 10:15:00",export_proposal_publication_status_published,"2020-11-09 10:15:00",,,user,Oui,user@test.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pComment58,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus.",,"2016-02-01 00:00:00","2016-02-01 00:00:00","2017-02-01 00:00:00",user6,user6,Oui,1,Citoyen,user6@cap-collectif.com,Non,Publié,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_news_comment,lePetitCafe,"2020-11-09 10:15:00","""21-5""","Le petit café",,TODO,user5,0,0,0,0,0,0,,,"6 Rue Descartes, 75005 Paris, France",48.8471578,2.3484722,"Paris - 12ième arrondissement",,https://capco.dev/media/default/0001/01/cafetier.png,https://capco.dev/project/sauvons-nos-cafes/collect/soutenons-nos-bistros-et-cafes-dans-cette-periode-difficile/proposals/le-petit-cafe?_locale=fr-FR,,"2020-11-09 10:15:00","2020-11-09 10:15:00",export_proposal_publication_status_published,"2020-11-09 10:15:00",,,user,Oui,user@test.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pComment59,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus.",,"2016-02-01 00:00:00","2016-02-01 00:00:00","2017-02-01 00:00:00",user6,user6,Oui,1,Citoyen,user6@cap-collectif.com,Non,Publié,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_news_comment,lePetitCafe,"2020-11-09 10:15:00","""21-5""","Le petit café",,TODO,user5,0,0,0,0,0,0,,,"6 Rue Descartes, 75005 Paris, France",48.8471578,2.3484722,"Paris - 12ième arrondissement",,https://capco.dev/media/default/0001/01/cafetier.png,https://capco.dev/project/sauvons-nos-cafes/collect/soutenons-nos-bistros-et-cafes-dans-cette-periode-difficile/proposals/le-petit-cafe?_locale=fr-FR,,"2020-11-09 10:15:00","2020-11-09 10:15:00",export_proposal_publication_status_published,"2020-11-09 10:15:00",,,user,Oui,user@test.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pComment60,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus.",,"2016-02-01 00:00:00","2016-02-01 00:00:00","2017-02-01 00:00:00",user6,user6,Oui,1,Citoyen,user6@cap-collectif.com,Non,Publié,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_news_comment_reporting,lePetitCafe,"2020-11-09 10:15:00","""21-5""","Le petit café",,TODO,user5,0,0,0,0,0,0,,,"6 Rue Descartes, 75005 Paris, France",48.8471578,2.3484722,"Paris - 12ième arrondissement",,https://capco.dev/media/default/0001/01/cafetier.png,https://capco.dev/project/sauvons-nos-cafes/collect/soutenons-nos-bistros-et-cafes-dans-cette-periode-difficile/proposals/le-petit-cafe?_locale=fr-FR,,"2020-11-09 10:15:00","2020-11-09 10:15:00",export_proposal_publication_status_published,"2020-11-09 10:15:00",,,user,Oui,user@test.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,"2018-03-01 00:00:00",user100,user100,1,1,Citoyen,,,,,,,,
export_contribution_type_proposal_news_comment_reporting,lePetitCafe,"2020-11-09 10:15:00","""21-5""","Le petit café",,TODO,user5,0,0,0,0,0,0,,,"6 Rue Descartes, 75005 Paris, France",48.8471578,2.3484722,"Paris - 12ième arrondissement",,https://capco.dev/media/default/0001/01/cafetier.png,https://capco.dev/project/sauvons-nos-cafes/collect/soutenons-nos-bistros-et-cafes-dans-cette-periode-difficile/proposals/le-petit-cafe?_locale=fr-FR,,"2020-11-09 10:15:00","2020-11-09 10:15:00",export_proposal_publication_status_published,"2020-11-09 10:15:00",,,user,Oui,user@test.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,"2018-03-01 00:00:00",user100,user100,1,1,Citoyen,,,,,,,,
