export_contribution_type,export_participant_user_id,export_participant_username,export_participant_user_email,export_participant_consent_internal_communication,export_participant_phone,export_participant_type,export_participant_firstname,export_participant_lastname,export_participant_date_of_birth,export_participant_postal_address,export_participant_zip_code,export_participant_city,export_participant_profile_url,export_participant_identification_code,export_user_total_proposals,user_votes_proposal_ids,export_proposal_reference,export_proposal_title,export_proposal_link,export_proposal_id,export_proposal_published_at,export_proposal_summary,export_proposal_description,export_proposal_category_name,export_proposal_theme_title,export_proposal_formatted_address,export_proposal_address_lat,export_proposal_address_lng,export_proposal_district_name,export_proposal_estimation,export_proposal_illustration,export_proposal_status_name
export_contribution_type_proposal,userAdmin,admin,admin@test.com,Non,+33675492871,Citoyen,Administrateur,authentifier,,"26 Rue Claude Tillier, 75012 Paris, France",,,https://capco.dev/profile/admin,,1,,"""19-1""","Jurer allégeance à Nurgle",https://capco.dev/project/solidarite-covid-19/collect/collecte-de-projets/proposals/jurer-allegeance-a-nurgle?_locale=fr-FR,proposal109,"2020-03-17 00:03:00",,"Je vous propose de me contacter pour rejoindre la secte des adorateurs de Grand Père Nurgle","Auto diagnostique",,,,,,,,
export_contribution_type_proposal,user160,user160,user160@cap-collectif.com,Oui,,Citoyen,firstname160,lastname160,,,,,https://capco.dev/profile/user160,,10,,"""19-9120""","Proposal assigned 120",https://capco.dev/project/solidarite-covid-19/collect/collecte-de-projets/proposals/proposal-assigned-120?_locale=fr-FR,assignedProposals120,"2020-01-01 00:00:10",,"Proposition avec décision/analyse/avis","On veut des masques",,,,,Beauregard,,,
export_contribution_type_proposal,user160,user160,user160@cap-collectif.com,Oui,,Citoyen,firstname160,lastname160,,,,,https://capco.dev/profile/user160,,10,,"""19-9121""","Proposal assigned 121",https://capco.dev/project/solidarite-covid-19/collect/collecte-de-projets/proposals/proposal-assigned-121?_locale=fr-FR,assignedProposals121,"2020-01-01 00:00:10",,"Proposition avec décision/analyse/avis","On veut des masques",,,,,Beauregard,,,
export_contribution_type_proposal,user160,user160,user160@cap-collectif.com,Oui,,Citoyen,firstname160,lastname160,,,,,https://capco.dev/profile/user160,,10,,"""19-9122""","Proposal assigned 122",https://capco.dev/project/solidarite-covid-19/collect/collecte-de-projets/proposals/proposal-assigned-122?_locale=fr-FR,assignedProposals122,"2020-01-01 00:00:10",,"Proposition avec décision/analyse/avis","On veut des masques",,,,,Beauregard,,,
export_contribution_type_proposal,user160,user160,user160@cap-collectif.com,Oui,,Citoyen,firstname160,lastname160,,,,,https://capco.dev/profile/user160,,10,,"""19-9123""","Proposal assigned 123",https://capco.dev/project/solidarite-covid-19/collect/collecte-de-projets/proposals/proposal-assigned-123?_locale=fr-FR,assignedProposals123,"2020-01-01 00:00:10",,"Proposition avec décision/analyse/avis","On veut des masques",,,,,Beauregard,,,
export_contribution_type_proposal,user160,user160,user160@cap-collectif.com,Oui,,Citoyen,firstname160,lastname160,,,,,https://capco.dev/profile/user160,,10,,"""19-9124""","Proposal assigned 124",https://capco.dev/project/solidarite-covid-19/collect/collecte-de-projets/proposals/proposal-assigned-124?_locale=fr-FR,assignedProposals124,"2020-01-01 00:00:10",,"Proposition avec décision/analyse/avis","On veut des masques",,,,,Beauregard,,,
export_contribution_type_proposal,user160,user160,user160@cap-collectif.com,Oui,,Citoyen,firstname160,lastname160,,,,,https://capco.dev/profile/user160,,10,,"""19-9125""","Proposal assigned 125",https://capco.dev/project/solidarite-covid-19/collect/collecte-de-projets/proposals/proposal-assigned-125?_locale=fr-FR,assignedProposals125,"2020-01-01 00:00:10",,"Proposition avec décision/analyse/avis","On veut des masques",,,,,Beauregard,,,
export_contribution_type_proposal,user160,user160,user160@cap-collectif.com,Oui,,Citoyen,firstname160,lastname160,,,,,https://capco.dev/profile/user160,,10,,"""19-9126""","Proposal assigned 126",https://capco.dev/project/solidarite-covid-19/collect/collecte-de-projets/proposals/proposal-assigned-126?_locale=fr-FR,assignedProposals126,"2020-01-01 00:00:10",,"Proposition avec décision/analyse/avis","Théories du complot au cachot",,,,,"Nord Saint-Martin",,,
export_contribution_type_proposal,user160,user160,user160@cap-collectif.com,Oui,,Citoyen,firstname160,lastname160,,,,,https://capco.dev/profile/user160,,10,,"""19-9127""","Proposal assigned 127",https://capco.dev/project/solidarite-covid-19/collect/collecte-de-projets/proposals/proposal-assigned-127?_locale=fr-FR,assignedProposals127,"2020-01-01 00:00:10",,"Proposition avec décision/analyse/avis","Théories du complot au cachot",,,,,"Nord Saint-Martin",,,
export_contribution_type_proposal,user160,user160,user160@cap-collectif.com,Oui,,Citoyen,firstname160,lastname160,,,,,https://capco.dev/profile/user160,,10,,"""19-9128""","Proposal assigned 128",https://capco.dev/project/solidarite-covid-19/collect/collecte-de-projets/proposals/proposal-assigned-128?_locale=fr-FR,assignedProposals128,"2020-01-01 00:00:10",,"Proposition avec décision/analyse/avis","Théories du complot au cachot",,,,,"Nord Saint-Martin",,,
export_contribution_type_proposal,user160,user160,user160@cap-collectif.com,Oui,,Citoyen,firstname160,lastname160,,,,,https://capco.dev/profile/user160,,10,,"""19-9129""","Proposal assigned 129",https://capco.dev/project/solidarite-covid-19/collect/collecte-de-projets/proposals/proposal-assigned-129?_locale=fr-FR,assignedProposals129,"2020-01-01 00:00:10",,"Proposition avec décision/analyse/avis","Théories du complot au cachot",,,,,"Nord Saint-Martin",,,
