export_contribution_type,export_proposal_id,export_proposal_published_at,export_proposal_reference,export_proposal_title,export_proposal_summary,export_proposal_description,export_proposal_author_id,export_proposal_votes_total_count,export_proposal_votes_digital_count,export_proposal_votes_paper_count,export_proposal_votes_total_points_count,export_proposal_votes_digital_points_count,export_proposal_votes_paper_points_count,export_proposal_category_name,export_proposal_theme_title,export_proposal_formatted_address,export_proposal_address_lat,export_proposal_address_lng,export_proposal_district_name,export_proposal_estimation,export_proposal_illustration,export_proposal_link,export_proposal_status_name,export_proposal_created_at,export_proposal_updated_at,export_proposal_publication_status,export_proposal_undraft_at,export_proposal_trashed_at,export_proposal_trashed_reason,export_proposal_author_username,export_proposal_author_is_email_confirmed,export_proposal_author_email,export_proposal_author_user_type_id,export_proposal_author_user_type_name,export_proposal_official_response,export_proposal_votes_id,export_proposal_votes_ranking,export_proposal_votes_created_at,export_proposal_votes_published_at,export_proposal_votes_published,export_proposal_votes_accounted,export_proposal_votes_anonymous,export_proposal_votes_author_id,export_proposal_votes_author_username,export_proposal_votes_author_is_email_confirmed,export_proposal_votes_author_is_phone_confirmed,export_proposal_votes_author_user_type_id,export_proposal_votes_author_user_type_name,export_proposal_comments_id,export_proposal_comments_body,export_proposal_comments_created_at,export_proposal_comments_published_at,export_proposal_comments_updated_at,export_proposal_comments_author_id,export_proposal_comments_author_username,export_proposal_comments_author_is_email_confirmed,export_proposal_comments_author_user_type_id,export_proposal_comments_author_user_type_name,export_proposal_comments_author_email,export_proposal_comments_pinned,export_proposal_comments_publication_status,export_proposal_comments_vote_id,export_proposal_comments_vote_created_at,export_proposal_comments_vote_published_at,export_proposal_comments_vote_author_id,export_proposal_comments_vote_author_username,export_proposal_comments_vote_author_is_email_confirmed,export_proposal_comments_vote_author_user_type_id,export_proposal_comments_vote_author_user_type_name,export_proposal_news_id,export_proposal_news_title,export_proposal_news_themes,export_proposal_news_linked_projects,export_proposal_news_linked_proposal,export_proposal_news_created_at,export_proposal_news_updated_at,export_proposal_news_published_at,export_proposal_news_publication_status,export_proposal_news_commentable,export_proposal_news_displayed_on_blog,export_proposal_news_authors_id,export_proposal_news_authors_username,export_proposal_news_authors_is_email_confirmed,export_proposal_news_authors_user_type_id,export_proposal_news_authors_user_type_name,export_proposal_news_comments_id,export_proposal_news_comments_body,export_proposal_news_comments_parent,export_proposal_news_comments_created_at,export_proposal_news_comments_published_at,export_proposal_news_comments_updated_at,export_proposal_news_comments_author_id,export_proposal_news_comments_author_username,export_proposal_news_comments_author_is_email_confirmed,export_proposal_news_comments_author_user_type_id,export_proposal_news_comments_author_user_type_name,export_proposal_news_comments_author_email,export_proposal_news_comments_pinned,export_proposal_news_comments_publication_status,export_proposal_news_comments_vote_id,export_proposal_news_comments_vote_created_at,export_proposal_news_comments_vote_published_at,export_proposal_news_comments_vote_author_id,export_proposal_news_comments_vote_author_username,export_proposal_news_comments_vote_author_is_email_confirmed,export_proposal_news_comments_vote_author_user_type_id,export_proposal_news_comments_vote_author_user_type_name,export_proposal_news_comments_reportings_id,export_proposal_news_comments_reportings_created_at,export_proposal_news_comments_reportings_author_id,export_proposal_news_comments_reportings_author_username,export_proposal_news_comments_reportings_author_is_email_confirmed,export_proposal_news_comments_reportings_author_user_type_id,export_proposal_news_comments_reportings_author_user_type_name,export_proposal_reportings_id,export_proposal_reportings_body,export_proposal_reportings_created_at,export_proposal_reportings_author_id,export_proposal_reportings_author_username,export_proposal_reportings_author_is_email_confirmed,export_proposal_reportings_author_user_type_id,export_proposal_reportings_author_user_type_name
export_contribution_type_proposal,proposal37,"2017-02-01 13:37:00","""111-45""","Libérons les nains de jardin",,TODO,user1,0,0,0,0,0,0,,,,,,,,,https://capco.dev/project/un-avenir-meilleur-pour-les-nains-de-jardins-custom-access/collect/collecte-des-propositions-liberer-les-nains-de-jardin/proposals/liberons-les-nains-de-jardin?_locale=fr-FR,,"2017-02-01 13:37:00","2017-02-01 13:37:00",export_proposal_publication_status_published,"2017-02-01 13:37:00",,,lbrunet,Oui,lbrunet@cap-collectif.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_comment,proposal37,"2017-02-01 13:37:00","""111-45""","Libérons les nains de jardin",,TODO,user1,0,0,0,0,0,0,,,,,,,,,https://capco.dev/project/un-avenir-meilleur-pour-les-nains-de-jardins-custom-access/collect/collecte-des-propositions-liberer-les-nains-de-jardin/proposals/liberons-les-nains-de-jardin?_locale=fr-FR,,"2017-02-01 13:37:00","2017-02-01 13:37:00",export_proposal_publication_status_published,"2017-02-01 13:37:00",,,lbrunet,Oui,lbrunet@cap-collectif.com,1,Citoyen,,,,,,,,,,,,,,,proposalComment56,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus.","2017-02-01 00:56:00","2017-02-01 00:56:00","2017-02-01 00:56:00",userAdmin,admin,Oui,1,Citoyen,admin@test.com,Oui,Publié,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_comment,proposal37,"2017-02-01 13:37:00","""111-45""","Libérons les nains de jardin",,TODO,user1,0,0,0,0,0,0,,,,,,,,,https://capco.dev/project/un-avenir-meilleur-pour-les-nains-de-jardins-custom-access/collect/collecte-des-propositions-liberer-les-nains-de-jardin/proposals/liberons-les-nains-de-jardin?_locale=fr-FR,,"2017-02-01 13:37:00","2017-02-01 13:37:00",export_proposal_publication_status_published,"2017-02-01 13:37:00",,,lbrunet,Oui,lbrunet@cap-collectif.com,1,Citoyen,,,,,,,,,,,,,,,proposalComment57,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus.","2017-02-01 00:57:00","2017-02-01 00:57:00","2017-02-01 00:57:00",userAdmin,admin,Oui,1,Citoyen,admin@test.com,Oui,Publié,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_comment,proposal37,"2017-02-01 13:37:00","""111-45""","Libérons les nains de jardin",,TODO,user1,0,0,0,0,0,0,,,,,,,,,https://capco.dev/project/un-avenir-meilleur-pour-les-nains-de-jardins-custom-access/collect/collecte-des-propositions-liberer-les-nains-de-jardin/proposals/liberons-les-nains-de-jardin?_locale=fr-FR,,"2017-02-01 13:37:00","2017-02-01 13:37:00",export_proposal_publication_status_published,"2017-02-01 13:37:00",,,lbrunet,Oui,lbrunet@cap-collectif.com,1,Citoyen,,,,,,,,,,,,,,,proposalComment58,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus.","2017-02-01 00:58:00","2017-02-01 00:58:00","2017-02-01 00:58:00",userAdmin,admin,Oui,1,Citoyen,admin@test.com,Oui,Publié,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_comment,proposal37,"2017-02-01 13:37:00","""111-45""","Libérons les nains de jardin",,TODO,user1,0,0,0,0,0,0,,,,,,,,,https://capco.dev/project/un-avenir-meilleur-pour-les-nains-de-jardins-custom-access/collect/collecte-des-propositions-liberer-les-nains-de-jardin/proposals/liberons-les-nains-de-jardin?_locale=fr-FR,,"2017-02-01 13:37:00","2017-02-01 13:37:00",export_proposal_publication_status_published,"2017-02-01 13:37:00",,,lbrunet,Oui,lbrunet@cap-collectif.com,1,Citoyen,,,,,,,,,,,,,,,proposalComment59,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus.","2017-02-01 00:59:00","2017-02-01 00:59:00","2017-02-01 00:59:00",userAdmin,admin,Oui,1,Citoyen,admin@test.com,Oui,Publié,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_comment,proposal37,"2017-02-01 13:37:00","""111-45""","Libérons les nains de jardin",,TODO,user1,0,0,0,0,0,0,,,,,,,,,https://capco.dev/project/un-avenir-meilleur-pour-les-nains-de-jardins-custom-access/collect/collecte-des-propositions-liberer-les-nains-de-jardin/proposals/liberons-les-nains-de-jardin?_locale=fr-FR,,"2017-02-01 13:37:00","2017-02-01 13:37:00",export_proposal_publication_status_published,"2017-02-01 13:37:00",,,lbrunet,Oui,lbrunet@cap-collectif.com,1,Citoyen,,,,,,,,,,,,,,,proposalComment60,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus.","2017-02-01 01:00:00","2017-02-01 01:00:00","2017-02-01 01:00:00",userAdmin,admin,Oui,1,Citoyen,admin@test.com,Oui,Publié,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_comment,proposal37,"2017-02-01 13:37:00","""111-45""","Libérons les nains de jardin",,TODO,user1,0,0,0,0,0,0,,,,,,,,,https://capco.dev/project/un-avenir-meilleur-pour-les-nains-de-jardins-custom-access/collect/collecte-des-propositions-liberer-les-nains-de-jardin/proposals/liberons-les-nains-de-jardin?_locale=fr-FR,,"2017-02-01 13:37:00","2017-02-01 13:37:00",export_proposal_publication_status_published,"2017-02-01 13:37:00",,,lbrunet,Oui,lbrunet@cap-collectif.com,1,Citoyen,,,,,,,,,,,,,,,proposalComment71,"I'm visible comment for saitama, don't mind me, it's ok.","2017-02-01 01:11:00","2017-02-01 01:11:00","2017-02-01 01:11:00",user2,sfavot,Oui,1,Citoyen,sfavot@cap-collectif.com,Oui,Publié,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_news_comment_vote,proposal37,"2017-02-01 13:37:00","""111-45""","Libérons les nains de jardin",,TODO,user1,0,0,0,0,0,0,,,,,,,,,https://capco.dev/project/un-avenir-meilleur-pour-les-nains-de-jardins-custom-access/collect/collecte-des-propositions-liberer-les-nains-de-jardin/proposals/liberons-les-nains-de-jardin?_locale=fr-FR,,"2017-02-01 13:37:00","2017-02-01 13:37:00",export_proposal_publication_status_published,"2017-02-01 13:37:00",,,lbrunet,Oui,lbrunet@cap-collectif.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910055,"2015-01-01 09:00:00","2015-01-01 09:00:00",userAdmin,admin,1,1,Citoyen,,,,,,,,,,,,,,,
export_contribution_type_proposal,proposal38,"2017-02-01 13:38:00","""111-46""","Libérons blanche neige",,TODO,user1,0,0,0,0,0,0,,,,,,,,,https://capco.dev/project/un-avenir-meilleur-pour-les-nains-de-jardins-custom-access/collect/collecte-des-propositions-liberer-les-nains-de-jardin/proposals/liberons-blanche-neige?_locale=fr-FR,,"2017-02-01 13:38:00","2017-02-01 13:38:00",export_proposal_publication_status_published,"2017-02-01 13:38:00",,,lbrunet,Oui,lbrunet@cap-collectif.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,proposal39,"2017-02-01 13:39:00","""111-47""","Donnons leur un village dédié",,TODO,user1,0,0,0,0,0,0,,,,,,,,,https://capco.dev/project/un-avenir-meilleur-pour-les-nains-de-jardins-custom-access/collect/collecte-des-propositions-liberer-les-nains-de-jardin/proposals/donnons-leur-un-village-dedie?_locale=fr-FR,,"2017-02-01 13:39:00","2017-02-01 13:39:00",export_proposal_publication_status_published,"2017-02-01 13:39:00",,,lbrunet,Oui,lbrunet@cap-collectif.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
