export_participant_user_id,export_participant_username,export_participant_user_email,export_participant_consent_internal_communication,export_participant_phone,export_participant_type,export_participant_firstname,export_participant_lastname,export_participant_date_of_birth,export_participant_postal_address,export_participant_zip_code,export_participant_city,export_participant_profile_url,export_participant_identification_code,export_participant_user_created_at,export_participant_user_updated_at,export_participant_user_last_login,export_participant_user_roles_text,export_participant_user_enabled,export_participant_user_is_email_confirmed,export_participant_user_locked,export_participant_user_is_phone_confirmed,export_participant_gender,export_participant_website_url,export_participant_biography,export_participant_is_france_connect_associated,user_votes_total_count_per_step,user_proposal_count_per_step,user_voted_proposal_ids
user1,lbrunet,lbrunet@cap-collectif.com,Oui,+3300000000,Citoyen,Laurent,Brunet,,,,,https://capco.dev/profile/lbrunet,,"2015-01-01 00:00:00",,,"Super Admin|Utilisateur",Oui,Oui,Non,Non,,,,Non,1,1,1
user10,user10,user10@cap-collectif.com,Oui,,Citoyen,firstname10,lastname10,,,,,https://capco.dev/profile/user10,,"2017-01-01 00:10:00",,,Utilisateur,Oui,Oui,Non,Non,,,,Non,1,0,1
user11,user11,user11@cap-collectif.com,Oui,,Citoyen,firstname11,lastname11,,,,,https://capco.dev/profile/user11,,"2017-01-01 00:11:00",,,Utilisateur,Oui,Oui,Non,Non,,,,Non,1,0,1
user12,user12,user12@cap-collectif.com,Oui,,Citoyen,firstname12,lastname12,,,,,https://capco.dev/profile/user12,,"2017-01-01 00:12:00",,,Utilisateur,Oui,Oui,Non,Non,,,,Non,1,0,1
user13,user13,user13@cap-collectif.com,Oui,,Citoyen,firstname13,lastname13,,,,,https://capco.dev/profile/user13,,"2017-01-01 00:13:00",,,Utilisateur,Oui,Oui,Non,Non,,,,Non,1,0,1
user14,user14,user14@cap-collectif.com,Oui,,Citoyen,firstname14,lastname14,,,,,https://capco.dev/profile/user14,,"2017-01-01 00:14:00",,,Utilisateur,Oui,Oui,Non,Non,,,,Non,1,0,1
user15,user15,user15@cap-collectif.com,Oui,,Citoyen,firstname15,lastname15,,,,,https://capco.dev/profile/user15,,"2017-01-01 00:15:00",,,Utilisateur,Oui,Oui,Non,Non,,,,Non,1,0,1
user16,user16,user16@cap-collectif.com,Oui,,Citoyen,firstname16,lastname16,,,,,https://capco.dev/profile/user16,,"2017-01-01 00:16:00",,,Utilisateur,Oui,Oui,Non,Non,,,,Non,1,0,1
user17,user17,user17@cap-collectif.com,Oui,,Citoyen,firstname17,lastname17,,,,,https://capco.dev/profile/user17,,"2017-01-01 00:17:00",,,Utilisateur,Oui,Oui,Non,Non,,,,Non,1,0,1
user18,user18,user18@cap-collectif.com,Oui,,Citoyen,firstname18,lastname18,,,,,https://capco.dev/profile/user18,,"2017-01-01 00:18:00",,,Utilisateur,Oui,Oui,Non,Non,,,,Non,1,0,1
user19,user19,user19@cap-collectif.com,Oui,,Citoyen,firstname19,lastname19,,,,,https://capco.dev/profile/user19,,"2017-01-01 00:19:00",,,Utilisateur,Oui,Oui,Non,Non,,,,Non,1,0,1
user2,sfavot,sfavot@cap-collectif.com,Non,+3300000000,Citoyen,Suzanne,Favot,,,,Antony,https://capco.dev/profile/sfavot,,"2015-01-02 00:00:00",,,"Super Admin|Utilisateur",Oui,Oui,Non,Oui,,http://www.sfavot.fr,"Lorem ipsum dolor sit amet, consectetur adipisicing elit. Eum earum fuga quaerat expedita minima labore vitae voluptate, repellendus perspiciatis consequuntur cum, dignissimos quas temporibus consequatur tempora est repellat. Architecto, quia.",Non,1,0,1
user20,user20,user20@cap-collectif.com,Oui,,Citoyen,firstname20,lastname20,,,,,https://capco.dev/profile/user20,,"2017-01-01 00:20:00",,,Utilisateur,Oui,Oui,Non,Non,,,,Non,1,0,1
user21,user21,user21@cap-collectif.com,Oui,,Citoyen,firstname21,lastname21,,,,,https://capco.dev/profile/user21,,"2017-01-01 00:21:00",,,Utilisateur,Oui,Oui,Non,Non,,,,Non,1,0,1
user22,user22,user22@cap-collectif.com,Oui,,Citoyen,firstname22,lastname22,,,,,https://capco.dev/profile/user22,,"2017-01-01 00:22:00",,,Utilisateur,Oui,Oui,Non,Non,,,,Non,1,0,1
user23,user23,user23@cap-collectif.com,Oui,,Citoyen,firstname23,lastname23,,,,,https://capco.dev/profile/user23,,"2017-01-01 00:23:00",,,Utilisateur,Oui,Oui,Non,Non,,,,Non,1,0,1
user24,user24,user24@cap-collectif.com,Oui,,Citoyen,firstname24,lastname24,,,,,https://capco.dev/profile/user24,,"2017-01-01 00:24:00",,,Utilisateur,Oui,Oui,Non,Non,,,,Non,1,0,1
user25,user25,user25@cap-collectif.com,Oui,,Citoyen,firstname25,lastname25,,,,,https://capco.dev/profile/user25,,"2017-01-01 00:25:00",,,Utilisateur,Oui,Oui,Non,Non,,,,Non,1,0,1
user26,user26,user26@cap-collectif.com,Oui,,Citoyen,firstname26,lastname26,,,,,https://capco.dev/profile/user26,,"2017-01-01 00:26:00",,,Utilisateur,Oui,Oui,Non,Non,,,,Non,1,0,1
user27,user27,user27@cap-collectif.com,Oui,,Citoyen,firstname27,lastname27,,,,,https://capco.dev/profile/user27,,"2017-01-01 00:27:00",,,Utilisateur,Oui,Oui,Non,Non,,,,Non,1,0,1
user28,user28,user28@cap-collectif.com,Oui,,Citoyen,firstname28,lastname28,,,,,https://capco.dev/profile/user28,,"2017-01-01 00:28:00",,,Utilisateur,Oui,Oui,Non,Non,,,,Non,1,0,1
user29,user29,user29@cap-collectif.com,Oui,,Citoyen,firstname29,lastname29,,,,,https://capco.dev/profile/user29,,"2017-01-01 00:29:00",,,Utilisateur,Oui,Oui,Non,Non,,,,Non,1,0,1
user3,xlacot,xlacot@cap-collectif.com,Non,,Citoyen,Xavier,Lacot,,,,,https://capco.dev/profile/xlacot,,"2015-01-03 00:00:00",,,"Super Admin|Utilisateur",Oui,Oui,Non,Non,,,,Non,1,0,1
user30,user30,user30@cap-collectif.com,Oui,,Citoyen,firstname30,lastname30,,,,,https://capco.dev/profile/user30,,"2017-01-01 00:30:00",,,Utilisateur,Oui,Oui,Non,Non,,,,Non,1,0,1
user31,user31,user31@cap-collectif.com,Oui,,Citoyen,firstname31,lastname31,,,,,https://capco.dev/profile/user31,,"2017-01-01 00:31:00",,,Utilisateur,Oui,Oui,Non,Non,,,,Non,1,0,1
user32,user32,user32@cap-collectif.com,Oui,,Citoyen,firstname32,lastname32,,,,,https://capco.dev/profile/user32,,"2017-01-01 00:32:00",,,Utilisateur,Oui,Oui,Non,Non,,,,Non,1,0,1
user33,user33,user33@cap-collectif.com,Oui,,Citoyen,firstname33,lastname33,,,,,https://capco.dev/profile/user33,,"2017-01-01 00:33:00",,,Utilisateur,Oui,Oui,Non,Non,,,,Non,1,0,1
user34,user34,user34@cap-collectif.com,Oui,,Citoyen,firstname34,lastname34,,,,,https://capco.dev/profile/user34,,"2017-01-01 00:34:00",,,Utilisateur,Oui,Oui,Non,Non,,,,Non,1,0,1
user35,user35,user35@cap-collectif.com,Oui,,Citoyen,firstname35,lastname35,,,,,https://capco.dev/profile/user35,,"2017-01-01 00:35:00",,,Utilisateur,Oui,Oui,Non,Non,,,,Non,1,0,1
user36,user36,user36@cap-collectif.com,Oui,,Citoyen,firstname36,lastname36,,,,,https://capco.dev/profile/user36,,"2017-01-01 00:36:00",,,Utilisateur,Oui,Oui,Non,Non,,,,Non,1,0,1
