export_contribution_type,export_contribution_author_id,export_participant_username,export_participant_user_email,export_participant_consent_internal_communication,export_participant_phone,export_participant_type,export_participant_firstname,export_participant_lastname,export_participant_date_of_birth,export_participant_postal_address,export_participant_zip_code,export_participant_city,export_participant_profile_url,export_participant_identification_code,export_contribution_id,export_contribution_consultation_title,export_contribution_section_title,export_contribution_title,export_contribution_body_text,export_contribution_url,export_contribution_votes_count,export_contribution_votes_count_ok,export_contribution_votes_count_mitige,export_contribution_votes_count_nok,export_contribution_arguments_count,export_contribution_arguments_count_for,export_contribution_arguments_count_against,export_contribution_votes_id,export_contribution_votes_related_id,export_contribution_votes_value,export_contribution_arguments_id,export_contribution_arguments_related_id,export_contribution_arguments_type,export_contribution_arguments_body,export_contribution_arguments_url,export_contribution_versions_id,export_contribution_versions_title,export_contribution_versions_explanation,export_contribution_versions_body_text,export_contribution_versions_votes_count,export_contribution_versions_votes_count_ok,export_contribution_versions_votes_count_mitige,export_contribution_versions_votes_count_nok
export_contribution_type_opinion,userAdmin,admin,admin@test.com,Non,+33675492871,Citoyen,Administrateur,authentifier,,"26 Rue Claude Tillier, 75012 Paris, France",,,https://capco.dev/profile/admin,,opinion101,"Étape participation continue","Première section","Opinion endless","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.",https://capco.dev/consultations/project-pour-la-creation-de-la-capcobeer-visible-par-admin-seulement/consultation/etape-participation-continue/opinions/premiere-section-encore-un-sous-titre/opinion-endless,0,0,1,0,1,0,1,,,,,,,,,,,,,,,,
export_contribution_type_argument,userAdmin,admin,admin@test.com,Non,+33675492871,Citoyen,Administrateur,authentifier,,"26 Rue Claude Tillier, 75012 Paris, France",,,https://capco.dev/profile/admin,,,,,,,,,,,,,,,,,,argument267,opinion101,argument.show.type.against,"Argument sur une opinion dans un project privé",https://capco.dev/consultations/project-pour-la-creation-de-la-capcobeer-visible-par-admin-seulement/consultation/etape-participation-continue/opinions/premiere-section-encore-un-sous-titre/opinion-endless#arg-argument267,,,,,,,,
export_contribution_type_opinion_version,userAdmin,admin,admin@test.com,Non,+33675492871,Citoyen,Administrateur,authentifier,,"26 Rue Claude Tillier, 75012 Paris, France",,,https://capco.dev/profile/admin,,,,,,,,,,,,,,,,,,,,,,,version16,"Modification 16","<p>Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.</p>","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.",0,0,0,0
export_contribution_type_opinion_version,userAdmin,admin,admin@test.com,Non,+33675492871,Citoyen,Administrateur,authentifier,,"26 Rue Claude Tillier, 75012 Paris, France",,,https://capco.dev/profile/admin,,,,,,,,,,,,,,,,,,,,,,,version19,"Modification 19","<p>Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.</p>","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.",0,0,0,0
export_contribution_type_opinion_version,userAdmin,admin,admin@test.com,Non,+33675492871,Citoyen,Administrateur,authentifier,,"26 Rue Claude Tillier, 75012 Paris, France",,,https://capco.dev/profile/admin,,,,,,,,,,,,,,,,,,,,,,,version20,"Modification 20","<p>Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.</p>","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.",0,0,0,0
export_contribution_type_opinion_version,userAdmin,admin,admin@test.com,Non,+33675492871,Citoyen,Administrateur,authentifier,,"26 Rue Claude Tillier, 75012 Paris, France",,,https://capco.dev/profile/admin,,,,,,,,,,,,,,,,,,,,,,,version21,"Modification 21","<p>Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.</p>","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.",0,0,0,0
export_contribution_type_opinion_version,userAdmin,admin,admin@test.com,Non,+33675492871,Citoyen,Administrateur,authentifier,,"26 Rue Claude Tillier, 75012 Paris, France",,,https://capco.dev/profile/admin,,,,,,,,,,,,,,,,,,,,,,,version22,"Modification 22","<p>Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.</p>","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.",0,0,0,0
export_contribution_type_opinion_version,userAdmin,admin,admin@test.com,Non,+33675492871,Citoyen,Administrateur,authentifier,,"26 Rue Claude Tillier, 75012 Paris, France",,,https://capco.dev/profile/admin,,,,,,,,,,,,,,,,,,,,,,,version23,"Modification 23","<p>Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.</p>","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.",0,0,0,0
export_contribution_type_opinion_version,userAdmin,admin,admin@test.com,Non,+33675492871,Citoyen,Administrateur,authentifier,,"26 Rue Claude Tillier, 75012 Paris, France",,,https://capco.dev/profile/admin,,,,,,,,,,,,,,,,,,,,,,,version24,"Modification 24","<p>Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.</p>","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.",0,0,0,0
export_contribution_type_opinion_version,userAdmin,admin,admin@test.com,Non,+33675492871,Citoyen,Administrateur,authentifier,,"26 Rue Claude Tillier, 75012 Paris, France",,,https://capco.dev/profile/admin,,,,,,,,,,,,,,,,,,,,,,,version25,"Modification 25","<p>Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.</p>","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.",0,0,0,0
export_contribution_type_opinion_version,userAdmin,admin,admin@test.com,Non,+33675492871,Citoyen,Administrateur,authentifier,,"26 Rue Claude Tillier, 75012 Paris, France",,,https://capco.dev/profile/admin,,,,,,,,,,,,,,,,,,,,,,,version26,"Modification 26","<p>Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.</p>","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.",0,0,0,0
export_contribution_type_opinion_version,userAdmin,admin,admin@test.com,Non,+33675492871,Citoyen,Administrateur,authentifier,,"26 Rue Claude Tillier, 75012 Paris, France",,,https://capco.dev/profile/admin,,,,,,,,,,,,,,,,,,,,,,,version27,"Modification 27","<p>Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.</p>","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.",0,0,0,0
export_contribution_type_opinion_version,userAdmin,admin,admin@test.com,Non,+33675492871,Citoyen,Administrateur,authentifier,,"26 Rue Claude Tillier, 75012 Paris, France",,,https://capco.dev/profile/admin,,,,,,,,,,,,,,,,,,,,,,,version28,"Modification 28","<p>Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.</p>","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.",0,0,0,0
