export_contribution_type,export_contribution_author_id,export_participant_username,export_participant_user_email,export_participant_consent_internal_communication,export_participant_phone,export_participant_type,export_participant_firstname,export_participant_lastname,export_participant_date_of_birth,export_participant_postal_address,export_participant_zip_code,export_participant_city,export_participant_profile_url,export_participant_identification_code,export_contribution_id,export_contribution_consultation_title,export_contribution_section_title,export_contribution_title,export_contribution_body_text,export_contribution_url,export_contribution_votes_count,export_contribution_votes_count_ok,export_contribution_votes_count_mitige,export_contribution_votes_count_nok,export_contribution_arguments_count,export_contribution_arguments_count_for,export_contribution_arguments_count_against,export_contribution_votes_id,export_contribution_votes_related_id,export_contribution_votes_value,export_contribution_arguments_id,export_contribution_arguments_related_id,export_contribution_arguments_type,export_contribution_arguments_body,export_contribution_arguments_url,export_contribution_versions_id,export_contribution_versions_title,export_contribution_versions_explanation,export_contribution_versions_body_text,export_contribution_versions_votes_count,export_contribution_versions_votes_count_ok,export_contribution_versions_votes_count_mitige,export_contribution_versions_votes_count_nok
export_contribution_type_opinion,user5,user,user@test.com,Oui,+33635492871,Citoyen,Utilisateur,authentifier,"1996-03-01 00:00:00",,75012,Paris,https://capco.dev/profile/user,DK2AZ554,opinion175,"Consultation step in project with many opinions","Opinion type avec beaucoup d'options","Opinion 175 parmis tant d'autres","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.",https://capco.dev/consultations/projet-avec-beaucoup-dopinions/consultation/consultation-step-in-project-with-many-opinions/opinions/opinion-type-avec-beaucoup-doptions/opinion-175-parmis-tant-dautres,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
export_contribution_type_opinion,user5,user,user@test.com,Oui,+33635492871,Citoyen,Utilisateur,authentifier,"1996-03-01 00:00:00",,75012,Paris,https://capco.dev/profile/user,DK2AZ554,opinion174,"Consultation step in project with many opinions","Opinion type avec beaucoup d'options","Opinion 174 parmis tant d'autres","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.",https://capco.dev/consultations/projet-avec-beaucoup-dopinions/consultation/consultation-step-in-project-with-many-opinions/opinions/opinion-type-avec-beaucoup-doptions/opinion-174-parmis-tant-dautres,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
export_contribution_type_opinion,user5,user,user@test.com,Oui,+33635492871,Citoyen,Utilisateur,authentifier,"1996-03-01 00:00:00",,75012,Paris,https://capco.dev/profile/user,DK2AZ554,opinion173,"Consultation step in project with many opinions","Opinion type avec beaucoup d'options","Opinion 173 parmis tant d'autres","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.",https://capco.dev/consultations/projet-avec-beaucoup-dopinions/consultation/consultation-step-in-project-with-many-opinions/opinions/opinion-type-avec-beaucoup-doptions/opinion-173-parmis-tant-dautres,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
export_contribution_type_opinion,user5,user,user@test.com,Oui,+33635492871,Citoyen,Utilisateur,authentifier,"1996-03-01 00:00:00",,75012,Paris,https://capco.dev/profile/user,DK2AZ554,opinion172,"Consultation step in project with many opinions","Opinion type avec beaucoup d'options","Opinion 172 parmis tant d'autres","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.",https://capco.dev/consultations/projet-avec-beaucoup-dopinions/consultation/consultation-step-in-project-with-many-opinions/opinions/opinion-type-avec-beaucoup-doptions/opinion-172-parmis-tant-dautres,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
export_contribution_type_opinion,user5,user,user@test.com,Oui,+33635492871,Citoyen,Utilisateur,authentifier,"1996-03-01 00:00:00",,75012,Paris,https://capco.dev/profile/user,DK2AZ554,opinion171,"Consultation step in project with many opinions","Opinion type avec beaucoup d'options","Opinion 171 parmis tant d'autres","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.",https://capco.dev/consultations/projet-avec-beaucoup-dopinions/consultation/consultation-step-in-project-with-many-opinions/opinions/opinion-type-avec-beaucoup-doptions/opinion-171-parmis-tant-dautres,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
export_contribution_type_opinion,user5,user,user@test.com,Oui,+33635492871,Citoyen,Utilisateur,authentifier,"1996-03-01 00:00:00",,75012,Paris,https://capco.dev/profile/user,DK2AZ554,opinion170,"Consultation step in project with many opinions","Opinion type avec beaucoup d'options","Opinion 170 parmis tant d'autres","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.",https://capco.dev/consultations/projet-avec-beaucoup-dopinions/consultation/consultation-step-in-project-with-many-opinions/opinions/opinion-type-avec-beaucoup-doptions/opinion-170-parmis-tant-dautres,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
export_contribution_type_opinion,user5,user,user@test.com,Oui,+33635492871,Citoyen,Utilisateur,authentifier,"1996-03-01 00:00:00",,75012,Paris,https://capco.dev/profile/user,DK2AZ554,opinion169,"Consultation step in project with many opinions","Opinion type avec beaucoup d'options","Opinion 169 parmis tant d'autres","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.",https://capco.dev/consultations/projet-avec-beaucoup-dopinions/consultation/consultation-step-in-project-with-many-opinions/opinions/opinion-type-avec-beaucoup-doptions/opinion-169-parmis-tant-dautres,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
export_contribution_type_opinion,user5,user,user@test.com,Oui,+33635492871,Citoyen,Utilisateur,authentifier,"1996-03-01 00:00:00",,75012,Paris,https://capco.dev/profile/user,DK2AZ554,opinion168,"Consultation step in project with many opinions","Opinion type avec beaucoup d'options","Opinion 168 parmis tant d'autres","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.",https://capco.dev/consultations/projet-avec-beaucoup-dopinions/consultation/consultation-step-in-project-with-many-opinions/opinions/opinion-type-avec-beaucoup-doptions/opinion-168-parmis-tant-dautres,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
export_contribution_type_opinion,user5,user,user@test.com,Oui,+33635492871,Citoyen,Utilisateur,authentifier,"1996-03-01 00:00:00",,75012,Paris,https://capco.dev/profile/user,DK2AZ554,opinion167,"Consultation step in project with many opinions","Opinion type avec beaucoup d'options","Opinion 167 parmis tant d'autres","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.",https://capco.dev/consultations/projet-avec-beaucoup-dopinions/consultation/consultation-step-in-project-with-many-opinions/opinions/opinion-type-avec-beaucoup-doptions/opinion-167-parmis-tant-dautres,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
export_contribution_type_opinion,user5,user,user@test.com,Oui,+33635492871,Citoyen,Utilisateur,authentifier,"1996-03-01 00:00:00",,75012,Paris,https://capco.dev/profile/user,DK2AZ554,opinion166,"Consultation step in project with many opinions","Opinion type avec beaucoup d'options","Opinion 166 parmis tant d'autres","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.",https://capco.dev/consultations/projet-avec-beaucoup-dopinions/consultation/consultation-step-in-project-with-many-opinions/opinions/opinion-type-avec-beaucoup-doptions/opinion-166-parmis-tant-dautres,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
export_contribution_type_opinion,user5,user,user@test.com,Oui,+33635492871,Citoyen,Utilisateur,authentifier,"1996-03-01 00:00:00",,75012,Paris,https://capco.dev/profile/user,DK2AZ554,opinion165,"Consultation step in project with many opinions","Opinion type avec beaucoup d'options","Opinion 165 parmis tant d'autres","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.",https://capco.dev/consultations/projet-avec-beaucoup-dopinions/consultation/consultation-step-in-project-with-many-opinions/opinions/opinion-type-avec-beaucoup-doptions/opinion-165-parmis-tant-dautres,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
export_contribution_type_opinion,user5,user,user@test.com,Oui,+33635492871,Citoyen,Utilisateur,authentifier,"1996-03-01 00:00:00",,75012,Paris,https://capco.dev/profile/user,DK2AZ554,opinion164,"Consultation step in project with many opinions","Opinion type avec beaucoup d'options","Opinion 164 parmis tant d'autres","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.",https://capco.dev/consultations/projet-avec-beaucoup-dopinions/consultation/consultation-step-in-project-with-many-opinions/opinions/opinion-type-avec-beaucoup-doptions/opinion-164-parmis-tant-dautres,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
export_contribution_type_opinion,user5,user,user@test.com,Oui,+33635492871,Citoyen,Utilisateur,authentifier,"1996-03-01 00:00:00",,75012,Paris,https://capco.dev/profile/user,DK2AZ554,opinion163,"Consultation step in project with many opinions","Opinion type avec beaucoup d'options","Opinion 163 parmis tant d'autres","Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.",https://capco.dev/consultations/projet-avec-beaucoup-dopinions/consultation/consultation-step-in-project-with-many-opinions/opinions/opinion-type-avec-beaucoup-doptions/opinion-163-parmis-tant-dautres,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
