export_participant_user_id,export_participant_username,export_participant_user_email,export_participant_consent_internal_communication,export_participant_phone,export_participant_type,export_participant_firstname,export_participant_lastname,export_participant_date_of_birth,export_participant_postal_address,export_participant_zip_code,export_participant_city,export_participant_profile_url,export_participant_identification_code,export_participant_user_created_at,export_participant_user_updated_at,export_participant_user_last_login,export_participant_user_roles_text,export_participant_user_enabled,export_participant_user_is_email_confirmed,export_participant_user_locked,export_participant_user_is_phone_confirmed,export_participant_gender,export_participant_website_url,export_participant_biography,export_participant_is_france_connect_associated
user1,lbrunet,lbrunet@cap-collectif.com,Oui,+3300000000,Citoyen,Laurent,Brunet,,,,,https://capco.dev/profile/lbrunet,,"2015-01-01 00:00:00",,,"Super Admin|Utilisateur",Oui,Oui,Non,Non,,,,Non
user10,user10,user10@cap-collectif.com,Oui,,Citoyen,firstname10,lastname10,,,,,https://capco.dev/profile/user10,,"2017-01-01 00:10:00",,,Utilisateur,Oui,Oui,Non,Non,,,,Non
user11,user11,user11@cap-collectif.com,Oui,,Citoyen,firstname11,lastname11,,,,,https://capco.dev/profile/user11,,"2017-01-01 00:11:00",,,Utilisateur,Oui,Oui,Non,Non,,,,Non
user12,user12,user12@cap-collectif.com,Oui,,Citoyen,firstname12,lastname12,,,,,https://capco.dev/profile/user12,,"2017-01-01 00:12:00",,,Utilisateur,Oui,Oui,Non,Non,,,,Non
user13,user13,user13@cap-collectif.com,Oui,,Citoyen,firstname13,lastname13,,,,,https://capco.dev/profile/user13,,"2017-01-01 00:13:00",,,Utilisateur,Oui,Oui,Non,Non,,,,Non
user14,user14,user14@cap-collectif.com,Oui,,Citoyen,firstname14,lastname14,,,,,https://capco.dev/profile/user14,,"2017-01-01 00:14:00",,,Utilisateur,Oui,Oui,Non,Non,,,,Non
user15,user15,user15@cap-collectif.com,Oui,,Citoyen,firstname15,lastname15,,,,,https://capco.dev/profile/user15,,"2017-01-01 00:15:00",,,Utilisateur,Oui,Oui,Non,Non,,,,Non
user16,user16,user16@cap-collectif.com,Oui,,Citoyen,firstname16,lastname16,,,,,https://capco.dev/profile/user16,,"2017-01-01 00:16:00",,,Utilisateur,Oui,Oui,Non,Non,,,,Non
user17,user17,user17@cap-collectif.com,Oui,,Citoyen,firstname17,lastname17,,,,,https://capco.dev/profile/user17,,"2017-01-01 00:17:00",,,Utilisateur,Oui,Oui,Non,Non,,,,Non
user18,user18,user18@cap-collectif.com,Oui,,Citoyen,firstname18,lastname18,,,,,https://capco.dev/profile/user18,,"2017-01-01 00:18:00",,,Utilisateur,Oui,Oui,Non,Non,,,,Non
user19,user19,user19@cap-collectif.com,Oui,,Citoyen,firstname19,lastname19,,,,,https://capco.dev/profile/user19,,"2017-01-01 00:19:00",,,Utilisateur,Oui,Oui,Non,Non,,,,Non
user2,sfavot,sfavot@cap-collectif.com,Non,+3300000000,Citoyen,Suzanne,Favot,,,,Antony,https://capco.dev/profile/sfavot,,"2015-01-02 00:00:00",,,"Super Admin|Utilisateur",Oui,Oui,Non,Oui,,http://www.sfavot.fr,"Lorem ipsum dolor sit amet, consectetur adipisicing elit. Eum earum fuga quaerat expedita minima labore vitae voluptate, repellendus perspiciatis consequuntur cum, dignissimos quas temporibus consequatur tempora est repellat. Architecto, quia.",Non
user20,user20,user20@cap-collectif.com,Oui,,Citoyen,firstname20,lastname20,,,,,https://capco.dev/profile/user20,,"2017-01-01 00:20:00",,,Utilisateur,Oui,Oui,Non,Non,,,,Non
