vote_publishedAt,vote_type,vote_geoip_country_name,vote_geoip_region_name,vote_geoip_city_name,vote_source,vote_author_id,vote_author_zipCode,vote_author_username,vote_author_isEmailConfirmed,vote_author_email,vote_author_userType_name,debate_url
"2015-01-01 00:00:00",AGAINST,Australia,,,APPLICATION,,,,,,,https://capco.dev/project/debat-sur-le-cannabis/debate/pour-ou-contre-la-legalisation-du-cannabis
"2015-01-01 00:00:00",AGAINST,"United States",Washington,Seattle,"WIDGET : www.figaro.fr",,,,,,,https://capco.dev/project/debat-sur-le-cannabis/debate/pour-ou-contre-la-legalisation-du-cannabis
"2015-01-01 00:00:00",FOR,Australia,,,APPLICATION,,,,,,,https://capco.dev/project/debat-sur-le-cannabis/debate/pour-ou-contre-la-legalisation-du-cannabis
"2015-01-01 00:00:00",FOR,Australia,,,APPLICATION,,,,,,,https://capco.dev/project/debat-sur-le-cannabis/debate/pour-ou-contre-la-legalisation-du-cannabis
"2015-01-01 00:00:00",FOR,"United States",,,"WIDGET : www.liberation.fr",,,,,,,https://capco.dev/project/debat-sur-le-cannabis/debate/pour-ou-contre-la-legalisation-du-cannabis
"2015-01-01 09:01:00",AGAINST,,,,APPLICATION,VXNlcjp1c2VyU3B5bA==,,spyl,1,aurelien@cap-collectif.com,Citoyen,https://capco.dev/project/debat-sur-le-cannabis/debate/pour-ou-contre-la-legalisation-du-cannabis
"2015-01-01 09:02:00",FOR,"United States",,,APPLICATION,VXNlcjp1c2VySWFu,,"Ian apprenti DevOps",1,ian@cap-collectif.com,,https://capco.dev/project/debat-sur-le-cannabis/debate/pour-ou-contre-la-legalisation-du-cannabis
"2015-01-01 09:03:00",AGAINST,Canada,,,MAIL,VXNlcjp1c2VyTWlja2FlbA==,,"Dev null",1,mickael@cap-collectif.com,,https://capco.dev/project/debat-sur-le-cannabis/debate/pour-ou-contre-la-legalisation-du-cannabis
"2015-01-01 09:04:00",FOR,"United States",,,APPLICATION,VXNlcjp1c2VySnBlYw==,,Jpec,1,jpec@cap-collectif.com,,https://capco.dev/project/debat-sur-le-cannabis/debate/pour-ou-contre-la-legalisation-du-cannabis
"2015-01-01 09:05:00",AGAINST,,,,APPLICATION,VXNlcjp1c2VyVGhlbw==,,"Théo QP",1,theo@cap-collectif.com,,https://capco.dev/project/debat-sur-le-cannabis/debate/pour-ou-contre-la-legalisation-du-cannabis
"2015-01-01 09:06:00",AGAINST,,,,APPLICATION,VXNlcjp1c2VyT21hcg==,,"Omar <3 Rem",1,omar@cap-collectif.com,,https://capco.dev/project/debat-sur-le-cannabis/debate/pour-ou-contre-la-legalisation-du-cannabis
"2015-01-01 09:07:00",AGAINST,,,,APPLICATION,VXNlcjp1c2VySmVhbg==,,Juan,1,jean@cap-collectif.com,Citoyen,https://capco.dev/project/debat-sur-le-cannabis/debate/pour-ou-contre-la-legalisation-du-cannabis
"2015-01-01 09:08:00",AGAINST,,,,"WIDGET : www.lemonde.fr",VXNlcjp1c2VyVmluY2VudA==,,Vince,1,vincent@cap-collectif.com,,https://capco.dev/project/debat-sur-le-cannabis/debate/pour-ou-contre-la-legalisation-du-cannabis
"2015-01-01 09:09:00",AGAINST,,,,APPLICATION,VXNlcjp1c2VyQWd1aQ==,,Agui,1,julien.aguilar@cap-collectif.com,,https://capco.dev/project/debat-sur-le-cannabis/debate/pour-ou-contre-la-legalisation-du-cannabis
"2015-01-01 09:10:00",AGAINST,,,,APPLICATION,VXNlcjp1c2VyTWF4aW1l,,mauriau,1,maxime.auriau@cap-collectif.com,Citoyen,https://capco.dev/project/debat-sur-le-cannabis/debate/pour-ou-contre-la-legalisation-du-cannabis
