export_contribution_argument_created_at,export_contribution_argument_published_at,export_contribution_argument_author_id,export_contribution_argument_author_username,export_contribution_argument_author_user_type_name,export_contribution_argument_author_zip_code,export_contribution_argument_author_account,export_contribution_argument_content,export_contribution_argument_type,export_contribution_argument_vote_number,export_contribution_argument_updated_at,export_contribution_argument_trashed_at,export_contribution_argument_trashed_reason,export_contribution_argument_author_is_email_confirmed,export_contribution_argument_author_email,export_contribution_argument_author_internal_communication,export_contribution_argument_author_external_communication,export_contribution_argument_debate_url,export_contribution_argument_geoip_country_name,export_contribution_argument_geoip_region_name,export_contribution_argument_geoip_city_name
"2020-10-23 09:08:00","2020-10-23 09:08:00",user42,user42,user42,,Oui,"Vous etes le 1.000.000e visiteur du site ! cliquez ici pour recevoir 1000€ ===> www.pigeon.com",export_contribution_argument_type_for,0,,"2020-10-23 10:08:00",spam,Oui,user42@cap-collectif.com,Oui,Non,https://capco.dev/project/debat-sur-le-cannabis/debate/pour-ou-contre-la-legalisation-du-cannabis,,,
"2020-10-23 09:09:00","2020-10-23 09:09:00",user43,user43,user43,,Oui,"Un contenu digne de la corbeille",export_contribution_argument_type_against,0,,"2020-10-23 10:09:00",spam,Oui,user43@cap-collectif.com,Oui,Non,https://capco.dev/project/debat-sur-le-cannabis/debate/pour-ou-contre-la-legalisation-du-cannabis,,,
"2020-10-23 09:02:00","2020-10-23 09:02:00",userAgui,Agui,userAgui,,Oui,"La politique répressive a échoué. Légaliser le cannabis mettrait fin à la violence engendrée par son trafic et assécherait les économies souterraines. Cela permettrait de sortir de nombreux adolescents des réseaux criminels.",export_contribution_argument_type_for,0,,,,Oui,julien.aguilar@cap-collectif.com,Oui,Non,https://capco.dev/project/debat-sur-le-cannabis/debate/pour-ou-contre-la-legalisation-du-cannabis,,,
"2020-10-23 09:06:00","2020-10-23 09:06:00",userIan,"Ian apprenti DevOps",userIan,,Oui,"Si le cannabis était légalisé, il serait vendu par le circuit officiel qui en contrôlerait la quantité et limiterait la teneur de THC pour réduire les accidents. Il serait alors peu attrayant pour la majorité des utilisateurs en recherche de sensations, voire de défonce. Ainsi, comme avant, les trafiquants proposeraient un produit plus fortement dosé et moins cher n’ayant plus le coût des compromissions et des risques actuels.",export_contribution_argument_type_against,0,,,,Oui,ian@cap-collectif.com,Non,Non,https://capco.dev/project/debat-sur-le-cannabis/debate/pour-ou-contre-la-legalisation-du-cannabis,,,
"2020-10-23 09:04:00","2020-10-23 09:04:00",userJpec,Jpec,userJpec,,Oui,"Les criminels ne sont pas fixés sur un produit mais sur l’argent. Si on légalise le cannabis, ils se reporteront vers des drogues dures (cocaïne et autres drogues de synthèse).",export_contribution_argument_type_against,0,,,,Oui,jpec@cap-collectif.com,Non,Non,https://capco.dev/project/debat-sur-le-cannabis/debate/pour-ou-contre-la-legalisation-du-cannabis,,,
"2020-10-23 09:05:00","2020-10-23 09:05:00",userMaximeQA,"Max de la QA",userMaximeQA,,Oui,"Le nombre de consommateurs de cannabis aux Pays-Bas n’a pas décru depuis la dépénalisation en 1976 et ce pays est devenu une plaque tournante du trafic en Europe. Idem en Espagne, qui a fait machine arrière.",export_contribution_argument_type_against,0,,,,Oui,maxime.pouessel@cap-collectif.com,Non,Non,https://capco.dev/project/debat-sur-le-cannabis/debate/pour-ou-contre-la-legalisation-du-cannabis,,,
"2020-10-23 09:00:00","2020-10-23 09:00:00",userSpyl,spyl,userSpyl,,Oui,"Malgré son coût élevé (plus de 12% de l’activité policière et des douanes sont consacrés à l’usage des drogues), la politique de répression est un échec. Selon l’Observatoire français des drogues et des toxicomanies (OFDT), on estime à 4 millions le nombre d’usagers, dont 1,2 million d’usagers sur une base mensuelle et 550 000 sur une base quotidienne.",export_contribution_argument_type_for,1,,,,Oui,aurelien@cap-collectif.com,Oui,Non,https://capco.dev/project/debat-sur-le-cannabis/debate/pour-ou-contre-la-legalisation-du-cannabis,,,
"2020-10-23 09:01:00","2020-10-23 09:01:00",userTheo,"Théo QP",userTheo,,Oui,"Les partisans de la légalisation estiment que le cannabis n’est pas plus nocif que le tabac ou l’alcool et doit être encadré de la même manière. Il pose un problème d’addiction qu’on peut contrer plus aisément en encadrant sa consommation.",export_contribution_argument_type_for,2,,,,Oui,theo@cap-collectif.com,Oui,Non,https://capco.dev/project/debat-sur-le-cannabis/debate/pour-ou-contre-la-legalisation-du-cannabis,,,
"2020-10-23 09:03:00","2020-10-23 09:03:00",userVincent,Vince,userVincent,,Oui,"Selon Pierre Kopp, la légalisation ramènerait « probablement entre 1 et 2 milliards d’euros par an à l’Etat », sous forme de taxes. Cet argent pourrait servir à financer des programmes de prévention et de lutte contre les drogues de toute nature. Le club Terra Nova avait de son côté estimé à 3 milliards d’euros le coût de la répression du cannabis pour la collectivité.",export_contribution_argument_type_for,0,,,,Oui,vincent@cap-collectif.com,Oui,Non,https://capco.dev/project/debat-sur-le-cannabis/debate/pour-ou-contre-la-legalisation-du-cannabis,,,
"2021-05-01 00:00:00","2021-05-01 01:00:00",,rasta94,,,Non,"Freedom for da ganja man",export_contribution_argument_type_for,1,,,,,kevin94@hotmail.com,,,https://capco.dev/project/debat-sur-le-cannabis/debate/pour-ou-contre-la-legalisation-du-cannabis,,,
