export_participant_user_id,export_participant_username,export_participant_user_email,export_contribution_argument_author_internal_communication,export_contribution_no_account_email,export_participant_phone,export_participant_type,export_participant_firstname,export_participant_lastname,export_participant_date_of_birth,export_participant_postal_address,export_participant_zip_code,export_participant_city,export_participant_profile_url,export_participant_identification_code,export_vote_published_at,export_vote_type,export_contribution_argument_published_at,export_contribution_argument_author_account,export_contribution_argument_content,export_contribution_argument_type,export_contribution_argument_vote_number
user42,user42,user42@cap-collectif.com,Non,Non,,Citoyen,firstname42,lastname42,,,,,https://capco.dev/profile/user42,,,,"2020-10-23 09:08:00",Oui,"Vous etes le 1.000.000e visiteur du site ! cliquez ici pour recevoir 1000€ ===> www.pigeon.com",,0
user43,user43,user43@cap-collectif.com,Non,Non,,Citoyen,firstname43,lastname43,,,,,https://capco.dev/profile/user43,,,,"2020-10-23 09:09:00",Oui,"Un contenu digne de la corbeille",,0
userAgui,Agui,julien.aguilar@cap-collectif.com,Non,Non,,,Julien,AGUILAR,,,,,https://capco.dev/profile/agui,,"2015-01-01 09:09:00",vote,"2020-10-23 09:02:00",Oui,"La politique répressive a échoué. Légaliser le cannabis mettrait fin à la violence engendrée par son trafic et assécherait les économies souterraines. Cela permettrait de sortir de nombreux adolescents des réseaux criminels.",export_contribution_argument_type_against,0
userIan,"Ian apprenti DevOps",ian@cap-collectif.com,Non,Non,,,Ian,DUCROT--THOLLON-POMMEROL,,,,,https://capco.dev/profile/ianapprentidevops,,"2015-01-01 09:02:00",vote,"2020-10-23 09:06:00",Oui,"Si le cannabis était légalisé, il serait vendu par le circuit officiel qui en contrôlerait la quantité et limiterait la teneur de THC pour réduire les accidents. Il serait alors peu attrayant pour la majorité des utilisateurs en recherche de sensations, voire de défonce. Ainsi, comme avant, les trafiquants proposeraient un produit plus fortement dosé et moins cher n’ayant plus le coût des compromissions et des risques actuels.",export_contribution_argument_type_for,0
userJpec,Jpec,jpec@cap-collectif.com,Non,Non,,,"Jean Paul",Bella,,,,,https://capco.dev/profile/jpec,,"2015-01-01 09:04:00",vote,"2020-10-23 09:04:00",Oui,"Les criminels ne sont pas fixés sur un produit mais sur l’argent. Si on légalise le cannabis, ils se reporteront vers des drogues dures (cocaïne et autres drogues de synthèse).",export_contribution_argument_type_for,0
userMaximeQA,"Max de la QA",maxime.pouessel@cap-collectif.com,Non,Non,,,Maxime,QA,,,,,https://capco.dev/profile/maxdelaqa,,,,"2020-10-23 09:05:00",Oui,"Le nombre de consommateurs de cannabis aux Pays-Bas n’a pas décru depuis la dépénalisation en 1976 et ce pays est devenu une plaque tournante du trafic en Europe. Idem en Espagne, qui a fait machine arrière.",,0
userSpyl,spyl,aurelien@cap-collectif.com,Non,Non,,Citoyen,Aurélien,David,,,,,https://capco.dev/profile/spyl,,"2015-01-01 09:01:00",vote,"2020-10-23 09:00:00",Oui,"Malgré son coût élevé (plus de 12% de l’activité policière et des douanes sont consacrés à l’usage des drogues), la politique de répression est un échec. Selon l’Observatoire français des drogues et des toxicomanies (OFDT), on estime à 4 millions le nombre d’usagers, dont 1,2 million d’usagers sur une base mensuelle et 550 000 sur une base quotidienne.",export_contribution_argument_type_against,1
userTheo,"Théo QP",theo@cap-collectif.com,Non,Non,,,Théo,Bourgoin,,,,,https://capco.dev/profile/theoqp,,"2015-01-01 09:05:00",vote,"2020-10-23 09:01:00",Oui,"Les partisans de la légalisation estiment que le cannabis n’est pas plus nocif que le tabac ou l’alcool et doit être encadré de la même manière. Il pose un problème d’addiction qu’on peut contrer plus aisément en encadrant sa consommation.",export_contribution_argument_type_against,2
userVincent,Vince,vincent@cap-collectif.com,Non,Non,,,Vincent,DEPLAIS,,,,,https://capco.dev/profile/vince,,"2015-01-01 09:08:00",vote,"2020-10-23 09:03:00",Oui,"Selon Pierre Kopp, la légalisation ramènerait « probablement entre 1 et 2 milliards d’euros par an à l’Etat », sous forme de taxes. Cet argent pourrait servir à financer des programmes de prévention et de lutte contre les drogues de toute nature. Le club Terra Nova avait de son côté estimé à 3 milliards d’euros le coût de la répression du cannabis pour la collectivité.",export_contribution_argument_type_against,0
,rasta94,kevin94@hotmail.com,Oui,Oui,,,,,,,,,,,,,"2021-05-01 01:00:00",Non,"Freedom for da ganja man",export_contribution_argument_type_for,1
