export_vote_published_at,export_vote_type,export_vote_author_id,export_vote_source,export_vote_author_zip_code,export_vote_author_username,export_vote_author_is_email_confirmed,export_vote_author_email,export_vote_author_user_type_name,export_vote_debate_url,export_vote_geoip_country_code,export_vote_geoip_region_name,export_vote_geoip_city_name
"2015-01-01 00:00:00",export_vote_type_against,,APPLICATION,,,,,,https://capco.dev/project/debat-sur-le-cannabis/debate/pour-ou-contre-la-legalisation-du-cannabis,,,
"2015-01-01 00:00:00",export_vote_type_against,,"WIDGET : www.figaro.fr",,,,,,https://capco.dev/project/debat-sur-le-cannabis/debate/pour-ou-contre-la-legalisation-du-cannabis,,,
"2015-01-01 00:00:00",export_vote_type_for,,APPLICATION,,,,,,https://capco.dev/project/debat-sur-le-cannabis/debate/pour-ou-contre-la-legalisation-du-cannabis,,,
"2015-01-01 00:00:00",export_vote_type_for,,APPLICATION,,,,,,https://capco.dev/project/debat-sur-le-cannabis/debate/pour-ou-contre-la-legalisation-du-cannabis,,,
"2015-01-01 00:00:00",export_vote_type_for,,"WIDGET : www.liberation.fr",,,,,,https://capco.dev/project/debat-sur-le-cannabis/debate/pour-ou-contre-la-legalisation-du-cannabis,,,
"2015-01-01 09:01:00",export_vote_type_against,userSpyl,APPLICATION,,spyl,Oui,aurelien@cap-collectif.com,Citoyen,https://capco.dev/project/debat-sur-le-cannabis/debate/pour-ou-contre-la-legalisation-du-cannabis,,,
"2015-01-01 09:02:00",export_vote_type_for,userIan,APPLICATION,,"Ian apprenti DevOps",Oui,ian@cap-collectif.com,,https://capco.dev/project/debat-sur-le-cannabis/debate/pour-ou-contre-la-legalisation-du-cannabis,,,
"2015-01-01 09:03:00",export_vote_type_against,userMickael,MAIL,,"Dev null",Oui,mickael@cap-collectif.com,,https://capco.dev/project/debat-sur-le-cannabis/debate/pour-ou-contre-la-legalisation-du-cannabis,,,
"2015-01-01 09:04:00",export_vote_type_for,userJpec,APPLICATION,,Jpec,Oui,jpec@cap-collectif.com,,https://capco.dev/project/debat-sur-le-cannabis/debate/pour-ou-contre-la-legalisation-du-cannabis,,,
"2015-01-01 09:05:00",export_vote_type_against,userTheo,APPLICATION,,"Théo QP",Oui,theo@cap-collectif.com,,https://capco.dev/project/debat-sur-le-cannabis/debate/pour-ou-contre-la-legalisation-du-cannabis,,,
"2015-01-01 09:06:00",export_vote_type_against,userOmar,APPLICATION,,"Omar <3 Rem",Oui,omar@cap-collectif.com,,https://capco.dev/project/debat-sur-le-cannabis/debate/pour-ou-contre-la-legalisation-du-cannabis,,,
"2015-01-01 09:07:00",export_vote_type_against,userJean,APPLICATION,,Juan,Oui,jean@cap-collectif.com,Citoyen,https://capco.dev/project/debat-sur-le-cannabis/debate/pour-ou-contre-la-legalisation-du-cannabis,,,
"2015-01-01 09:08:00",export_vote_type_against,userVincent,"WIDGET : www.lemonde.fr",,Vince,Oui,vincent@cap-collectif.com,,https://capco.dev/project/debat-sur-le-cannabis/debate/pour-ou-contre-la-legalisation-du-cannabis,,,
"2015-01-01 09:09:00",export_vote_type_against,userAgui,APPLICATION,,Agui,Oui,julien.aguilar@cap-collectif.com,,https://capco.dev/project/debat-sur-le-cannabis/debate/pour-ou-contre-la-legalisation-du-cannabis,,,
"2015-01-01 09:10:00",export_vote_type_against,userMaxime,APPLICATION,,mauriau,Oui,maxime.auriau@cap-collectif.com,Citoyen,https://capco.dev/project/debat-sur-le-cannabis/debate/pour-ou-contre-la-legalisation-du-cannabis,,,
,export_vote_type_against,userNotConfirmedWithContributions,APPLICATION,,userNotConfirmedWithContributions,Non,userNotConfirmedWithContributions@test.com,Citoyen,https://capco.dev/project/debat-sur-le-cannabis/debate/pour-ou-contre-la-legalisation-du-cannabis,,,
