export_vote_published_at,export_vote_type,export_vote_author_id,export_vote_source,export_vote_author_zip_code,export_vote_author_username,export_vote_author_is_email_confirmed,export_vote_author_email,export_vote_author_user_type_name,export_vote_debate_url,export_vote_geoip_country_code,export_vote_geoip_region_name,export_vote_geoip_city_name
"2020-01-13 00:00:00",export_vote_type_for,user12,APPLICATION,,user12,Oui,user12@cap-collectif.com,Citoyen,https://capco.dev/project/debats-sur-la-vie/debate/pourquoi-la-mort,,,
"2020-01-14 00:00:00",export_vote_type_for,user13,APPLICATION,,user13,Oui,user13@cap-collectif.com,Citoyen,https://capco.dev/project/debats-sur-la-vie/debate/pourquoi-la-mort,,,
"2020-01-15 00:00:00",export_vote_type_for,user14,APPLICATION,,user14,Oui,user14@cap-collectif.com,Citoyen,https://capco.dev/project/debats-sur-la-vie/debate/pourquoi-la-mort,,,
"2020-01-16 00:00:00",export_vote_type_for,user15,APPLICATION,,user15,Oui,user15@cap-collectif.com,Citoyen,https://capco.dev/project/debats-sur-la-vie/debate/pourquoi-la-mort,,,
"2020-01-17 00:00:00",export_vote_type_for,user16,APPLICATION,,user16,Oui,user16@cap-collectif.com,Citoyen,https://capco.dev/project/debats-sur-la-vie/debate/pourquoi-la-mort,,,
"2020-01-18 00:00:00",export_vote_type_for,user17,APPLICATION,,user17,Oui,user17@cap-collectif.com,Citoyen,https://capco.dev/project/debats-sur-la-vie/debate/pourquoi-la-mort,,,
"2020-01-19 00:00:00",export_vote_type_for,user18,APPLICATION,,user18,Oui,user18@cap-collectif.com,Citoyen,https://capco.dev/project/debats-sur-la-vie/debate/pourquoi-la-mort,,,
"2020-01-20 00:00:00",export_vote_type_for,user19,APPLICATION,,user19,Oui,user19@cap-collectif.com,Citoyen,https://capco.dev/project/debats-sur-la-vie/debate/pourquoi-la-mort,,,
"2020-01-21 00:00:00",export_vote_type_for,user20,APPLICATION,,user20,Oui,user20@cap-collectif.com,Citoyen,https://capco.dev/project/debats-sur-la-vie/debate/pourquoi-la-mort,,,
"2020-01-22 00:00:00",export_vote_type_for,user21,APPLICATION,,user21,Oui,user21@cap-collectif.com,Citoyen,https://capco.dev/project/debats-sur-la-vie/debate/pourquoi-la-mort,,,
"2020-01-23 00:00:00",export_vote_type_for,user22,APPLICATION,,user22,Oui,user22@cap-collectif.com,Citoyen,https://capco.dev/project/debats-sur-la-vie/debate/pourquoi-la-mort,,,
