id,email,userName,typeName,createdAt,updatedAt,lastLogin,rolesText,consentExternalCommunication,enabled,isEmailConfirmed,locked,phoneConfirmed,gender,dateOfBirth,websiteUrl,biography,address,zipCode,city,phone,profileUrl
VXNlcjp1c2VyNTA=,user50@cap-collectif.com,user50,Citoyen,"2017-01-01 00:50:00",,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user50
VXNlcjp1c2VyNDk=,user49@cap-collectif.com,user49,Citoyen,"2017-01-01 00:49:00",,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user49
VXNlcjp1c2VyNDg=,user48@cap-collectif.com,user48,Citoyen,"2017-01-01 00:48:00",,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user48
VXNlcjp1c2VyNDc=,user47@cap-collectif.com,user47,Citoyen,"2017-01-01 00:47:00",,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user47
VXNlcjp1c2VyNDY=,user46@cap-collectif.com,user46,Citoyen,"2017-01-01 00:46:00",,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user46
VXNlcjp1c2VyNDU=,user45@cap-collectif.com,user45,Citoyen,"2017-01-01 00:45:00",,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user45
VXNlcjp1c2VyNDQ=,user44@cap-collectif.com,user44,Citoyen,"2017-01-01 00:44:00",,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user44
VXNlcjp1c2VyNDM=,user43@cap-collectif.com,user43,Citoyen,"2017-01-01 00:43:00",,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user43
VXNlcjp1c2VyNDI=,user42@cap-collectif.com,user42,Citoyen,"2017-01-01 00:42:00",,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user42
VXNlcjp1c2VyNDE=,user41@cap-collectif.com,user41,Citoyen,"2017-01-01 00:41:00",,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user41
VXNlcjp1c2VyNDA=,user40@cap-collectif.com,user40,Citoyen,"2017-01-01 00:40:00",,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user40
VXNlcjp1c2VyMzk=,user39@cap-collectif.com,user39,Citoyen,"2017-01-01 00:39:00",,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user39
VXNlcjp1c2VyMzg=,user38@cap-collectif.com,user38,Citoyen,"2017-01-01 00:38:00",,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user38
VXNlcjp1c2VyMzc=,user37@cap-collectif.com,user37,Citoyen,"2017-01-01 00:37:00",,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user37
VXNlcjp1c2VyMzY=,user36@cap-collectif.com,user36,Citoyen,"2017-01-01 00:36:00",,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user36
VXNlcjp1c2VyMzU=,user35@cap-collectif.com,user35,Citoyen,"2017-01-01 00:35:00",,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user35
VXNlcjp1c2VyMzQ=,user34@cap-collectif.com,user34,Citoyen,"2017-01-01 00:34:00",,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user34
VXNlcjp1c2VyMzM=,user33@cap-collectif.com,user33,Citoyen,"2017-01-01 00:33:00",,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user33
VXNlcjp1c2VyMzI=,user32@cap-collectif.com,user32,Citoyen,"2017-01-01 00:32:00",,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user32
VXNlcjp1c2VyMzE=,user31@cap-collectif.com,user31,Citoyen,"2017-01-01 00:31:00",,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user31
