id,email,userName,typeName,createdAt,updatedAt,lastLogin,rolesText,consentExternalCommunication,enabled,isEmailConfirmed,locked,phoneConfirmed,gender,dateOfBirth,websiteUrl,biography,address,zipCode,city,phone,profileUrl
VXNlcjp1c2VySWFu,ian@cap-collectif.com,"Ian apprenti DevOps",,"2020-03-09 09:30:00",,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/ianapprentidevops
VXNlcjp1c2VyVmluY2VudA==,vincent@cap-collectif.com,Vince,,"2019-12-02 09:30:00",,,"Super Admin|Utilisateur",No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/vince
VXNlcjp1c2VyTWlja2FlbA==,mickael@cap-collectif.com,"Dev null",,"2019-11-04 09:30:00",,,Utilisateur,No,Yes,Yes,No,No,,,,"La raclette c'est bon.",,,,,https://capco.dev/profile/devnull
VXNlcjp1c2VyQWd1aQ==,julien.aguilar@cap-collectif.com,Agui,,"2019-09-09 09:30:00",,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/agui
VXNlcjp1c2VySnBlYw==,jpec@cap-collectif.com,Jpec,,"2019-07-15 09:30:00",,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/jpec
VXNlcjp1c2VyVGhlbw==,theo@cap-collectif.com,"Théo QP",,"2019-06-03 09:30:00",,,"Utilisateur|Créateur de projet",No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/theoqp
VXNlcjp1c2VyT21hcg==,omar@cap-collectif.com,"Omar <3 Rem",,"2018-10-17 09:30:00",,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/omar3rem
VXNlcjp1c2VySmVhbg==,jean@cap-collectif.com,Juan,Citoyen,"2018-09-03 09:30:00",,,"Super Admin|Utilisateur",No,Yes,Yes,No,No,,,,"Yrf pungf qbzvarebag ovragbg yr zbaqr.",,,,,https://capco.dev/profile/juan1
VXNlcjp1c2VyTWF4aW1l,maxime.auriau@cap-collectif.com,mauriau,Citoyen,"2018-01-03 13:37:00",,,"Super Admin|Utilisateur",No,Yes,Yes,No,Yes,,,,,,,,,https://capco.dev/profile/mauriau
VXNlcjp1c2VyNDM=,user43@cap-collectif.com,user43,Citoyen,"2017-01-01 00:43:00",,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user43
VXNlcjp1c2VyNDI=,user42@cap-collectif.com,user42,Citoyen,"2017-01-01 00:42:00",,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user42
VXNlcjp1c2VyU3B5bA==,aurelien@cap-collectif.com,spyl,Citoyen,"2015-03-01 11:00:00",,,"Super Admin|Utilisateur",No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/spyl
VXNlcjp1c2VyTWF4aW1lUUE=,maxime.pouessel@cap-collectif.com,"Max de la QA",,"2015-01-20 03:02:01",,,Utilisateur,No,Yes,Yes,No,No,,,,"Le mec qui met des retours partout",,,,,https://capco.dev/profile/maxdelaqa
VXNlcjp1c2VyNQ==,user@test.com,user,Citoyen,"2015-01-06 00:00:00","2016-01-01 00:00:00",,Utilisateur,No,Yes,Yes,No,Yes,FEMALE,"1996-03-01 00:00:00",,,"12 rue des boulets",75012,Paris,+33635492871,https://capco.dev/profile/user
VXNlcjp1c2VyMQ==,lbrunet@cap-collectif.com,lbrunet,Citoyen,"2015-01-01 00:00:00",,,"Super Admin|Utilisateur",No,Yes,Yes,No,No,,,,,,,,+3300000000,https://capco.dev/profile/lbrunet
