export_participant_user_id,export_participant_username,export_participant_user_email,export_participant_consent_internal_communication,export_participant_phone,export_participant_type,export_participant_firstname,export_participant_lastname,export_participant_date_of_birth,export_participant_postal_address,export_participant_zip_code,export_participant_city,export_participant_profile_url,export_participant_identification_code,export_participant_user_created_at,export_participant_user_updated_at,export_participant_user_last_login,export_participant_user_roles_text,export_participant_user_enabled,export_participant_user_is_email_confirmed,export_participant_user_locked,export_participant_user_is_phone_confirmed,export_participant_gender,export_participant_website_url,export_participant_biography,export_participant_is_france_connect_associated
user42,user42,user42@cap-collectif.com,Oui,,Citoyen,firstname42,lastname42,,,,,https://capco.dev/profile/user42,,"2017-01-01 00:42:00",,,Utilisateur,Oui,Oui,Non,Non,,,,Non
user43,user43,user43@cap-collectif.com,Oui,,Citoyen,firstname43,lastname43,,,,,https://capco.dev/profile/user43,,"2017-01-01 00:43:00",,,Utilisateur,Oui,Oui,Non,Non,,,,Non
userAgui,Agui,julien.aguilar@cap-collectif.com,Oui,,,Julien,AGUILAR,,,,,https://capco.dev/profile/agui,,"2019-09-09 09:30:00",,,Utilisateur,Oui,Oui,Non,Non,,,,Non
userIan,"Ian apprenti DevOps",ian@cap-collectif.com,Non,,,Ian,DUCROT--THOLLON-POMMEROL,,,,,https://capco.dev/profile/ianapprentidevops,,"2020-03-09 09:30:00",,,Utilisateur,Oui,Oui,Non,Non,,,,Non
userJean,Juan,jean@cap-collectif.com,Non,,Citoyen,Jean,Treibert,,,,,https://capco.dev/profile/juan1,,"2018-09-03 09:30:00",,,"Super Admin|Utilisateur",Oui,Oui,Non,Non,,,"Yrf pungf qbzvarebag ovragbg yr zbaqr.",Non
userJpec,Jpec,jpec@cap-collectif.com,Non,,,"Jean Paul",Bella,,,,,https://capco.dev/profile/jpec,,"2019-07-15 09:30:00",,,Utilisateur,Oui,Oui,Non,Non,,,,Non
userMaxime,mauriau,maxime.auriau@cap-collectif.com,Oui,,Citoyen,Maxime,AURIAU,,,,,https://capco.dev/profile/mauriau,,"2018-01-03 13:37:00",,,"Super Admin|Utilisateur",Oui,Oui,Non,Oui,,,,Non
userMaximeQA,"Max de la QA",maxime.pouessel@cap-collectif.com,Non,,,Maxime,QA,,,,,https://capco.dev/profile/maxdelaqa,,"2015-01-20 03:02:01",,,Utilisateur,Oui,Oui,Non,Non,,,"Le mec qui met des retours partout",Non
userMickael,"Dev null",mickael@cap-collectif.com,Oui,,,Mickael,Buliard,,,,,https://capco.dev/profile/devnull,,"2019-11-04 09:30:00",,,Utilisateur,Oui,Oui,Non,Non,,,"La raclette c'est bon.",Non
userOmar,"Omar <3 Rem",omar@cap-collectif.com,Non,,,Omar,Jbara,,,,,https://capco.dev/profile/omar3rem,,"2018-10-17 09:30:00",,,Utilisateur,Oui,Oui,Non,Non,,,,Non
userSpyl,spyl,aurelien@cap-collectif.com,Oui,,Citoyen,Aurélien,David,,,,,https://capco.dev/profile/spyl,,"2015-03-01 11:00:00",,,"Super Admin|Utilisateur",Oui,Oui,Non,Non,,,,Non
userTheo,"Théo QP",theo@cap-collectif.com,Oui,,,Théo,Bourgoin,,,,,https://capco.dev/profile/theoqp,,"2019-06-03 09:30:00",,,"Utilisateur|Créateur de projet",Oui,Oui,Non,Non,,,,Non
userVincent,Vince,vincent@cap-collectif.com,Oui,,,Vincent,DEPLAIS,,,,,https://capco.dev/profile/vince,,"2019-12-02 09:30:00",,,"Super Admin|Utilisateur",Oui,Oui,Non,Non,,,,Non
,,jeannine1957@laposte.fr,Non,,,,,,,,,,,,,,,,,,,,,,
,,kevin94@hotmail.com,Oui,,,,,,,,,,,,,,,,,,,,,,
