export_participant_user_id,export_participant_username,export_participant_user_email,export_participant_consent_internal_communication,export_participant_phone,export_participant_type,export_participant_firstname,export_participant_lastname,export_participant_date_of_birth,export_participant_postal_address,export_participant_zip_code,export_participant_city,export_participant_profile_url,export_participant_identification_code
user42,user42,user42@cap-collectif.com,Oui,,Citoyen,firstname42,lastname42,,,,,https://capco.dev/profile/user42,
user43,user43,user43@cap-collectif.com,Oui,,Citoyen,firstname43,lastname43,,,,,https://capco.dev/profile/user43,
userAgui,Agui,julien.aguilar@cap-collectif.com,Oui,,,Julien,AGUILAR,,,,,https://capco.dev/profile/agui,
userIan,"Ian apprenti DevOps",ian@cap-collectif.com,Non,,,Ian,DUCROT--THOLLON-POMMEROL,,,,,https://capco.dev/profile/ianapprentidevops,
userJean,Juan,jean@cap-collectif.com,Non,,Citoyen,Jean,Treibert,,,,,https://capco.dev/profile/juan1,
userJpec,Jpec,jpec@cap-collectif.com,Non,,,"Jean Paul",Bella,,,,,https://capco.dev/profile/jpec,
userMaxime,mauriau,maxime.auriau@cap-collectif.com,Oui,,Citoyen,Maxime,AURIAU,,,,,https://capco.dev/profile/mauriau,
userMaximeQA,"Max de la QA",maxime.pouessel@cap-collectif.com,Non,,,Maxime,QA,,,,,https://capco.dev/profile/maxdelaqa,
userMickael,"Dev null",mickael@cap-collectif.com,Oui,,,Mickael,Buliard,,,,,https://capco.dev/profile/devnull,
userOmar,"Omar <3 Rem",omar@cap-collectif.com,Non,,,Omar,Jbara,,,,,https://capco.dev/profile/omar3rem,
userSpyl,spyl,aurelien@cap-collectif.com,Oui,,Citoyen,Aurélien,David,,,,,https://capco.dev/profile/spyl,
userTheo,"Théo QP",theo@cap-collectif.com,Oui,,,Théo,Bourgoin,,,,,https://capco.dev/profile/theoqp,
userVincent,Vince,vincent@cap-collectif.com,Oui,,,Vincent,DEPLAIS,,,,,https://capco.dev/profile/vince,
,,jeannine1957@laposte.fr,Non,,,,,,,,,,
,,kevin94@hotmail.com,Oui,,,,,,,,,,
