export_participant_user_id,export_participant_user_email,export_participant_username,export_participant_type,export_participant_user_created_at,export_participant_user_updated_at,export_participant_user_last_login,export_participant_user_roles_text,export_participant_consent_internal_communication,export_participant_user_enabled,export_participant_user_is_email_confirmed,export_participant_user_locked,export_participant_user_is_phone_confirmed,export_participant_gender,export_participant_date_of_birth,export_participant_website_url,export_participant_biography,export_participant_postal_address,export_participant_zip_code,export_participant_city,export_participant_phone,export_participant_profile_url,export_participant_identification_code
VXNlcjplbWFpbGluZ0FkbWlu,emailing.admin@fake-email.com,emailingadmin,"Manipulateur d'emails","2025-01-01 17:00:00",,,"Super Admin|Utilisateur",global.yes,global.yes,global.yes,global.no,global.no,,,,"Je fais des campagnes de mails.",,,,+3300000000,https://capco.dev/profile/emailingadmin,
VXNlcjplbWFpbGluZ1VzZXIx,emailing.user1@fake-email.com,emailingUser1,"Manipulateur d'emails","2025-01-01 17:00:00",,,Utilisateur,global.yes,global.yes,global.yes,global.no,global.no,,,,,,,,,https://capco.dev/profile/emailinguser1,
VXNlcjplbWFpbGluZ1VzZXIxMA==,emailing.user10@fake-email.com,emailingUser10,"Manipulateur d'emails","2025-01-01 17:00:00",,,Utilisateur,global.yes,global.yes,global.yes,global.no,global.no,,,,,,,,,https://capco.dev/profile/emailinguser10,
VXNlcjplbWFpbGluZ1VzZXIxNw==,emailing.user17@fake-email.com,emailingUser17,"Manipulateur d'emails","2025-01-01 17:00:00",,,Utilisateur,global.yes,global.yes,global.yes,global.no,global.no,,,,,,,,,https://capco.dev/profile/emailinguser17,
VXNlcjplbWFpbGluZ1VzZXIxOA==,emailing.user18@fake-email.com,emailingUser18,"Manipulateur d'emails","2025-01-01 17:00:00",,,Utilisateur,global.yes,global.yes,global.yes,global.no,global.no,,,,,,,,,https://capco.dev/profile/emailinguser18,
VXNlcjplbWFpbGluZ1VzZXIy,emailing.user2@fake-email.com,emailingUser2,"Manipulateur d'emails","2025-01-01 17:00:00",,,Utilisateur,global.yes,global.yes,global.yes,global.no,global.no,,,,,,,,,https://capco.dev/profile/emailinguser2,
VXNlcjplbWFpbGluZ1VzZXIyMA==,emailing.user20@fake-email.com,emailingUser20,"Manipulateur d'emails","2025-01-01 17:00:00",,,Utilisateur,global.yes,global.yes,global.yes,global.no,global.no,,,,,,,,,https://capco.dev/profile/emailinguser20,
VXNlcjplbWFpbGluZ1VzZXIyMQ==,emailing.user21@fake-email.com,emailingUser21,"Manipulateur d'emails","2025-01-01 17:00:00",,,Utilisateur,global.yes,global.yes,global.yes,global.no,global.no,,,,,,,,,https://capco.dev/profile/emailinguser21,
VXNlcjplbWFpbGluZ1VzZXIz,emailing.user3@fake-email.com,emailingUser3,"Manipulateur d'emails","2025-01-01 17:00:00",,,Utilisateur,global.yes,global.yes,global.yes,global.no,global.no,,,,,,,,,https://capco.dev/profile/emailinguser3,
VXNlcjplbWFpbGluZ1VzZXI0,emailing.user4@fake-email.com,emailingUser4,"Manipulateur d'emails","2025-01-01 17:00:00",,,Utilisateur,global.yes,global.yes,global.yes,global.no,global.no,,,,,,,,,https://capco.dev/profile/emailinguser4,
VXNlcjplbWFpbGluZ1VzZXI1,emailing.user5@fake-email.com,emailingUser5,"Manipulateur d'emails","2025-01-01 17:00:00",,,Utilisateur,global.yes,global.yes,global.yes,global.no,global.no,,,,,,,,,https://capco.dev/profile/emailinguser5,
VXNlcjplbWFpbGluZ1VzZXI2,emailing.user6@fake-email.com,emailingUser6,"Manipulateur d'emails","2025-01-01 17:00:00",,,Utilisateur,global.yes,global.yes,global.yes,global.no,global.no,,,,,,,,,https://capco.dev/profile/emailinguser6,
VXNlcjplbWFpbGluZ1VzZXI3,emailing.user7@fake-email.com,emailingUser7,"Manipulateur d'emails","2025-01-01 17:00:00",,,Utilisateur,global.yes,global.yes,global.yes,global.no,global.no,,,,,,,,,https://capco.dev/profile/emailinguser7,
VXNlcjplbWFpbGluZ1VzZXI4,emailing.user8@fake-email.com,emailingUser8,"Manipulateur d'emails","2025-01-01 17:00:00",,,Utilisateur,global.yes,global.yes,global.yes,global.no,global.no,,,,,,,,,https://capco.dev/profile/emailinguser8,
UGFydGljaXBhbnQ6cGFydGljaXBhbnRFbWFpbGluZ0NhbXBhaWduMw==,emilie.compte-panille@cap-collectif.com,,,"2024-01-14 00:00:00",,,,global.yes,,,,global.no,,"1997-07-01 00:00:00",,,,75010,,+3300000000,,
UGFydGljaXBhbnQ6cGFydGljaXBhbnRFbWFpbGluZ0NhbXBhaWduNA==,amel.icampane@cap-collectif.com,,,"2024-01-14 00:00:00",,,,global.no,,,,global.no,,"1999-07-01 00:00:00",,,,75010,,+3300000000,,
