contribution_type,proposal_id,proposal_reference,proposal_title,proposal_createdAt,proposal_publishedAt,proposal_updatedAt,proposal_publicationStatus,proposal_trashedAt,proposal_trashedReason,proposal_link,proposal_author_id,proposal_author_username,proposal_author_isEmailConfirmed,proposal_author_email,proposal_author_userType_name,proposal_status_name,proposal_estimation,proposal_category_name,proposal_formattedAddress,proposal_district_name,proposal_summary,proposal_description,proposal_analyst_id,proposal_analyst_username,proposal_analyst_email,proposal_analyst_comment,proposal_analyst_opinion,proposal_analyst_estimated_cost,"Contrôle d'éligibilité du candidat et cohérence des documents","Existence juridique du candidat avérée","Éligibilité du projet","Le projet répond à l’intérêt général et a une visée collective","Le projet ne correspond pas à une action de lobbying à visée commerciale ou à une action à visée politique","Les dépenses estimées par le porteur de projet sont-elles justifiées ?","Le projet est-il concret et rapidement réalisable (démarrage dans l’année et durée de réalisation envisagée compatible avec le projet décrit)","Avis sur la faisabilité technique, juridique et financière du projet","Observations éventuelles sur les critères de base","Une idée du coût ?","6 x 7 ?","3 x 4 ?","Mettez vos plus belles photos de Genshin Impact"
UHJvcG9zYWw6cHJvcG9zYWxJZGYx,UHJvcG9zYWw6cHJvcG9zYWxJZGYx,18-1,"Mon grand projet","2020-02-01 00:00:01","2020-02-01 00:00:01","2020-02-01 00:00:01",PUBLISHED,,,https://capco.dev/admin/capco/app/proposal/proposalIdf1/edit,VXNlcjp1c2VyS2lyb3VsZQ==,ptondereau,1,pierre@cap-collectif.com,Citoyen,"Nouveau projet",,,,,,"Je ne crois pas qu'il y ai de petit ou de moyen projet.",VXNlcjp1c2VyTWF4aW1l,mauriau,maxime.auriau@cap-collectif.com,,FAVOURABLE,,,,,,,,,,,,,,
UHJvcG9zYWw6cHJvcG9zYWxJZGYx,UHJvcG9zYWw6cHJvcG9zYWxJZGYx,18-1,"Mon grand projet","2020-02-01 00:00:01","2020-02-01 00:00:01","2020-02-01 00:00:01",PUBLISHED,,,https://capco.dev/admin/capco/app/proposal/proposalIdf1/edit,VXNlcjp1c2VyS2lyb3VsZQ==,ptondereau,1,pierre@cap-collectif.com,Citoyen,"Nouveau projet",,,,,,"Je ne crois pas qu'il y ai de petit ou de moyen projet.",VXNlcjp1c2VyQWd1aQ==,Agui,julien.aguilar@cap-collectif.com,"Tout est parfait, c'est merveilleux.",FAVOURABLE,,,Oui,,Oui,Oui,Non,Oui,Positif,"Pas d'observations, à part que c'est merveilleux.",100,,,
UHJvcG9zYWw6cHJvcG9zYWxJZGYx,UHJvcG9zYWw6cHJvcG9zYWxJZGYx,18-1,"Mon grand projet","2020-02-01 00:00:01","2020-02-01 00:00:01","2020-02-01 00:00:01",PUBLISHED,,,https://capco.dev/admin/capco/app/proposal/proposalIdf1/edit,VXNlcjp1c2VyS2lyb3VsZQ==,ptondereau,1,pierre@cap-collectif.com,Citoyen,"Nouveau projet",,,,,,"Je ne crois pas qu'il y ai de petit ou de moyen projet.",VXNlcjp1c2VyVmluY2VudA==,Vince,vincent@cap-collectif.com,"NUL NUL NUL NUL NUL NUL NUL NUL NUL NUL",UNFAVOURABLE,,,Oui,,Non,Non,Oui,Non,Positif,"Pas d'observations, à part que c'est merveilleux.",100,,,
UHJvcG9zYWw6cHJvcG9zYWxJZGYx,UHJvcG9zYWw6cHJvcG9zYWxJZGYx,18-1,"Mon grand projet","2020-02-01 00:00:01","2020-02-01 00:00:01","2020-02-01 00:00:01",PUBLISHED,,,https://capco.dev/admin/capco/app/proposal/proposalIdf1/edit,VXNlcjp1c2VyS2lyb3VsZQ==,ptondereau,1,pierre@cap-collectif.com,Citoyen,"Nouveau projet",,,,,,"Je ne crois pas qu'il y ai de petit ou de moyen projet.",VXNlcjp1c2VySnBlYw==,Jpec,jpec@cap-collectif.com,"NUL NUL NUL NUL NUL NUL NUL NUL NUL NUL",UNFAVOURABLE,,,Oui,,Oui,Oui,Oui,Oui,Négatif,"Pas d'observations, à part que c'est merveilleux.",100,,,
UHJvcG9zYWw6cHJvcG9zYWxJZGYx,UHJvcG9zYWw6cHJvcG9zYWxJZGYx,18-1,"Mon grand projet","2020-02-01 00:00:01","2020-02-01 00:00:01","2020-02-01 00:00:01",PUBLISHED,,,https://capco.dev/admin/capco/app/proposal/proposalIdf1/edit,VXNlcjp1c2VyS2lyb3VsZQ==,ptondereau,1,pierre@cap-collectif.com,Citoyen,"Nouveau projet",,,,,,"Je ne crois pas qu'il y ai de petit ou de moyen projet.",VXNlcjp1c2VyT21hcg==,"Omar <3 Rem",omar@cap-collectif.com,"Tout est parfait, c'est merveilleux.",NONE,,,Oui,,Oui,Oui,Oui,Oui,Négatif,"Pas d'observations, à part que c'est merveilleux.",100,,,https://capco.dev/media/default/0001/01/providerReference8.jpg
UHJvcG9zYWw6cHJvcG9zYWxJZGYx,UHJvcG9zYWw6cHJvcG9zYWxJZGYx,18-1,"Mon grand projet","2020-02-01 00:00:01","2020-02-01 00:00:01","2020-02-01 00:00:01",PUBLISHED,,,https://capco.dev/admin/capco/app/proposal/proposalIdf1/edit,VXNlcjp1c2VyS2lyb3VsZQ==,ptondereau,1,pierre@cap-collectif.com,Citoyen,"Nouveau projet",,,,,,"Je ne crois pas qu'il y ai de petit ou de moyen projet.",VXNlcjp1c2VyVGhlbw==,"Théo QP",theo@cap-collectif.com,,TOO_LATE,,,,,,,,,,,,,,
UHJvcG9zYWw6cHJvcG9zYWxJZGYy,UHJvcG9zYWw6cHJvcG9zYWxJZGYy,18-2,"Mon projet local en tant qu'entreprise","2020-02-01 00:00:02","2020-02-01 00:00:02","2020-02-01 00:00:02",PUBLISHED,,,https://capco.dev/admin/capco/app/proposal/proposalIdf2/edit,VXNlcjp1c2VySmVhbg==,Juan,1,jean@cap-collectif.com,Citoyen,"Nouveau projet",,"Espaces verts et biodiversité",,"Val de marne (94)",,"Plus de frites à la cantine.",VXNlcjp1c2VySnBlYw==,Jpec,jpec@cap-collectif.com,"Tout est parfait, c'est merveilleux.",FAVOURABLE,,,Oui,,Oui,Oui,Non,Non,Positif,"Pas d'observations, à part que c'est merveilleux.",100,,,
UHJvcG9zYWw6cHJvcG9zYWxJZGYy,UHJvcG9zYWw6cHJvcG9zYWxJZGYy,18-2,"Mon projet local en tant qu'entreprise","2020-02-01 00:00:02","2020-02-01 00:00:02","2020-02-01 00:00:02",PUBLISHED,,,https://capco.dev/admin/capco/app/proposal/proposalIdf2/edit,VXNlcjp1c2VySmVhbg==,Juan,1,jean@cap-collectif.com,Citoyen,"Nouveau projet",,"Espaces verts et biodiversité",,"Val de marne (94)",,"Plus de frites à la cantine.",VXNlcjp1c2VyVGhlbw==,"Théo QP",theo@cap-collectif.com,,TOO_LATE,,,,,,,,,,,,,,
UHJvcG9zYWw6cHJvcG9zYWxJZGYz,UHJvcG9zYWw6cHJvcG9zYWxJZGYz,18-3,"Mon projet local en tant qu'association avec SIRET","2020-02-01 00:00:03","2020-02-01 00:00:03","2020-02-01 00:00:03",PUBLISHED,,,https://capco.dev/admin/capco/app/proposal/proposalIdf3/edit,VXNlcjp1c2VySWFu,"Ian apprenti DevOps",1,ian@cap-collectif.com,,"Nouveau projet",,"Espaces verts et biodiversité",,"Toute la région",,"Faire une boite à dons.",VXNlcjp1c2VyVGhlbw==,"Théo QP",theo@cap-collectif.com,"NUL NUL NUL NUL NUL NUL NUL NUL NUL NUL",UNFAVOURABLE,,,Oui,,Non,Non,Oui,Oui,Négatif,"Pas d'observations, à part que c'est merveilleux.",100,,,
UHJvcG9zYWw6cHJvcG9zYWxJZGYz,UHJvcG9zYWw6cHJvcG9zYWxJZGYz,18-3,"Mon projet local en tant qu'association avec SIRET","2020-02-01 00:00:03","2020-02-01 00:00:03","2020-02-01 00:00:03",PUBLISHED,,,https://capco.dev/admin/capco/app/proposal/proposalIdf3/edit,VXNlcjp1c2VySWFu,"Ian apprenti DevOps",1,ian@cap-collectif.com,,"Nouveau projet",,"Espaces verts et biodiversité",,"Toute la région",,"Faire une boite à dons.",VXNlcjp1c2VyTWF4aW1l,mauriau,maxime.auriau@cap-collectif.com,"NUL NUL NUL NUL NUL NUL NUL NUL NUL NUL",UNFAVOURABLE,,,Oui,,Oui,Oui,Non,Oui,Négatif,"Pas d'observations, à part que c'est merveilleux.",100,,,
