contribution_type,proposal_id,proposal_reference,proposal_title,proposal_votes_totalCount,proposal_votes_totalPointsCount,proposal_createdAt,proposal_publishedAt,proposal_updatedAt,proposal_publicationStatus,proposal_undraftAt,proposal_trashedAt,proposal_trashedReason,proposal_link,proposal_author_id,proposal_author_username,proposal_author_isEmailConfirmed,proposal_author_email,proposal_author_userType_id,proposal_author_userType_name,proposal_status_name,proposal_estimation,proposal_category_name,proposal_theme_title,proposal_formattedAddress,proposal_address_lat,proposal_address_lng,proposal_district_name,proposal_illustration,proposal_summary,proposal_description,proposal_officialResponse,proposal_votes_id,proposal_votes_ranking,proposal_votes_createdAt,proposal_votes_publishedAt,proposal_votes_published,proposal_votes_accounted,proposal_votes_anonymous,proposal_votes_author_id,proposal_votes_author_username,proposal_votes_author_isEmailConfirmed,proposal_votes_author_userType_id,proposal_votes_author_userType_name,proposal_comments_id,proposal_comments_body,proposal_comments_createdAt,proposal_comments_publishedAt,proposal_comments_updatedAt,proposal_comments_author_id,proposal_comments_author_username,proposal_comments_author_isEmailConfirmed,proposal_comments_author_userType_id,proposal_comments_author_userType_name,proposal_comments_author_email,proposal_comments_pinned,proposal_comments_publicationStatus,proposal_comments_vote_id,proposal_comments_vote_createdAt,proposal_comments_vote_publishedAt,proposal_comments_vote_author_id,proposal_comments_vote_author_username,proposal_comments_vote_author_isEmailConfirmed,proposal_comments_vote_author_userType_id,proposal_comments_vote_author_userType_name,proposal_news_id,proposal_news_title,proposal_news_themes,proposal_news_linkedProjects,proposal_news_linkedProposal,proposal_news_createdAt,proposal_news_updatedAt,proposal_news_publishedAt,proposal_news_publicationStatus,proposal_news_commentable,proposal_news_displayedOnBlog,proposal_news_authors_id,proposal_news_authors_username,proposal_news_authors_isEmailConfirmed,proposal_news_authors_userType_id,proposal_news_authors_userType_name,proposal_news_comments_id,proposal_news_comments_body,proposal_news_comments_parent,proposal_news_comments_createdAt,proposal_news_comments_publishedAt,proposal_news_comments_updatedAt,proposal_news_comments_author_id,proposal_news_comments_author_username,proposal_news_comments_author_isEmailConfirmed,proposal_news_comments_author_userType_id,proposal_news_comments_author_userType_name,proposal_news_comments_author_email,proposal_news_comments_pinned,proposal_news_comments_publicationStatus,proposal_news_comments_vote_id,proposal_news_comments_vote_createdAt,proposal_news_comments_vote_publishedAt,proposal_news_comments_vote_author_id,proposal_news_comments_vote_author_username,proposal_news_comments_vote_author_isEmailConfirmed,proposal_news_comments_vote_author_userType_id,proposal_news_comments_vote_author_userType_name,proposal_news_comments_reportings_id,proposal_news_comments_reportings_createdAt,proposal_news_comments_reportings_author_id,proposal_news_comments_reportings_author_username,proposal_news_comments_reportings_author_isEmailConfirmed,proposal_news_comments_reportings_author_userType_id,proposal_news_comments_reportings_author_userType_name,proposal_reportings_id,proposal_reportings_body,proposal_reportings_createdAt,proposal_reportings_author_id,proposal_reportings_author_username,proposal_reportings_author_isEmailConfirmed,proposal_reportings_author_userType_id,proposal_reportings_author_userType_name
proposal,UHJvcG9zYWw6cHJvcG9zYWwxMzA=,"""20-130""","Proposal 130",0,0,"2020-07-01 00:00:10","2020-07-01 00:00:10","2020-07-01 00:00:10",PUBLISHED,"2020-07-01 00:00:10",,,https://capco.dev/project/projet-pour-consolider-les-exports/collect/etape-de-depot-des-exports/proposals/proposal-130,VXNlcjp1c2VyU3B5bA==,spyl,Yes,aurelien@cap-collectif.com,1,Citoyen,,,"Théories du complot au cachot",,,,,"Toute la région",,,"Et si on gardait le TT à vie ?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proposal,UHJvcG9zYWw6cHJvcG9zYWwxMzE=,"""20-131""","Proposal 131",0,0,"2020-07-01 00:00:10","2020-07-01 00:00:10","2020-07-01 00:00:10",PUBLISHED,"2020-07-01 00:00:10",,,https://capco.dev/project/projet-pour-consolider-les-exports/collect/etape-de-depot-des-exports/proposals/proposal-131,VXNlcjp1c2VySnBlYw==,Jpec,Yes,jpec@cap-collectif.com,,,,,"Théories du complot au cachot",,,,,"Toute la région",,,"Imagine un monde où tout le monde s'entreaide pour améliorer les exports",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proposal,UHJvcG9zYWw6cHJvcG9zYWwxMzI=,"""20-132""","Proposal 132",0,0,"2020-07-01 00:00:11","2020-07-01 00:00:11","2020-07-01 00:00:11",PUBLISHED,"2020-07-01 00:00:11",,,https://capco.dev/project/projet-pour-consolider-les-exports/collect/etape-de-depot-des-exports/proposals/proposal-132,VXNlcjp1c2VySnBlYw==,Jpec,Yes,jpec@cap-collectif.com,,,,,"Théories du complot au cachot",,,,,"Toute la région",,,"Imagine Juan est de bonne humeur aujourd'hui... Non je déconne. Mais imagine quand même",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proposalVote,UHJvcG9zYWw6cHJvcG9zYWwxMzI=,"""20-132""","Proposal 132",0,0,"2020-07-01 00:00:11","2020-07-01 00:00:11","2020-07-01 00:00:11",PUBLISHED,"2020-07-01 00:00:11",,,https://capco.dev/project/projet-pour-consolider-les-exports/collect/etape-de-depot-des-exports/proposals/proposal-132,VXNlcjp1c2VySnBlYw==,Jpec,Yes,jpec@cap-collectif.com,,,,,"Théories du complot au cachot",,,,,"Toute la région",,,"Imagine Juan est de bonne humeur aujourd'hui... Non je déconne. Mais imagine quand même",,2058,1,"2019-03-01 00:00:02","2019-03-01 00:00:02",Yes,No,No,VXNlcjp1c2VyNQ==,user,Yes,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proposalVote,UHJvcG9zYWw6cHJvcG9zYWwxMzI=,"""20-132""","Proposal 132",0,0,"2020-07-01 00:00:11","2020-07-01 00:00:11","2020-07-01 00:00:11",PUBLISHED,"2020-07-01 00:00:11",,,https://capco.dev/project/projet-pour-consolider-les-exports/collect/etape-de-depot-des-exports/proposals/proposal-132,VXNlcjp1c2VySnBlYw==,Jpec,Yes,jpec@cap-collectif.com,,,,,"Théories du complot au cachot",,,,,"Toute la région",,,"Imagine Juan est de bonne humeur aujourd'hui... Non je déconne. Mais imagine quand même",,2057,1,"2019-03-01 00:00:01","2019-03-01 00:00:01",Yes,No,No,VXNlcjp1c2VyU3B5bA==,spyl,Yes,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proposalVote,UHJvcG9zYWw6cHJvcG9zYWwxMzI=,"""20-132""","Proposal 132",0,0,"2020-07-01 00:00:11","2020-07-01 00:00:11","2020-07-01 00:00:11",PUBLISHED,"2020-07-01 00:00:11",,,https://capco.dev/project/projet-pour-consolider-les-exports/collect/etape-de-depot-des-exports/proposals/proposal-132,VXNlcjp1c2VySnBlYw==,Jpec,Yes,jpec@cap-collectif.com,,,,,"Théories du complot au cachot",,,,,"Toute la région",,,"Imagine Juan est de bonne humeur aujourd'hui... Non je déconne. Mais imagine quand même",,2063,2,"2019-03-01 00:00:03",,No,No,No,VXNlcjp1c2VyX25vdF9jb25maXJtZWQ=,user_not_confirmed,No,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proposal,UHJvcG9zYWw6c2VsZWN0aW9uRXhwb3J0UHJvcG9zYWxzMTMz,"""20-9133""","Selection Export Proposal 133",0,0,"2020-09-01 00:00:10","2020-09-01 00:00:10","2020-09-01 00:00:10",PUBLISHED,"2020-09-01 00:00:10",,,https://capco.dev/project/projet-pour-consolider-les-exports/collect/etape-de-depot-des-exports/proposals/selection-export-proposal-133,VXNlcjp1c2VyMTYw,user160,Yes,user160@cap-collectif.com,1,Citoyen,,,"On veut des masques",,,,,Beauregard,,,"Propositions random",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proposal,UHJvcG9zYWw6c2VsZWN0aW9uRXhwb3J0UHJvcG9zYWxzMTM0,"""20-9134""","Selection Export Proposal 134",0,0,"2020-09-01 00:00:10","2020-09-01 00:00:10","2020-09-01 00:00:10",PUBLISHED,"2020-09-01 00:00:10",,,https://capco.dev/project/projet-pour-consolider-les-exports/collect/etape-de-depot-des-exports/proposals/selection-export-proposal-134,VXNlcjp1c2VyMTYw,user160,Yes,user160@cap-collectif.com,1,Citoyen,,,"On veut des masques",,,,,Beauregard,,,"Propositions random",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proposal,UHJvcG9zYWw6c2VsZWN0aW9uRXhwb3J0UHJvcG9zYWxzMTM1,"""20-9135""","Selection Export Proposal 135",0,0,"2020-09-01 00:00:10","2020-09-01 00:00:10","2020-09-01 00:00:10",PUBLISHED,"2020-09-01 00:00:10",,,https://capco.dev/project/projet-pour-consolider-les-exports/collect/etape-de-depot-des-exports/proposals/selection-export-proposal-135,VXNlcjp1c2VyMTYw,user160,Yes,user160@cap-collectif.com,1,Citoyen,,,"On veut des masques",,,,,Beauregard,,,"Propositions random",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proposal,UHJvcG9zYWw6c2VsZWN0aW9uRXhwb3J0UHJvcG9zYWxzMTM2,"""20-9136""","Selection Export Proposal 136",0,0,"2020-09-01 00:00:10","2020-09-01 00:00:10","2020-09-01 00:00:10",PUBLISHED,"2020-09-01 00:00:10",,,https://capco.dev/project/projet-pour-consolider-les-exports/collect/etape-de-depot-des-exports/proposals/selection-export-proposal-136,VXNlcjp1c2VyMTYw,user160,Yes,user160@cap-collectif.com,1,Citoyen,,,"On veut des masques",,,,,Beauregard,,,"Propositions random",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
