export_contribution_type,export_contribution_id,export_contribution_author_id,export_contribution_published_at,export_contribution_published,export_contribution_author,export_contribution_author_email,export_contribution_author_phone,export_contribution_created_at,export_contribution_updated_at,export_contribution_anonymous,export_contribution_draft,export_contribution_undraft_at,export_contribution_account,export_contribution_no_account_email,export_contribution_no_account_email_confirmed,export_contribution_internal_comm,"Comment trouvez-vous cette présentation ?","Êtes-vous satisfait que la ville de Paris soit candidate à l'organisation des JO de 2024 ?","Pour quel type d'épreuve êtes vous prêt à acheter des places ?","Quel est ton athlète favori ?","Nelson Monfort parle-t-il:","Classez vos choix","Choissez le meilleur logo","Est-ce que Martoni a encore une balle dans son chargeur ?","Est-ce que Martoni a encore une balle dans son chargeur ? (1)","Nouvelle section 1","Nouvelle section 2","Comment trouvez vous le jeu de weeb Genshin Impact ?","Votre catégorie socio-professionnel"
export_contribution_type_questionnaire_reply,reply9,userAdmin,"2016-03-22 00:00:00",Oui,admin,admin@test.com,+33675492871,"2016-03-05 00:00:00","2016-03-20 00:00:00",Non,Oui,"2016-03-22 00:00:00",Oui,,,Non,,,,,,,,,,,,,
export_contribution_type_questionnaire_reply,replyPrivate,user5,"2019-03-20 00:00:00",Oui,user,user@test.com,+33635492871,"2019-03-20 00:00:00","2019-03-20 00:00:00",Non,Non,"2019-03-20 00:00:00",Oui,,,Oui,,,,,,,,,,,,,
export_contribution_type_questionnaire_reply,replyUnpublished,user5,,Non,user,user@test.com,+33635492871,"2019-03-20 00:00:00","2019-03-20 00:00:00",Non,Non,,Oui,,,Oui,,,,,,,,,,,,,
export_contribution_type_questionnaire_reply,replyUnpublishedAndDraft,user5,,Non,user,user@test.com,+33635492871,"2019-03-20 00:00:00","2019-03-20 00:00:00",Non,Oui,,Oui,,,Oui,,,,,,,,,,,,,
export_contribution_type_questionnaire_reply,reply1,userWelcomattic,"2016-03-01 00:00:00",Oui,welcomattic,msantostefano@cap-collectif.com,,"2016-03-01 00:00:00","2016-03-01 00:00:00",Non,Non,"2016-03-01 00:00:00",Oui,,,Non,,"Trop bien ! On va voir de supers athlètes à Paris !","Athlétisme, Sports collectifs, Guild Wars 2",,,,,,,,,,
export_contribution_type_questionnaire_reply,reply5,userAdmin,"2016-03-05 00:00:00",Oui,admin,admin@test.com,+33675492871,"2016-03-05 00:00:00","2019-03-05 00:00:00",Non,Oui,,Oui,,,Non,,,Natation,,,,,,,,,,
export_contribution_type_questionnaire_reply,tagCloudReply1,user150,"2020-01-12 00:00:00",Oui,user150,user150@cap-collectif.com,,"2020-01-12 00:00:00","2020-02-12 00:00:00",Non,Non,"2020-01-12 00:00:00",Oui,,,Oui,,"Incroyable ! Tout ces sportifs la wow.","Athlétisme, Sports collectifs, Total War 2: Warhammer",,,,,,,,,,
export_contribution_type_questionnaire_reply,tagCloudReply10,user150,"2020-01-12 00:00:00",Oui,user150,user150@cap-collectif.com,,"2020-01-12 00:00:00","2020-02-12 00:00:00",Non,Non,"2020-01-12 00:00:00",Oui,,,Oui,,"Enfin un peu de divertissement. Car le divertissement c'est bien à la maison.","Athlétisme, Sports collectifs, Bon chance Agui pour le nuage de mots. J",,,,,,,,,,
export_contribution_type_questionnaire_reply,tagCloudReply11,user150,"2020-01-12 00:00:00",Oui,user150,user150@cap-collectif.com,,"2020-01-12 00:00:00","2020-02-12 00:00:00",Non,Non,"2020-01-12 00:00:00",Oui,,,Oui,,"L'autre jour j'étais à la boulangerie des sportifs, des sportifs ? Oui mec des sportifs. Jure des sportifs ? Oui oui des sportfs qui font du sport et du bruit et des phrases un peu longues pour le divertissement à Paris, cette phrase va plus vouloir rien dire mais c'est pas mal et ça régale.","Athlétisme, Sports collectifs, Bon chance Agui pour le nuage de mots. T",,,,,,,,,,
export_contribution_type_questionnaire_reply,tagCloudReply12,user150,"2020-01-12 00:00:00",Oui,user150,user150@cap-collectif.com,,"2020-01-12 00:00:00","2020-02-12 00:00:00",Non,Non,"2020-01-12 00:00:00",Oui,,,Oui,,"Aller encore une autre phrase un peu longue parce que bon il faut bien tester tout les cas, comme le cas K , et le cas K des lapins c'est caca, c'est incroyable et fou non comme le lundi à Paris","Athlétisme, Sports collectifs, Bon chance Agui pour le nuage de mots. M",,,,,,,,,,
