export_participant_user_id,export_participant_username,export_participant_user_email,export_participant_consent_internal_communication,export_participant_phone,export_participant_type,export_participant_firstname,export_participant_lastname,export_participant_date_of_birth,export_participant_postal_address,export_participant_zip_code,export_participant_city,export_participant_profile_url,export_participant_identification_code,export_contribution_type,export_contribution_id,export_contribution_author_id,export_contribution_published_at,"Comment trouvez-vous cette présentation ?","Êtes-vous satisfait que la ville de Paris soit candidate à l'organisation des JO de 2024 ?","Pour quel type d'épreuve êtes vous prêt à acheter des places ?","Quel est ton athlète favori ?","Nelson Monfort parle-t-il:","Classez vos choix","Choissez le meilleur logo","Est-ce que Martoni a encore une balle dans son chargeur ?","Est-ce que Martoni a encore une balle dans son chargeur ? (1)","Nouvelle section 1","Nouvelle section 2","Comment trouvez vous le jeu de weeb Genshin Impact ?","Votre catégorie socio-professionnel"
userAdmin,admin,admin@test.com,Non,+33675492871,Citoyen,Administrateur,authentifier,,"26 Rue Claude Tillier, 75012 Paris, France",,,https://capco.dev/profile/admin,,export_contribution_type_questionnaire_reply,reply9,userAdmin,"2016-03-22 00:00:00",,,,,,,,,,,,,
user5,user,user@test.com,Oui,+33635492871,Citoyen,Utilisateur,authentifier,"1996-03-01 00:00:00",,75012,Paris,https://capco.dev/profile/user,DK2AZ554,export_contribution_type_questionnaire_reply,replyPrivate,user5,"2019-03-20 00:00:00",,,,,,,,,,,,,
user5,user,user@test.com,Oui,+33635492871,Citoyen,Utilisateur,authentifier,"1996-03-01 00:00:00",,75012,Paris,https://capco.dev/profile/user,DK2AZ554,export_contribution_type_questionnaire_reply,replyUnpublished,user5,,,,,,,,,,,,,,
user5,user,user@test.com,Oui,+33635492871,Citoyen,Utilisateur,authentifier,"1996-03-01 00:00:00",,75012,Paris,https://capco.dev/profile/user,DK2AZ554,export_contribution_type_questionnaire_reply,replyUnpublishedAndDraft,user5,,,,,,,,,,,,,,
userWelcomattic,welcomattic,msantostefano@cap-collectif.com,Non,,Citoyen,Mathieu,Santostefano,,,,,https://capco.dev/profile/welcomattic,,export_contribution_type_questionnaire_reply,reply1,userWelcomattic,"2016-03-01 00:00:00",,"Trop bien ! On va voir de supers athlètes à Paris !","Athlétisme, Sports collectifs, Guild Wars 2",,,,,,,,,,
userAdmin,admin,admin@test.com,Non,+33675492871,Citoyen,Administrateur,authentifier,,"26 Rue Claude Tillier, 75012 Paris, France",,,https://capco.dev/profile/admin,,export_contribution_type_questionnaire_reply,reply5,userAdmin,"2016-03-05 00:00:00",,,Natation,,,,,,,,,,
user150,user150,user150@cap-collectif.com,Oui,,Citoyen,firstname150,lastname150,,,,,https://capco.dev/profile/user150,,export_contribution_type_questionnaire_reply,tagCloudReply1,user150,"2020-01-12 00:00:00",,"Incroyable ! Tout ces sportifs la wow.","Athlétisme, Sports collectifs, Total War 2: Warhammer",,,,,,,,,,
user150,user150,user150@cap-collectif.com,Oui,,Citoyen,firstname150,lastname150,,,,,https://capco.dev/profile/user150,,export_contribution_type_questionnaire_reply,tagCloudReply10,user150,"2020-01-12 00:00:00",,"Enfin un peu de divertissement. Car le divertissement c'est bien à la maison.","Athlétisme, Sports collectifs, Bon chance Agui pour le nuage de mots. J",,,,,,,,,,
user150,user150,user150@cap-collectif.com,Oui,,Citoyen,firstname150,lastname150,,,,,https://capco.dev/profile/user150,,export_contribution_type_questionnaire_reply,tagCloudReply11,user150,"2020-01-12 00:00:00",,"L'autre jour j'étais à la boulangerie des sportifs, des sportifs ? Oui mec des sportifs. Jure des sportifs ? Oui oui des sportfs qui font du sport et du bruit et des phrases un peu longues pour le divertissement à Paris, cette phrase va plus vouloir rien dire mais c'est pas mal et ça régale.","Athlétisme, Sports collectifs, Bon chance Agui pour le nuage de mots. T",,,,,,,,,,
user150,user150,user150@cap-collectif.com,Oui,,Citoyen,firstname150,lastname150,,,,,https://capco.dev/profile/user150,,export_contribution_type_questionnaire_reply,tagCloudReply12,user150,"2020-01-12 00:00:00",,"Aller encore une autre phrase un peu longue parce que bon il faut bien tester tout les cas, comme le cas K , et le cas K des lapins c'est caca, c'est incroyable et fou non comme le lundi à Paris","Athlétisme, Sports collectifs, Bon chance Agui pour le nuage de mots. M",,,,,,,,,,
user150,user150,user150@cap-collectif.com,Oui,,Citoyen,firstname150,lastname150,,,,,https://capco.dev/profile/user150,,export_contribution_type_questionnaire_reply,tagCloudReply13,user150,"2020-01-12 00:00:00",,"Une autre phrase, parce que le mot phrase il va finir par pas mal remonté au final dans toutes ces réponses qui sont censées être liées au sport. Mais bon a cause du covid y'a plus trop de sport en vrai ou alors tu en fait à la maison mais c'est un peu ghetto quand même tu trouve pas ?","Athlétisme, Sports collectifs, Bon chance Agui pour le nuage de mots. B",,,,,,,,,,
user150,user150,user150@cap-collectif.com,Oui,,Citoyen,firstname150,lastname150,,,,,https://capco.dev/profile/user150,,export_contribution_type_questionnaire_reply,tagCloudReply14,user150,"2020-01-12 00:00:00",,"D'ailleurs en parlant de sports et de sportifs, je suis toujours aussi dégouté que l'escalade ce soit toujours fermé ça se trouve en 2024 ça aurait pu être moi aux JO à flex sur des murs de fou la. Je continue à remplir un peu cette ligne histoire de faire genre je suis une longue phrase de sportif.","Athlétisme, Sports collectifs, Bon chance Agui pour le nuage de mots. G",,,,,,,,,,
user150,user150,user150@cap-collectif.com,Oui,,Citoyen,firstname150,lastname150,,,,,https://capco.dev/profile/user150,,export_contribution_type_questionnaire_reply,tagCloudReply15,user150,"2020-01-12 00:00:00",,"Et une petite dernière pour la route quand même juste pour vous demandez comment vous allez ? Et la je rajoute des petits mots clés tels que : sportifs, sport, JO, athlètes, beurre de cacahuète, bruit, divertissement, sirop d'érable, une bouteille d'huile et des raviolis mais je crois que je viens de lire ma liste de course en même temps.","Athlétisme, Sports collectifs, Bon chance Agui pour le nuage de mots. !",,,,,,,,,,
user150,user150,user150@cap-collectif.com,Oui,,Citoyen,firstname150,lastname150,,,,,https://capco.dev/profile/user150,,export_contribution_type_questionnaire_reply,tagCloudReply2,user150,"2020-01-12 00:00:00",,"Oui c'est vraiment trop cool.","Athlétisme, Sports collectifs, Total War: Three Kingdoms ",,,,,,,,,,
user150,user150,user150@cap-collectif.com,Oui,,Citoyen,firstname150,lastname150,,,,,https://capco.dev/profile/user150,,export_contribution_type_questionnaire_reply,tagCloudReply3,user150,"2020-01-12 00:00:00",,"Ca va être fou ! Des sportifs de hauts niveaux.","Athlétisme, Sports collectifs, Total War Saga: Troy",,,,,,,,,,
user150,user150,user150@cap-collectif.com,Oui,,Citoyen,firstname150,lastname150,,,,,https://capco.dev/profile/user150,,export_contribution_type_questionnaire_reply,tagCloudReply4,user150,"2020-01-12 00:00:00",,"C'est génial ! On va se régaler. mais","Athlétisme, Sports collectifs, Total War: Warhammer",,,,,,,,,,
user150,user150,user150@cap-collectif.com,Oui,,Citoyen,firstname150,lastname150,,,,,https://capco.dev/profile/user150,,export_contribution_type_questionnaire_reply,tagCloudReply5,user150,"2020-01-12 00:00:00",,"Il va y avoir du divertissement ! Et des sportifs ou !","Athlétisme, Sports collectifs, Total War: Rome",,,,,,,,,,
user150,user150,user150@cap-collectif.com,Oui,,Citoyen,firstname150,lastname150,,,,,https://capco.dev/profile/user150,,export_contribution_type_questionnaire_reply,tagCloudReply6,user150,"2020-01-12 00:00:00",,"Incroyable ! Tout ces sportifs la wow. est","Athlétisme, Sports collectifs, Total War: Britannia",,,,,,,,,,
user150,user150,user150@cap-collectif.com,Oui,,Citoyen,firstname150,lastname150,,,,,https://capco.dev/profile/user150,,export_contribution_type_questionnaire_reply,tagCloudReply7,user150,"2020-01-12 00:00:00",,"Bof, non pas trop ça va faire du bruit Donc !","Athlétisme, Sports collectifs, Total War 3: Warhammer",,,,,,,,,,
user150,user150,user150@cap-collectif.com,Oui,,Citoyen,firstname150,lastname150,,,,,https://capco.dev/profile/user150,,export_contribution_type_questionnaire_reply,tagCloudReply8,user150,"2020-01-12 00:00:00",,"Pas trop non plus, j'aime pas le sport. or","Athlétisme, Sports collectifs, Plus d'idées de jeux.",,,,,,,,,,
user150,user150,user150@cap-collectif.com,Oui,,Citoyen,firstname150,lastname150,,,,,https://capco.dev/profile/user150,,export_contribution_type_questionnaire_reply,tagCloudReply9,user150,"2020-01-12 00:00:00",,"Le sport c'est cool","Athlétisme, Sports collectifs, Un jeu stylé de fou.",,,,,,,,,,
user_not_confirmed,user_not_confirmed,user_not_confirmed@test.com,Non,+33628353289,Citoyen,user_not_confirmed,user_not_confirmed,"1990-03-10 00:00:00",,,,https://capco.dev/profile/usernotconfirmed,,export_contribution_type_questionnaire_reply,reply7,user_not_confirmed,,"Au top","Trop cool ! On va voir Tibo qui cours en slip !",,,,,,Oui,,,,,
userAdmin,admin,admin@test.com,Non,+33675492871,Citoyen,Administrateur,authentifier,,"26 Rue Claude Tillier, 75012 Paris, France",,,https://capco.dev/profile/admin,,export_contribution_type_questionnaire_reply,reply2,userAdmin,"2016-03-02 00:00:00","Au top","Youpi ! J'adore des JO","Natation, Sports collectifs, Civilization 6","Maxime Arrouard","Assez fort (Mon sonotone est mal réglé)",,"Logo 1","Il bluffe","Il bluffe",,,very-well,"Sans profession"
user10,user10,user10@cap-collectif.com,Oui,,Citoyen,firstname10,lastname10,,,,,https://capco.dev/profile/user10,,export_contribution_type_questionnaire_reply,replyMajority10,user10,"2016-03-02 00:00:00",,,,,,,,,,,,very-well,
user11,user11,user11@cap-collectif.com,Oui,,Citoyen,firstname11,lastname11,,,,,https://capco.dev/profile/user11,,export_contribution_type_questionnaire_reply,replyMajority11,user11,"2016-03-02 00:00:00",,,,,,,,,,,,very-well,
user12,user12,user12@cap-collectif.com,Oui,,Citoyen,firstname12,lastname12,,,,,https://capco.dev/profile/user12,,export_contribution_type_questionnaire_reply,replyMajority12,user12,"2016-03-02 00:00:00",,,,,,,,,,,,global-well,
user13,user13,user13@cap-collectif.com,Oui,,Citoyen,firstname13,lastname13,,,,,https://capco.dev/profile/user13,,export_contribution_type_questionnaire_reply,replyMajority13,user13,"2016-03-02 00:00:00",,,,,,,,,,,,global-well,
user14,user14,user14@cap-collectif.com,Oui,,Citoyen,firstname14,lastname14,,,,,https://capco.dev/profile/user14,,export_contribution_type_questionnaire_reply,replyMajority14,user14,"2016-03-02 00:00:00",,,,,,,,,,,,global-well,
user15,user15,user15@cap-collectif.com,Oui,,Citoyen,firstname15,lastname15,,,,,https://capco.dev/profile/user15,,export_contribution_type_questionnaire_reply,replyMajority15,user15,"2016-03-02 00:00:00",,,,,,,,,,,,global-well,
user16,user16,user16@cap-collectif.com,Oui,,Citoyen,firstname16,lastname16,,,,,https://capco.dev/profile/user16,,export_contribution_type_questionnaire_reply,replyMajority16,user16,"2016-03-02 00:00:00",,,,,,,,,,,,global-passable,
user17,user17,user17@cap-collectif.com,Oui,,Citoyen,firstname17,lastname17,,,,,https://capco.dev/profile/user17,,export_contribution_type_questionnaire_reply,replyMajority17,user17,"2016-03-02 00:00:00",,,,,,,,,,,,global-passable,
