export_participant_user_id,export_participant_username,export_participant_user_email,export_participant_consent_internal_communication,export_participant_phone,export_participant_type,export_participant_firstname,export_participant_lastname,export_participant_date_of_birth,export_participant_postal_address,export_participant_zip_code,export_participant_city,export_participant_profile_url,export_participant_identification_code
user10,user10,user10@cap-collectif.com,Oui,,Citoyen,firstname10,lastname10,,,,,https://capco.dev/profile/user10,
user11,user11,user11@cap-collectif.com,Oui,,Citoyen,firstname11,lastname11,,,,,https://capco.dev/profile/user11,
user12,user12,user12@cap-collectif.com,Oui,,Citoyen,firstname12,lastname12,,,,,https://capco.dev/profile/user12,
user13,user13,user13@cap-collectif.com,Oui,,Citoyen,firstname13,lastname13,,,,,https://capco.dev/profile/user13,
user14,user14,user14@cap-collectif.com,Oui,,Citoyen,firstname14,lastname14,,,,,https://capco.dev/profile/user14,
user15,user15,user15@cap-collectif.com,Oui,,Citoyen,firstname15,lastname15,,,,,https://capco.dev/profile/user15,
user150,user150,user150@cap-collectif.com,Oui,,Citoyen,firstname150,lastname150,,,,,https://capco.dev/profile/user150,
user16,user16,user16@cap-collectif.com,Oui,,Citoyen,firstname16,lastname16,,,,,https://capco.dev/profile/user16,
user17,user17,user17@cap-collectif.com,Oui,,Citoyen,firstname17,lastname17,,,,,https://capco.dev/profile/user17,
user18,user18,user18@cap-collectif.com,Oui,,Citoyen,firstname18,lastname18,,,,,https://capco.dev/profile/user18,
user19,user19,user19@cap-collectif.com,Oui,,Citoyen,firstname19,lastname19,,,,,https://capco.dev/profile/user19,
user20,user20,user20@cap-collectif.com,Oui,,Citoyen,firstname20,lastname20,,,,,https://capco.dev/profile/user20,
user5,user,user@test.com,Oui,+33635492871,Citoyen,Utilisateur,authentifier,"1996-03-01 00:00:00",,75012,Paris,https://capco.dev/profile/user,DK2AZ554
user515,user_updating_email,user_updating_email@test.com,Non,,Citoyen,user_updating_email,user_updating_email,,,,,https://capco.dev/profile/userupdatingemail,
user6,user6,user6@cap-collectif.com,Oui,,Citoyen,firstname6,lastname6,,,,,https://capco.dev/profile/user6,
user7,user7,user7@cap-collectif.com,Oui,,Citoyen,firstname7,lastname7,,,,,https://capco.dev/profile/user7,
user8,user8,user8@cap-collectif.com,Oui,,Citoyen,firstname8,lastname8,,,,,https://capco.dev/profile/user8,
user9,user9,user9@cap-collectif.com,Oui,,Citoyen,firstname9,lastname9,,,,,https://capco.dev/profile/user9,
userAdmin,admin,admin@test.com,Non,+33675492871,Citoyen,Administrateur,authentifier,,"26 Rue Claude Tillier, 75012 Paris, France",,,https://capco.dev/profile/admin,
userWelcomattic,welcomattic,msantostefano@cap-collectif.com,Non,,Citoyen,Mathieu,Santostefano,,,,,https://capco.dev/profile/welcomattic,
