export_contribution_type,export_proposal_id,export_proposal_published_at,export_proposal_reference,export_proposal_title,export_proposal_summary,export_proposal_description,export_proposal_author_id,export_proposal_votes_total_count,export_proposal_votes_digital_count,export_proposal_votes_paper_count,export_proposal_votes_total_points_count,export_proposal_votes_digital_points_count,export_proposal_votes_paper_points_count,export_proposal_category_name,export_proposal_theme_title,export_proposal_formatted_address,export_proposal_address_lat,export_proposal_address_lng,export_proposal_district_name,"No Mes Démarches","No IRIS","Raison sociale",export_proposal_estimation,export_proposal_illustration,export_proposal_link,export_proposal_status_name,export_proposal_created_at,export_proposal_updated_at,export_proposal_publication_status,export_proposal_undraft_at,export_proposal_trashed_at,export_proposal_trashed_reason,export_proposal_author_username,export_proposal_author_is_email_confirmed,export_proposal_author_email,export_proposal_author_user_type_id,export_proposal_author_user_type_name,export_proposal_official_response,export_proposal_votes_id,export_proposal_votes_ranking,export_proposal_votes_created_at,export_proposal_votes_published_at,export_proposal_votes_published,export_proposal_votes_accounted,export_proposal_votes_anonymous,export_proposal_votes_author_id,export_proposal_votes_author_username,export_proposal_votes_author_is_email_confirmed,export_proposal_votes_author_is_phone_confirmed,export_proposal_votes_author_user_type_id,export_proposal_votes_author_user_type_name,export_proposal_comments_id,export_proposal_comments_body,export_proposal_comments_created_at,export_proposal_comments_published_at,export_proposal_comments_updated_at,export_proposal_comments_author_id,export_proposal_comments_author_username,export_proposal_comments_author_is_email_confirmed,export_proposal_comments_author_user_type_id,export_proposal_comments_author_user_type_name,export_proposal_comments_author_email,export_proposal_comments_pinned,export_proposal_comments_publication_status,export_proposal_comments_vote_id,export_proposal_comments_vote_created_at,export_proposal_comments_vote_published_at,export_proposal_comments_vote_author_id,export_proposal_comments_vote_author_username,export_proposal_comments_vote_author_is_email_confirmed,export_proposal_comments_vote_author_user_type_id,export_proposal_comments_vote_author_user_type_name,export_proposal_news_id,export_proposal_news_title,export_proposal_news_themes,export_proposal_news_linked_projects,export_proposal_news_linked_proposal,export_proposal_news_created_at,export_proposal_news_updated_at,export_proposal_news_published_at,export_proposal_news_publication_status,export_proposal_news_commentable,export_proposal_news_displayed_on_blog,export_proposal_news_authors_id,export_proposal_news_authors_username,export_proposal_news_authors_is_email_confirmed,export_proposal_news_authors_user_type_id,export_proposal_news_authors_user_type_name,export_proposal_news_comments_id,export_proposal_news_comments_body,export_proposal_news_comments_parent,export_proposal_news_comments_created_at,export_proposal_news_comments_published_at,export_proposal_news_comments_updated_at,export_proposal_news_comments_author_id,export_proposal_news_comments_author_username,export_proposal_news_comments_author_is_email_confirmed,export_proposal_news_comments_author_user_type_id,export_proposal_news_comments_author_user_type_name,export_proposal_news_comments_author_email,export_proposal_news_comments_pinned,export_proposal_news_comments_publication_status,export_proposal_news_comments_vote_id,export_proposal_news_comments_vote_created_at,export_proposal_news_comments_vote_published_at,export_proposal_news_comments_vote_author_id,export_proposal_news_comments_vote_author_username,export_proposal_news_comments_vote_author_is_email_confirmed,export_proposal_news_comments_vote_author_user_type_id,export_proposal_news_comments_vote_author_user_type_name,export_proposal_news_comments_reportings_id,export_proposal_news_comments_reportings_created_at,export_proposal_news_comments_reportings_author_id,export_proposal_news_comments_reportings_author_username,export_proposal_news_comments_reportings_author_is_email_confirmed,export_proposal_news_comments_reportings_author_user_type_id,export_proposal_news_comments_reportings_author_user_type_name,export_proposal_reportings_id,export_proposal_reportings_body,export_proposal_reportings_created_at,export_proposal_reportings_author_id,export_proposal_reportings_author_username,export_proposal_reportings_author_is_email_confirmed,export_proposal_reportings_author_user_type_id,export_proposal_reportings_author_user_type_name
export_contribution_type_proposal,proposalByFranceConnectUser,"2021-07-04 10:30:00","""22-135""","Proposition par un utilisateur France Connect",,TODO,userConnectedFranceConnect,2,2,0,6,6,0,Politique,,"155 Boulevard Saint-Germain, 75006 Paris, France",48.8538407,2.3321014,"Toute la région (IDF BP3)",,,,,,https://capco.dev/project/budget-participatif-idf-3/collect/collecte-des-projets-idf-brp-3/proposals/proposition-par-un-utilisateur-france-connect?_locale=fr-FR,,"2021-07-04 10:30:00","2021-07-04 10:30:00",export_proposal_publication_status_published,"2021-07-04 10:30:00",,,"LAMPE Geraldine",Oui,ducowanet-7006@yopmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,proposalByFranceConnectUser,"2021-07-04 10:30:00","""22-135""","Proposition par un utilisateur France Connect",,TODO,userConnectedFranceConnect,2,2,0,6,6,0,Politique,,"155 Boulevard Saint-Germain, 75006 Paris, France",48.8538407,2.3321014,"Toute la région (IDF BP3)",,,,,,https://capco.dev/project/budget-participatif-idf-3/collect/collecte-des-projets-idf-brp-3/proposals/proposition-par-un-utilisateur-france-connect?_locale=fr-FR,,"2021-07-04 10:30:00","2021-07-04 10:30:00",export_proposal_publication_status_published,"2021-07-04 10:30:00",,,"LAMPE Geraldine",Oui,ducowanet-7006@yopmail.com,,,,1063,1,"2022-01-03 00:00:00","2022-01-03 00:00:00",1,1,0,user5,user,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,proposalByFranceConnectUser,"2021-07-04 10:30:00","""22-135""","Proposition par un utilisateur France Connect",,TODO,userConnectedFranceConnect,2,2,0,6,6,0,Politique,,"155 Boulevard Saint-Germain, 75006 Paris, France",48.8538407,2.3321014,"Toute la région (IDF BP3)",,,,,,https://capco.dev/project/budget-participatif-idf-3/collect/collecte-des-projets-idf-brp-3/proposals/proposition-par-un-utilisateur-france-connect?_locale=fr-FR,,"2021-07-04 10:30:00","2021-07-04 10:30:00",export_proposal_publication_status_published,"2021-07-04 10:30:00",,,"LAMPE Geraldine",Oui,ducowanet-7006@yopmail.com,,,,1065,1,"2022-01-03 00:00:00","2022-01-03 00:00:00",1,1,0,user1,lbrunet,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,proposalLocation1,"2023-02-04 19:36:50","""22-370067""","Ea dolores doloremque fuga labore.",,"Molestias hic minus et omnis porro voluptatibus. Quia reprehenderit magni fugiat consequatur officiis. Alias et et quis quae. Ratione quis voluptates nulla totam eos omnis. Perferendis voluptatem nisi quis.",user5,0,0,0,0,0,0,"Santé environnementale",Justice,"Fake address, 75006 Paris, France",49.07735,2.83851,"Val de marne (94) (IDF BP3)",,,,,,https://capco.dev/project/budget-participatif-idf-3/collect/collecte-des-projets-idf-brp-3/proposals/ea-dolores-doloremque-fuga-labore?_locale=fr-FR,,"2023-02-04 19:36:50","2023-02-04 19:36:50",export_proposal_publication_status_published,"2023-02-04 19:36:50",,,user,Oui,user@test.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,proposalLocation10,"2023-02-23 01:07:27","""22-715432""","Ut est in reprehenderit reiciendis accusamus facilis.",,"Mollitia deleniti qui nostrum doloremque minima aut. Sapiente est consequatur numquam tempore similique. Debitis consequatur facere dolorum doloremque quasi.",user5,0,0,0,0,0,0,"Vélo et mobilités propres",Transport,"Fake address, 75006 Paris, France",49.08622,2.60965,"Val de marne (94) (IDF BP3)",,,,,,https://capco.dev/project/budget-participatif-idf-3/collect/collecte-des-projets-idf-brp-3/proposals/ut-est-in-reprehenderit-reiciendis-accusamus-facilis?_locale=fr-FR,,"2023-02-23 01:07:27","2023-02-23 01:07:27",export_proposal_publication_status_published,"2023-02-23 01:07:27",,,user,Oui,user@test.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,proposalLocation100,"2022-08-12 03:22:38","""22-139608""","Qui asperiores velit sit nihil hic excepturi.",,"Nostrum sapiente eum omnis tempora eius fugiat. Commodi omnis excepturi maxime quia sint. Quisquam aut voluptas culpa. Modi magnam quos dolores quis iste.",user5,0,0,0,0,0,0,"Vélo et mobilités propres",Transport,"Fake address, 75006 Paris, France",48.62908,2.30733,"Toute la région (IDF BP3)",,,,,,https://capco.dev/project/budget-participatif-idf-3/collect/collecte-des-projets-idf-brp-3/proposals/qui-asperiores-velit-sit-nihil-hic-excepturi?_locale=fr-FR,,"2022-08-12 03:22:38","2022-08-12 03:22:38",export_proposal_publication_status_published,"2022-08-12 03:22:38",,,user,Oui,user@test.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,proposalLocation101,"2022-11-17 21:09:28","""22-760278""","Ratione laudantium dolores non animi numquam.",,"Iste laboriosam voluptas aut minus quibusdam totam quam. Sint sed ut expedita numquam dolorem quidem ullam. Laboriosam natus fugit quis.",user5,0,0,0,0,0,0,"Vélo et mobilités propres",Immobilier,"Fake address, 75006 Paris, France",48.81085,3.37437,"Toute la région (IDF BP3)",,,,,,https://capco.dev/project/budget-participatif-idf-3/collect/collecte-des-projets-idf-brp-3/proposals/ratione-laudantium-dolores-non-animi-numquam?_locale=fr-FR,,"2022-11-17 21:09:28","2022-11-17 21:09:28",export_proposal_publication_status_published,"2022-11-17 21:09:28",,,user,Oui,user@test.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,proposalLocation102,"2022-11-16 12:47:31","""22-665725""","Voluptatem sapiente non qui quis numquam voluptatem culpa totam.",,"Molestias recusandae non hic qui et. Aperiam commodi dolor quos repellat velit provident. Et ex maxime culpa omnis repudiandae tempora. Occaecati aut fugit dolor. Dolorem ea voluptates assumenda.",user5,0,0,0,0,0,0,"Énergies renouvelables et efficacité énergétique",Immobilier,"Fake address, 75006 Paris, France",48.16263,1.97493,"Toute la région (IDF BP3)",,,,,,https://capco.dev/project/budget-participatif-idf-3/collect/collecte-des-projets-idf-brp-3/proposals/voluptatem-sapiente-non-qui-quis-numquam-voluptatem-culpa-totam?_locale=fr-FR,,"2022-11-16 12:47:31","2022-11-16 12:47:31",export_proposal_publication_status_published,"2022-11-16 12:47:31",,,user,Oui,user@test.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,proposalLocation103,"2023-02-07 10:37:11","""22-486557""","Hic hic possimus at consequatur doloribus voluptatem voluptatem.",,"Fugiat recusandae doloribus natus a. Ipsa voluptatem atque animi quibusdam. Sed porro repudiandae reiciendis quibusdam ut ullam. Sit qui sit et nesciunt et aut. Hic officia magni officia eaque ut.",user5,0,0,0,0,0,0,"Propreté, prévention et gestion des déchets, économie circulaire",Transport,"Fake address, 75006 Paris, France",48.23437,3.13067,"Val de marne (94) (IDF BP3)",,,,,,https://capco.dev/project/budget-participatif-idf-3/collect/collecte-des-projets-idf-brp-3/proposals/hic-hic-possimus-at-consequatur-doloribus-voluptatem-voluptatem?_locale=fr-FR,,"2023-02-07 10:37:11","2023-02-07 10:37:11",export_proposal_publication_status_published,"2023-02-07 10:37:11",,,user,Oui,user@test.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,proposalLocation104,"2022-05-31 02:13:00","""22-178882""","Aut cumque aspernatur autem suscipit pariatur non.",,"Repudiandae ea maiores est quae doloribus incidunt. Temporibus asperiores autem exercitationem molestiae unde distinctio officiis. Quia in dolores tempora nemo quaerat quae. Reiciendis ipsa temporibus voluptates alias. Repudiandae nihil repellat officia velit.",user5,0,0,0,0,0,0,"Propreté, prévention et gestion des déchets, économie circulaire",Justice,"Fake address, 75006 Paris, France",48.88962,2.1551,"Val de marne (94) (IDF BP3)",,,,,,https://capco.dev/project/budget-participatif-idf-3/collect/collecte-des-projets-idf-brp-3/proposals/aut-cumque-aspernatur-autem-suscipit-pariatur-non?_locale=fr-FR,,"2022-05-31 02:13:00","2022-05-31 02:13:00",export_proposal_publication_status_published,"2022-05-31 02:13:00",,,user,Oui,user@test.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
