export_contribution_type,export_participant_user_id,export_participant_username,export_participant_user_email,export_participant_consent_internal_communication,export_participant_phone,export_participant_type,export_participant_firstname,export_participant_lastname,export_participant_date_of_birth,export_participant_postal_address,export_participant_zip_code,export_participant_city,export_participant_profile_url,export_participant_identification_code,export_user_total_votes,export_user_total_proposals,user_votes_proposal_ids,export_proposal_votes_id,export_proposal_votes_ranking,export_proposal_votes_created_at,export_proposal_reference,export_proposal_title,export_proposal_link,export_proposal_id,export_proposal_published_at,export_proposal_summary,export_proposal_description,export_proposal_votes_total_count,export_proposal_votes_digital_count,export_proposal_votes_paper_count,export_proposal_votes_total_points_count,export_proposal_votes_digital_points_count,export_proposal_votes_paper_points_count,export_proposal_category_name,export_proposal_theme_title,export_proposal_formatted_address,export_proposal_address_lat,export_proposal_address_lng,export_proposal_district_name,"Nouvelle section 3","Evaluez l'importance de votre proposition","Evaluez le coût de votre proposition",Documents,Bilans,export_proposal_estimation,export_proposal_illustration,export_proposal_status_name
export_contribution_type_proposal,userWelcomattic,welcomattic,msantostefano@cap-collectif.com,Non,,Citoyen,Mathieu,Santostefano,,,,,https://capco.dev/profile/welcomattic,,0,2,,,,,"""1-1""","Ravalement de la façade de la bibliothèque municipale",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/ravalement-de-la-facade-de-la-bibliotheque-municipale?_locale=fr-FR,proposal1,"2017-02-01 00:00:00",,"Insert Long Text here",0,0,0,0,0,0,Politique,Justice,"10 Cours des Alliés, 35000 Rennes, France",48.1051781,-1.6744521,Beauregard,,,,,,,,"Soumis au vote"
export_contribution_type_proposal,user5,user,user@test.com,Oui,+33635492871,Citoyen,Utilisateur,authentifier,"1996-03-01 00:00:00",,75012,Paris,https://capco.dev/profile/user,DK2AZ554,1,1,,,,,"""1-2""","Rénovation du gymnase",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/renovation-du-gymnase?_locale=fr-FR,proposal2,"2017-02-01 00:03:00",,"On va en faire un beau gymnase, promis :)",2,2,0,0,0,0,Aménagement,Transport,"263 Avenue Général Leclerc, 35700 Rennes, France",48.119109,-1.6447289,"Nord Saint-Martin",,,,,,,https://capco.dev/media/default/0001/01/gymnase.jpg,"Vote gagné"
export_contribution_type_proposal_vote,userAdmin,admin,admin@test.com,Non,+33675492871,,Administrateur,authentifier,"2023-03-01 00:00:00","""26 Rue Claude Tillier, 75012 Paris, France""",75015,,,,2,0,,1000,1,"2015-03-01 00:00:01","""1-2""","Rénovation du gymnase",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/renovation-du-gymnase?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,participant1,,participant1@cap-collectif.com,Non,+33602020202,,"Participant1 firstname","Participant1 lastname","2023-02-01 00:00:00","""Rue de la Savate 10, 4340 Awans, Belgium""",75018,,https://capco.dev/profile,,1,0,,1066,1,"2024-01-01 00:00:00","""1-2""","Rénovation du gymnase",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/renovation-du-gymnase?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,userWelcomattic,welcomattic,msantostefano@cap-collectif.com,Non,,Citoyen,Mathieu,Santostefano,,,,,https://capco.dev/profile/welcomattic,,0,2,,,,,"""1-3""","Installation de bancs sur la place de la mairie",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/installation-de-bancs-sur-la-place-de-la-mairie?_locale=fr-FR,proposal3,"2017-02-01 00:04:00","Un beau résumé","Insert Long Text here",47,47,0,0,0,0,Politique,Justice,"Place de la Mairie, 35000 Rennes, France",48.1113828,-1.6792624,Beaulieu,,,,,,,,"En cours"
export_contribution_type_proposal_vote,userAdmin,admin,admin@test.com,Non,+33675492871,,Administrateur,authentifier,,"""26 Rue Claude Tillier, 75012 Paris, France""",,,,,2,0,,1001,1,"2017-02-01 00:04:00","""1-3""","Installation de bancs sur la place de la mairie",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/installation-de-bancs-sur-la-place-de-la-mairie?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,user5,user,user@test.com,Oui,+33635492871,,Utilisateur,authentifier,"1996-03-01 00:00:00",,75012,Paris,,DK2AZ554,1,1,,1002,1,"2017-02-01 00:05:00","""1-3""","Installation de bancs sur la place de la mairie",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/installation-de-bancs-sur-la-place-de-la-mairie?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,user6,user6,user6@cap-collectif.com,Oui,,,firstname6,lastname6,,,,,,,1,0,,1003,1,"2017-02-01 00:06:00","""1-3""","Installation de bancs sur la place de la mairie",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/installation-de-bancs-sur-la-place-de-la-mairie?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,user7,user7,user7@cap-collectif.com,Oui,,,firstname7,lastname7,,,,,,,1,0,,1004,1,"2017-02-01 00:07:00","""1-3""","Installation de bancs sur la place de la mairie",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/installation-de-bancs-sur-la-place-de-la-mairie?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,user8,user8,user8@cap-collectif.com,Oui,,,firstname8,lastname8,,,,,,,1,0,,1005,1,"2017-02-01 00:08:00","""1-3""","Installation de bancs sur la place de la mairie",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/installation-de-bancs-sur-la-place-de-la-mairie?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,,,,,
