export_participant_user_id,export_participant_username,export_participant_user_email,export_participant_consent_internal_communication,export_participant_phone,export_participant_type,export_participant_firstname,export_participant_lastname,export_participant_date_of_birth,export_participant_postal_address,export_participant_zip_code,export_participant_city,export_participant_profile_url,export_participant_identification_code
userWelcomattic,welcomattic,msantostefano@cap-collectif.com,Non,,Citoyen,Mathieu,Santostefano,,,,,https://capco.dev/profile/welcomattic,
userIan,"Ian apprenti DevOps",ian@cap-collectif.com,Non,,,Ian,DUCROT--THOLLON-POMMEROL,,,,,https://capco.dev/profile/ianapprentidevops,
user5,user,user@test.com,Oui,+33635492871,Citoyen,Utilisateur,authentifier,"1996-03-01 00:00:00",,75012,Paris,https://capco.dev/profile/user,DK2AZ554
user160,user160,user160@cap-collectif.com,Oui,,Citoyen,firstname160,lastname160,,,,,https://capco.dev/profile/user160,
userAdmin,admin,admin@test.com,Non,+33675492871,Citoyen,Administrateur,authentifier,,"26 Rue Claude Tillier, 75012 Paris, France",,,https://capco.dev/profile/admin,
user1,lbrunet,lbrunet@cap-collectif.com,Oui,+3300000000,Citoyen,Laurent,Brunet,,,,,https://capco.dev/profile/lbrunet,
user522,johnsmith,john.smith@england.uk,Non,,Citoyen,John,Smith,,,,,https://capco.dev/profile/johnsmith,
userSpyl,spyl,aurelien@cap-collectif.com,Oui,,Citoyen,Aurélien,David,,,,,https://capco.dev/profile/spyl,
userJpec,Jpec,jpec@cap-collectif.com,Non,,,"Jean Paul",Bella,,,,,https://capco.dev/profile/jpec,
userJean,Juan,jean@cap-collectif.com,Non,,Citoyen,Jean,Treibert,,,,,https://capco.dev/profile/juan1,
userJeanDuplicates,Juan,jean.duplicates@cap-collectif.com,Non,,Citoyen,Jean,Treibert,,,,,https://capco.dev/profile/juan,
user2,sfavot,sfavot@cap-collectif.com,Non,+3300000000,Citoyen,Suzanne,Favot,,,,Antony,https://capco.dev/profile/sfavot,
user7,user7,user7@cap-collectif.com,Oui,,Citoyen,firstname7,lastname7,,,,,https://capco.dev/profile/user7,
userConnectedFranceConnect,"LAMPE Geraldine",ducowanet-7006@yopmail.com,Non,,,Geraldine,LAMPE,,,,,https://capco.dev/profile/lampegeraldine,
userKiroule,ptondereau,pierre@cap-collectif.com,Non,,Citoyen,Pierre,Tondereau,,,,,https://capco.dev/profile/ptondereau,
valerieMassonDelmotte,"Valérie Masson Delmotte",valerie.massondelmotte@cap-collectif.com,Oui,,,Valérie,"Masson Delmotte",,,,,https://capco.dev/profile/valeriemassondelmotte,
