export_participant_user_id,export_participant_username,export_participant_user_email,export_participant_consent_internal_communication,export_participant_phone,export_participant_type,export_participant_firstname,export_participant_lastname,export_participant_date_of_birth,export_participant_postal_address,export_participant_zip_code,export_participant_city,export_participant_profile_url,export_participant_identification_code,user_votes_total_count_per_step,user_proposal_count_per_step,user_voted_proposal_ids
userWelcomattic,welcomattic,msantostefano@cap-collectif.com,Non,,Citoyen,Mathieu,Santostefano,,,,,https://capco.dev/profile/welcomattic,,0,0,
userIan,"Ian apprenti DevOps",ian@cap-collectif.com,Non,,,Ian,DUCROT--THOLLON-POMMEROL,,,,,https://capco.dev/profile/ianapprentidevops,,0,0,
user5,user,user@test.com,Oui,+33635492871,Citoyen,Utilisateur,authentifier,"1996-03-01 00:00:00",,75012,Paris,https://capco.dev/profile/user,DK2AZ554,0,0,
user160,user160,user160@cap-collectif.com,Oui,,Citoyen,firstname160,lastname160,,,,,https://capco.dev/profile/user160,,0,0,
userAdmin,admin,admin@test.com,Non,+33675492871,Citoyen,Administrateur,authentifier,,"26 Rue Claude Tillier, 75012 Paris, France",,,https://capco.dev/profile/admin,,0,0,
user1,lbrunet,lbrunet@cap-collectif.com,Oui,+3300000000,Citoyen,Laurent,Brunet,,,,,https://capco.dev/profile/lbrunet,,0,2,
user522,johnsmith,john.smith@england.uk,Non,,Citoyen,John,Smith,,,,,https://capco.dev/profile/johnsmith,,0,0,
userSpyl,spyl,aurelien@cap-collectif.com,Oui,,Citoyen,Aurélien,David,,,,,https://capco.dev/profile/spyl,,0,0,
userJpec,Jpec,jpec@cap-collectif.com,Non,,,"Jean Paul",Bella,,,,,https://capco.dev/profile/jpec,,0,0,
userJean,Juan,jean@cap-collectif.com,Non,,Citoyen,Jean,Treibert,,,,,https://capco.dev/profile/juan1,,0,0,
userJeanDuplicates,Juan,jean.duplicates@cap-collectif.com,Non,,Citoyen,Jean,Treibert,,,,,https://capco.dev/profile/juan,,0,0,
user2,sfavot,sfavot@cap-collectif.com,Non,+3300000000,Citoyen,Suzanne,Favot,,,,Antony,https://capco.dev/profile/sfavot,,0,0,
user7,user7,user7@cap-collectif.com,Oui,,Citoyen,firstname7,lastname7,,,,,https://capco.dev/profile/user7,,0,0,
userConnectedFranceConnect,"LAMPE Geraldine",ducowanet-7006@yopmail.com,Non,,,Geraldine,LAMPE,,,,,https://capco.dev/profile/lampegeraldine,,0,0,
userKiroule,ptondereau,pierre@cap-collectif.com,Non,,Citoyen,Pierre,Tondereau,,,,,https://capco.dev/profile/ptondereau,,0,0,
valerieMassonDelmotte,"Valérie Masson Delmotte",valerie.massondelmotte@cap-collectif.com,Oui,,,Valérie,"Masson Delmotte",,,,,https://capco.dev/profile/valeriemassondelmotte,,0,0,
