export_participant_user_id,export_participant_username,export_participant_user_email,export_participant_consent_internal_communication,export_participant_phone,export_participant_type,export_participant_firstname,export_participant_lastname,export_participant_date_of_birth,export_participant_postal_address,export_participant_zip_code,export_participant_city,export_participant_profile_url,export_participant_identification_code,export_participant_user_created_at,export_participant_user_updated_at,export_participant_user_last_login,export_participant_user_roles_text,export_participant_user_enabled,export_participant_user_is_email_confirmed,export_participant_user_locked,export_participant_user_is_phone_confirmed,export_participant_gender,export_participant_website_url,export_participant_biography,export_participant_is_france_connect_associated,user_votes_total_count_per_step,user_proposal_count_per_step,user_voted_proposal_ids
userWelcomattic,welcomattic,msantostefano@cap-collectif.com,Non,,Citoyen,Mathieu,Santostefano,,,,,https://capco.dev/profile/welcomattic,,"2015-01-09 00:00:00",,,"Super Admin|Utilisateur",Oui,Oui,Non,Non,,,,Non,0,0,
userIan,"Ian apprenti DevOps",ian@cap-collectif.com,Non,,,Ian,DUCROT--THOLLON-POMMEROL,,,,,https://capco.dev/profile/ianapprentidevops,,"2020-03-09 09:30:00",,,Utilisateur,Oui,Oui,Non,Non,,,,Non,0,0,
user5,user,user@test.com,Oui,+33635492871,Citoyen,Utilisateur,authentifier,"1996-03-01 00:00:00",,75012,Paris,https://capco.dev/profile/user,DK2AZ554,"2015-01-06 00:00:00","2016-01-01 00:00:00",,Utilisateur,Oui,Oui,Non,Oui,f,,,Non,0,0,
user160,user160,user160@cap-collectif.com,Oui,,Citoyen,firstname160,lastname160,,,,,https://capco.dev/profile/user160,,"2017-01-01 02:40:00",,,Utilisateur,Oui,Oui,Non,Non,,,,Non,0,0,
userAdmin,admin,admin@test.com,Non,+33675492871,Citoyen,Administrateur,authentifier,,"26 Rue Claude Tillier, 75012 Paris, France",,,https://capco.dev/profile/admin,,"2015-01-04 00:00:00",,,Administrateur|Utilisateur,Oui,Oui,Non,Oui,,,,Non,0,0,
user1,lbrunet,lbrunet@cap-collectif.com,Oui,+3300000000,Citoyen,Laurent,Brunet,,,,,https://capco.dev/profile/lbrunet,,"2015-01-01 00:00:00",,,"Super Admin|Utilisateur",Oui,Oui,Non,Non,,,,Non,0,0,
user522,johnsmith,john.smith@england.uk,Non,,Citoyen,John,Smith,,,,,https://capco.dev/profile/johnsmith,,"2015-01-15 12:02:03","2016-01-01 13:37:42",,Utilisateur,Oui,Oui,Non,Non,,,,Non,0,0,
userSpyl,spyl,aurelien@cap-collectif.com,Oui,,Citoyen,Aurélien,David,,,,,https://capco.dev/profile/spyl,,"2015-03-01 11:00:00",,,"Super Admin|Utilisateur",Oui,Oui,Non,Non,,,,Non,0,0,
userJpec,Jpec,jpec@cap-collectif.com,Non,,,"Jean Paul",Bella,,,,,https://capco.dev/profile/jpec,,"2019-07-15 09:30:00",,,Utilisateur,Oui,Oui,Non,Non,,,,Non,0,0,
userJean,Juan,jean@cap-collectif.com,Non,,Citoyen,Jean,Treibert,,,,,https://capco.dev/profile/juan1,,"2018-09-03 09:30:00",,,"Super Admin|Utilisateur",Oui,Oui,Non,Non,,,"Yrf pungf qbzvarebag ovragbg yr zbaqr.",Non,0,0,
userJeanDuplicates,Juan,jean.duplicates@cap-collectif.com,Non,,Citoyen,Jean,Treibert,,,,,https://capco.dev/profile/juan,,"2018-09-05 09:30:00",,,Utilisateur,Oui,Oui,Non,Non,,,"Yrf pungf qbzvarebag ovragbg yr zbaqr.",Non,0,0,
user2,sfavot,sfavot@cap-collectif.com,Non,+3300000000,Citoyen,Suzanne,Favot,,,,Antony,https://capco.dev/profile/sfavot,,"2015-01-02 00:00:00",,,"Super Admin|Utilisateur",Oui,Oui,Non,Oui,,http://www.sfavot.fr,"Lorem ipsum dolor sit amet, consectetur adipisicing elit. Eum earum fuga quaerat expedita minima labore vitae voluptate, repellendus perspiciatis consequuntur cum, dignissimos quas temporibus consequatur tempora est repellat. Architecto, quia.",Non,0,0,
user7,user7,user7@cap-collectif.com,Oui,,Citoyen,firstname7,lastname7,,,,,https://capco.dev/profile/user7,,"2017-01-01 00:07:00",,,Utilisateur,Oui,Oui,Non,Non,,,,Non,0,0,
userConnectedFranceConnect,"LAMPE Geraldine",ducowanet-7006@yopmail.com,Non,,,Geraldine,LAMPE,,,,,https://capco.dev/profile/lampegeraldine,,"2020-03-10 09:30:00","2020-03-10 09:30:00",,Utilisateur,Oui,Oui,Non,Non,,,"Je suis créé via france connect",Oui,0,0,
userKiroule,ptondereau,pierre@cap-collectif.com,Non,,Citoyen,Pierre,Tondereau,,,,,https://capco.dev/profile/ptondereau,,"2015-01-12 00:00:00",,,"Utilisateur|Créateur de projet",Oui,Oui,Non,Non,,,,Non,0,0,
valerieMassonDelmotte,"Valérie Masson Delmotte",valerie.massondelmotte@cap-collectif.com,Oui,,,Valérie,"Masson Delmotte",,,,,https://capco.dev/profile/valeriemassondelmotte,,"1972-10-29 00:00:00",,,Utilisateur,Oui,Oui,Non,Non,,,"Valérie Masson-Delmotte, née le 29 octobre 1971 à Nancy1, est une paléoclimatologue française. Elle est directrice de recherche au CEA et coprésidente du groupe no 1 du GIEC depuis 2015.",Non,0,0,
