id,username,email,emailConfirmed,role,createdAt,updatedAt,lastLogin,enabled,confirmedAccountAt,locked,gender,firstname,lastname,dateOfBirth,websiteUrl,biography,address,deletedAccountAt,facebookId,status,internalComm,externalComm,userIdentificationCode
VXNlcjphZG1pbkNhcGNv,adminpro,admin@cap-collectif.com,YES,Administrateur,"2015-01-05 00:00:00",,,YES,,NO,,Administrateur,authentifier,,,,,,,Citoyen,NO,NO,
VXNlcjpkdXBsaWNhdGVzVXNlckNvbm5lY3RlZEZyYW5jZUNvbm5lY3Q=,"LAMPE Gerare",gerare@yopmail.com,YES,Utilisateur,"2020-04-10 09:30:00",,,YES,,NO,,Gerare,LAMPE,,,"Je suis un doublon",,,,,NO,NO,
VXNlcjp1c2VyX25vdF9jb25maXJtZWQ=,user_not_confirmed,user_not_confirmed@test.com,NO,Utilisateur,"2015-01-12 01:00:00",,,YES,,NO,,user_not_confirmed,user_not_confirmed,"1990-03-10 00:00:00",,,,,,Citoyen,NO,NO,
VXNlcjp1c2VyMTA=,user10,user10@cap-collectif.com,YES,Utilisateur,"2017-01-01 00:10:00",,,YES,,NO,,firstname10,lastname10,,,,,,,Citoyen,YES,NO,
VXNlcjp1c2VyMTAw,user100,user100@cap-collectif.com,YES,Utilisateur,"2017-01-01 01:40:00",,,YES,,NO,,firstname100,lastname100,,,,,,,Citoyen,YES,NO,
VXNlcjp1c2VyMTAx,user101,user101@cap-collectif.com,YES,Utilisateur,"2017-01-01 01:41:00",,,YES,,NO,,firstname101,lastname101,,,,,,,Citoyen,YES,NO,
VXNlcjp1c2VyMTAy,user102,user102@cap-collectif.com,YES,Utilisateur,"2017-01-01 01:42:00",,,YES,,NO,,firstname102,lastname102,,,,,,,Citoyen,YES,NO,
VXNlcjp1c2VyMTAz,user103,user103@cap-collectif.com,YES,Utilisateur,"2017-01-01 01:43:00",,,YES,,NO,,firstname103,lastname103,,,,,,,Citoyen,YES,NO,
VXNlcjp1c2VyMTA0,user104,user104@cap-collectif.com,YES,Utilisateur,"2017-01-01 01:44:00",,,YES,,NO,,firstname104,lastname104,,,,,,,Citoyen,YES,NO,
VXNlcjp1c2VyMTA1,user105,user105@cap-collectif.com,YES,Utilisateur,"2017-01-01 01:45:00",,,YES,,NO,,firstname105,lastname105,,,,,,,Citoyen,YES,NO,
VXNlcjp1c2VyMTA2,user106,user106@cap-collectif.com,YES,Utilisateur,"2017-01-01 01:46:00",,,YES,,NO,,firstname106,lastname106,,,,,,,Citoyen,YES,NO,
VXNlcjp1c2VyMTA3,user107,user107@cap-collectif.com,YES,Utilisateur,"2017-01-01 01:47:00",,,YES,,NO,,firstname107,lastname107,,,,,,,Citoyen,YES,NO,
VXNlcjp1c2VyMTA4,user108,user108@cap-collectif.com,YES,Utilisateur,"2017-01-01 01:48:00",,,YES,,NO,,firstname108,lastname108,,,,,,,Citoyen,YES,NO,
VXNlcjp1c2VyMTA5,user109,user109@cap-collectif.com,YES,Utilisateur,"2017-01-01 01:49:00",,,YES,,NO,,firstname109,lastname109,,,,,,,Citoyen,YES,NO,
VXNlcjp1c2VyMTE=,user11,user11@cap-collectif.com,YES,Utilisateur,"2017-01-01 00:11:00",,,YES,,NO,,firstname11,lastname11,,,,,,,Citoyen,YES,NO,
VXNlcjp1c2VyMTEw,user110,user110@cap-collectif.com,YES,Utilisateur,"2017-01-01 01:50:00",,,YES,,NO,,firstname110,lastname110,,,,,,,Citoyen,YES,NO,
VXNlcjp1c2VyMTEx,user111,user111@cap-collectif.com,YES,Utilisateur,"2017-01-01 01:51:00",,,YES,,NO,,firstname111,lastname111,,,,,,,Citoyen,YES,NO,
VXNlcjp1c2VyMTEy,user112,user112@cap-collectif.com,YES,Utilisateur,"2017-01-01 01:52:00",,,YES,,NO,,firstname112,lastname112,,,,,,,Citoyen,YES,NO,
VXNlcjp1c2VyMTEz,user113,user113@cap-collectif.com,YES,Utilisateur,"2017-01-01 01:53:00",,,YES,,NO,,firstname113,lastname113,,,,,,,Citoyen,YES,NO,
VXNlcjp1c2VyMTE0,user114,user114@cap-collectif.com,YES,Utilisateur,"2017-01-01 01:54:00",,,YES,,NO,,firstname114,lastname114,,,,,,,Citoyen,YES,NO,
VXNlcjp1c2VyMTE1,user115,user115@cap-collectif.com,YES,Utilisateur,"2017-01-01 01:55:00",,,YES,,NO,,firstname115,lastname115,,,,,,,Citoyen,YES,NO,
VXNlcjp1c2VyMTE2,user116,user116@cap-collectif.com,YES,Utilisateur,"2017-01-01 01:56:00",,,YES,,NO,,firstname116,lastname116,,,,,,,Citoyen,YES,NO,
VXNlcjp1c2VyMTE3,user117,user117@cap-collectif.com,YES,Utilisateur,"2017-01-01 01:57:00",,,YES,,NO,,firstname117,lastname117,,,,,,,Citoyen,YES,NO,
VXNlcjp1c2VyMTE4,user118,user118@cap-collectif.com,YES,Utilisateur,"2017-01-01 01:58:00",,,YES,,NO,,firstname118,lastname118,,,,,,,Citoyen,YES,NO,
VXNlcjp1c2VyMTE5,user119,user119@cap-collectif.com,YES,Utilisateur,"2017-01-01 01:59:00",,,YES,,NO,,firstname119,lastname119,,,,,,,Citoyen,YES,NO,
VXNlcjp1c2VyMTI=,user12,user12@cap-collectif.com,YES,Utilisateur,"2017-01-01 00:12:00",,,YES,,NO,,firstname12,lastname12,,,,,,,Citoyen,YES,NO,
VXNlcjp1c2VyMTIw,user120,user120@cap-collectif.com,YES,Utilisateur,"2017-01-01 02:00:00",,,YES,,NO,,firstname120,lastname120,,,,,,,Citoyen,YES,NO,
VXNlcjp1c2VyMTIx,user121,user121@cap-collectif.com,YES,Utilisateur,"2017-01-01 02:01:00",,,YES,,NO,,firstname121,lastname121,,,,,,,Citoyen,YES,NO,
VXNlcjp1c2VyMTIy,user122,user122@cap-collectif.com,YES,Utilisateur,"2017-01-01 02:02:00",,,YES,,NO,,firstname122,lastname122,,,,,,,Citoyen,YES,NO,
VXNlcjp1c2VyMTIz,user123,user123@cap-collectif.com,YES,Utilisateur,"2017-01-01 02:03:00",,,YES,,NO,,firstname123,lastname123,,,,,,,Citoyen,YES,NO,
VXNlcjp1c2VyMTI0,user124,user124@cap-collectif.com,YES,Utilisateur,"2017-01-01 02:04:00",,,YES,,NO,,firstname124,lastname124,,,,,,,Citoyen,YES,NO,
VXNlcjp1c2VyMTI1,user125,user125@cap-collectif.com,YES,Utilisateur,"2017-01-01 02:05:00",,,YES,,NO,,firstname125,lastname125,,,,,,,Citoyen,YES,NO,
VXNlcjp1c2VyMTI2,user126,user126@cap-collectif.com,YES,Utilisateur,"2017-01-01 02:06:00",,,YES,,NO,,firstname126,lastname126,,,,,,,Citoyen,YES,NO,
VXNlcjp1c2VyMTI3,user127,user127@cap-collectif.com,YES,Utilisateur,"2017-01-01 02:07:00",,,YES,,NO,,firstname127,lastname127,,,,,,,Citoyen,YES,NO,
VXNlcjp1c2VyMTI4,user128,user128@cap-collectif.com,YES,Utilisateur,"2017-01-01 02:08:00",,,YES,,NO,,firstname128,lastname128,,,,,,,Citoyen,YES,NO,
VXNlcjp1c2VyMTI5,user129,user129@cap-collectif.com,YES,Utilisateur,"2017-01-01 02:09:00",,,YES,,NO,,firstname129,lastname129,,,,,,,Citoyen,YES,NO,
VXNlcjp1c2VyMTM=,user13,user13@cap-collectif.com,YES,Utilisateur,"2017-01-01 00:13:00",,,YES,,NO,,firstname13,lastname13,,,,,,,Citoyen,YES,NO,
VXNlcjp1c2VyMTMw,user130,user130@cap-collectif.com,YES,Utilisateur,"2017-01-01 02:10:00",,,YES,,NO,,firstname130,lastname130,,,,,,,Citoyen,YES,NO,
VXNlcjp1c2VyMTMx,user131,user131@cap-collectif.com,YES,Utilisateur,"2017-01-01 02:11:00",,,YES,,NO,,firstname131,lastname131,,,,,,,Citoyen,YES,NO,
VXNlcjp1c2VyMTMy,user132,user132@cap-collectif.com,YES,Utilisateur,"2017-01-01 02:12:00",,,YES,,NO,,firstname132,lastname132,,,,,,,Citoyen,YES,NO,
VXNlcjp1c2VyMTMz,user133,user133@cap-collectif.com,YES,Utilisateur,"2017-01-01 02:13:00",,,YES,,NO,,firstname133,lastname133,,,,,,,Citoyen,YES,NO,
VXNlcjp1c2VyMTM0,user134,user134@cap-collectif.com,YES,Utilisateur,"2017-01-01 02:14:00",,,YES,,NO,,firstname134,lastname134,,,,,,,Citoyen,YES,NO,
VXNlcjp1c2VyMTM1,user135,user135@cap-collectif.com,YES,Utilisateur,"2017-01-01 02:15:00",,,YES,,NO,,firstname135,lastname135,,,,,,,Citoyen,YES,NO,
VXNlcjp1c2VyMTM2,user136,user136@cap-collectif.com,YES,Utilisateur,"2017-01-01 02:16:00",,,YES,,NO,,firstname136,lastname136,,,,,,,Citoyen,YES,NO,
VXNlcjp1c2VyMTM3,user137,user137@cap-collectif.com,YES,Utilisateur,"2017-01-01 02:17:00",,,YES,,NO,,firstname137,lastname137,,,,,,,Citoyen,YES,NO,
VXNlcjp1c2VyMTM4,user138,user138@cap-collectif.com,YES,Utilisateur,"2017-01-01 02:18:00",,,YES,,NO,,firstname138,lastname138,,,,,,,Citoyen,YES,NO,
VXNlcjp1c2VyMTM5,user139,user139@cap-collectif.com,YES,Utilisateur,"2017-01-01 02:19:00",,,YES,,NO,,firstname139,lastname139,,,,,,,Citoyen,YES,NO,
VXNlcjp1c2VyMTQ=,user14,user14@cap-collectif.com,YES,Utilisateur,"2017-01-01 00:14:00",,,YES,,NO,,firstname14,lastname14,,,,,,,Citoyen,YES,NO,
VXNlcjp1c2VyMTQw,user140,user140@cap-collectif.com,YES,Utilisateur,"2017-01-01 02:20:00",,,YES,,NO,,firstname140,lastname140,,,,,,,Citoyen,YES,NO,
VXNlcjp1c2VyMTQx,user141,user141@cap-collectif.com,YES,Utilisateur,"2017-01-01 02:21:00",,,YES,,NO,,firstname141,lastname141,,,,,,,Citoyen,YES,NO,
VXNlcjp1c2VyMTQy,user142,user142@cap-collectif.com,YES,Utilisateur,"2017-01-01 02:22:00",,,YES,,NO,,firstname142,lastname142,,,,,,,Citoyen,YES,NO,
