export_participant_user_id,export_participant_username,export_participant_user_email,export_participant_user_is_email_confirmed,export_participant_user_roles_text,export_participant_user_created_at,export_participant_user_updated_at,export_participant_user_last_login,export_participant_user_enabled,export_participant_confirmed_account_at,export_participant_user_groups,export_participant_user_locked,export_participant_gender,export_participant_firstname,export_participant_lastname,export_participant_date_of_birth,export_participant_website_url,export_participant_biography,export_participant_postal_address,export_participant_deleted_account_at,export_participant_facebook_id,export_participant_type,export_participant_consent_internal_communication,export_participant_consent_external_communication,export_participant_identification_code
emailingUser1,emailingUser1,emailing.user1@fake-email.com,Oui,Utilisateur,"2025-01-01 17:00:00",,,Oui,,,Non,,Emailing1,User1,,,,,,,"Manipulateur d'emails",Oui,Non,
emailingUser10,emailingUser10,emailing.user10@fake-email.com,Oui,Utilisateur,"2025-01-01 17:00:00",,,Oui,,,Non,,Emailing10,User10,,,,,,,"Manipulateur d'emails",Oui,Non,
emailingUser11,emailingUser11,emailing.user11@fake-email.com,Oui,Utilisateur,"2025-01-01 17:00:00",,,Oui,,,Non,,Emailing11,User11,,,,,,,"Manipulateur d'emails",Oui,Non,
emailingUser12,emailingUser12,emailing.user12@fake-email.com,Oui,Utilisateur,"2025-01-01 17:00:00",,,Oui,,,Non,,Emailing12,User12,,,,,,,"Manipulateur d'emails",Oui,Non,
emailingUser13,emailingUser13,emailing.user13@fake-email.com,Oui,Utilisateur,"2025-01-01 17:00:00",,,Oui,,,Non,,Emailing13,User13,,,,,,,"Manipulateur d'emails",Oui,Non,
emailingUser14,emailingUser14,emailing.user14@fake-email.com,Oui,Utilisateur,"2025-01-01 17:00:00",,,Oui,,,Non,,Emailing14,User14,,,,,,,"Manipulateur d'emails",Oui,Non,
emailingUser15,emailingUser15,emailing.user15@fake-email.com,Oui,Utilisateur,"2025-01-01 17:00:00",,,Oui,,,Non,,Emailing15,User15,,,,,,,"Manipulateur d'emails",Oui,Non,
emailingUser16,emailingUser16,emailing.user16@fake-email.com,Oui,Utilisateur,"2025-01-01 17:00:00",,,Oui,,,Non,,Emailing16,User16,,,,,,,"Manipulateur d'emails",Oui,Non,
emailingUser17,emailingUser17,emailing.user17@fake-email.com,Oui,Utilisateur,"2025-01-01 17:00:00",,,Oui,,,Non,,Emailing17,User17,,,,,,,"Manipulateur d'emails",Oui,Non,
emailingUser18,emailingUser18,emailing.user18@fake-email.com,Oui,Utilisateur,"2025-01-01 17:00:00",,,Oui,,,Non,,Emailing18,User18,,,,,,,"Manipulateur d'emails",Oui,Non,
emailingUser19,emailingUser19,emailing.user19@fake-email.com,Oui,Utilisateur,"2025-01-01 17:00:00",,,Oui,,,Non,,Emailing19,User19,,,,,,,"Manipulateur d'emails",Oui,Non,
emailingUser2,emailingUser2,emailing.user2@fake-email.com,Oui,Utilisateur,"2025-01-01 17:00:00",,,Oui,,,Non,,Emailing2,User2,,,,,,,"Manipulateur d'emails",Oui,Non,
emailingUser20,emailingUser20,emailing.user20@fake-email.com,Oui,Utilisateur,"2025-01-01 17:00:00",,,Oui,,,Non,,Emailing20,User20,,,,,,,"Manipulateur d'emails",Oui,Non,
emailingUser21,emailingUser21,emailing.user21@fake-email.com,Oui,Utilisateur,"2025-01-01 17:00:00",,,Oui,,,Non,,Emailing21,User21,,,,,,,"Manipulateur d'emails",Oui,Non,
emailingUser22,emailingUser22,emailing.user22@fake-email.com,Oui,Utilisateur,"2025-01-01 17:00:00",,,Oui,,,Non,,Emailing22,User22,,,,,,,"Manipulateur d'emails",Oui,Non,
emailingUser3,emailingUser3,emailing.user3@fake-email.com,Oui,Utilisateur,"2025-01-01 17:00:00",,,Oui,,,Non,,Emailing3,User3,,,,,,,"Manipulateur d'emails",Oui,Non,
emailingUser4,emailingUser4,emailing.user4@fake-email.com,Oui,Utilisateur,"2025-01-01 17:00:00",,,Oui,,,Non,,Emailing4,User4,,,,,,,"Manipulateur d'emails",Oui,Non,
emailingUser5,emailingUser5,emailing.user5@fake-email.com,Oui,Utilisateur,"2025-01-01 17:00:00",,,Oui,,,Non,,Emailing5,User5,,,,,,,"Manipulateur d'emails",Oui,Non,
emailingUser6,emailingUser6,emailing.user6@fake-email.com,Oui,Utilisateur,"2025-01-01 17:00:00",,,Oui,,,Non,,Emailing6,User6,,,,,,,"Manipulateur d'emails",Oui,Non,
emailingUser7,emailingUser7,emailing.user7@fake-email.com,Oui,Utilisateur,"2025-01-01 17:00:00",,,Oui,,,Non,,Emailing7,User7,,,,,,,"Manipulateur d'emails",Oui,Non,
emailingUser8,emailingUser8,emailing.user8@fake-email.com,Oui,Utilisateur,"2025-01-01 17:00:00",,,Oui,,,Non,,Emailing8,User8,,,,,,,"Manipulateur d'emails",Oui,Non,
emailingUser9,emailingUser9,emailing.user9@fake-email.com,Oui,Utilisateur,"2025-01-01 17:00:00",,,Oui,,,Non,,Emailing9,User9,,,,,,,"Manipulateur d'emails",Oui,Non,
duplicatesUserConnectedFranceConnect,"LAMPE Gerare",gerare@yopmail.com,Oui,Utilisateur,"2020-04-10 09:30:00",,,Oui,,"Evaluers on proposal3",Non,,Gerare,LAMPE,,,"Je suis un doublon",,,,,Non,Non,
userConnectedFranceConnect,"LAMPE Geraldine",ducowanet-7006@yopmail.com,Oui,Utilisateur,"2020-03-10 09:30:00","2020-03-10 09:30:00",,Oui,,,Non,,Geraldine,LAMPE,,,"Je suis créé via france connect",,,,,Non,Non,
userIan,"Ian apprenti DevOps",ian@cap-collectif.com,Oui,Utilisateur,"2020-03-09 09:30:00",,,Oui,,,Non,,Ian,DUCROT--THOLLON-POMMEROL,,,,,,,,Non,Non,
userNotConnectedFranceConnect,"Angela Claire Louise",wossewodda-3728@yopmail.com,Oui,Utilisateur,"2020-03-09 09:30:00",,,Oui,,,Non,f,"Angela Claire Louise",DUBOIS,"1990-03-10 00:00:00",,"Je suis france connect pas encore associé.",,,,,Non,Non,
userMickael,"Dev null",mickael@cap-collectif.com,Oui,Utilisateur,"2019-11-04 09:30:00",,,Oui,,,Non,,Mickael,Buliard,,,"La raclette c'est bon.",,,,,Oui,Non,
userAgui,Agui,julien.aguilar@cap-collectif.com,Oui,Utilisateur,"2019-09-09 09:30:00",,,Oui,,,Non,,Julien,AGUILAR,,,,,,,,Oui,Non,
userJpec,Jpec,jpec@cap-collectif.com,Oui,Utilisateur,"2019-07-15 09:30:00",,,Oui,,,Non,,"Jean Paul",Bella,,,,,,,,Non,Non,
userTheo,"Théo QP",theo@cap-collectif.com,Oui,"Utilisateur|Créateur de projet","2019-06-03 09:30:00",,,Oui,,,Non,,Théo,Bourgoin,,,,,,,,Oui,Non,
userOmar,"Omar <3 Rem",omar@cap-collectif.com,Oui,Utilisateur,"2018-10-17 09:30:00",,,Oui,,,Non,,Omar,Jbara,,,,,,,,Non,Non,
userJeanDuplicates,Juan,jean.duplicates@cap-collectif.com,Oui,Utilisateur,"2018-09-05 09:30:00",,,Oui,,,Non,,Jean,Treibert,,,"Yrf pungf qbzvarebag ovragbg yr zbaqr.",,,153808779501692-duplicates,Citoyen,Non,Non,
user200,user200,user200@cap-collectif.com,Oui,Utilisateur,"2017-01-01 03:20:00",,,Oui,,,Non,,firstname200,lastname200,,,,,,,Citoyen,Oui,Non,
user199,user199,user199@cap-collectif.com,Oui,Utilisateur,"2017-01-01 03:19:00",,,Oui,,,Non,,firstname199,lastname199,,,,,,,Citoyen,Oui,Non,
