user_email;user_firstname;user_lastname;user_privateRegistration
uhudson@yahoo.com;hintz.helga;;no
jamarcus69@russel.com;hagenes.zoey;;no
mckayla22@yahoo.com;maximus.conn;;no
fletcher.leffler@sanford.com;cornell.crooks;;no
betsy.swift@walker.biz;bwunsch;;no
smosciski@gmail.com;estelle.herzog;;no
willa56@gmail.com;douglas95;;no
sabrina20@gmail.com;muriel.gulgowski;;no
fbradtke@hayes.com;raheem.windler;;no
raheem.goldner@mayer.org;cleve.bartell;;no
eric.swift@yahoo.com;deondre41;;no
margarita46@yahoo.com;price.sam;;no
dward@bashirian.info;elwin.jaskolski;;no
oebert@johns.biz;timmothy.hudson;;no
bailee.auer@schaden.biz;kparisian;;no
