contribution_type,proposal_id,proposal_reference,proposal_title,proposal_createdAt,proposal_publishedAt,proposal_updatedAt,proposal_publicationStatus,proposal_trashedAt,proposal_trashedReason,proposal_link,proposal_author_id,proposal_author_username,proposal_author_isEmailConfirmed,proposal_author_email,proposal_author_userType_id,proposal_author_userType_name,proposal_status_name,proposal_estimation,proposal_category_name,proposal_theme_title,proposal_formattedAddress,proposal_district_name,proposal_illustration,proposal_summary,proposal_description,proposal_votes_id,proposal_votes_createdAt,proposal_votes_publishedAt,proposal_votes_anonymous,proposal_votes_author_id,proposal_votes_author_username,proposal_votes_author_isEmailConfirmed,proposal_votes_ranking,proposal_votes_author_userType_id,proposal_votes_author_userType_name,proposal_comments_id,proposal_comments_body,proposal_comments_parent,proposal_comments_createdAt,proposal_comments_publishedAt,proposal_comments_updatedAt,proposal_comments_author_id,proposal_comments_author_username,proposal_comments_author_isEmailConfirmed,proposal_comments_author_userType_id,proposal_comments_author_userType_name,proposal_comments_author_email,proposal_comments_pinned,proposal_comments_publicationStatus,proposal_comments_vote_id,proposal_comments_vote_createdAt,proposal_comments_vote_publishedAt,proposal_comments_vote_published,proposal_comments_vote_author_id,proposal_comments_vote_author_username,proposal_comments_vote_author_isEmailConfirmed,proposal_comments_vote_author_userType_id,proposal_comments_vote_author_userType_name,proposal_news_id,proposal_news_title,proposal_news_themes,proposal_news_linkedProjects,proposal_news_linkedProposal,proposal_news_createdAt,proposal_news_updatedAt,proposal_news_publishedAt,proposal_news_publicationStatus,proposal_news_commentable,proposal_news_displayedOnBlog,proposal_news_authors_id,proposal_news_authors_username,proposal_news_authors_isEmailConfirmed,proposal_news_authors_userType_id,proposal_news_authors_userType_name,proposal_news_comments_id,proposal_news_comments_body,proposal_news_comments_parent,proposal_news_comments_createdAt,proposal_news_comments_updatedAt,proposal_news_comments_author_id,proposal_news_comments_author_username,proposal_news_comments_author_isEmailConfirmed,proposal_news_comments_author_userType_id,proposal_news_comments_author_userType_name,proposal_news_comments_author_email,proposal_news_comments_pinned,proposal_news_comments_publicationStatus,proposal_news_comments_vote_id,proposal_news_comments_vote_createdAt,proposal_news_comments_vote_publishedAt,proposal_news_comments_vote_published,proposal_news_comments_vote_author_id,proposal_news_comments_vote_author_username,proposal_news_comments_vote_author_isEmailConfirmed,proposal_news_comments_vote_author_userType_id,proposal_news_comments_vote_author_userType_name,proposal_news_comments_reportings_id,proposal_news_comments_reportings_createdAt,proposal_news_comments_reportings_published,proposal_news_comments_reportings_author_id,proposal_news_comments_reportings_author_username,proposal_news_comments_reportings_author_isEmailConfirmed,proposal_news_comments_reportings_author_userType_id,proposal_news_comments_reportings_author_userType_name,proposal_reportings_id,proposal_reportings_body,proposal_reportings_createdAt,proposal_reportings_author_id,proposal_reportings_author_username,proposal_reportings_author_isEmailConfirmed,proposal_reportings_author_userType_id,proposal_reportings_author_userType_name
proposal,UHJvcG9zYWw6cHJvcG9zYWwxNA==,"""5-1""","Mon super projet","2018-03-01 00:00:00","2018-03-01 00:00:00","2018-03-01 00:00:00",PUBLISHED,,,https://capco.dev/projects/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,VXNlcjp1c2VyMQ==,lbrunet,1,lbrunet@jolicode.com,1,Citoyen,"En cours",100,,Justice,,"Maurepas Patton",,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proposalVote,UHJvcG9zYWw6cHJvcG9zYWwxNA==,"""5-1""","Mon super projet","2018-03-01 00:00:00","2018-03-01 00:00:00","2018-03-01 00:00:00",PUBLISHED,,,https://capco.dev/projects/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,VXNlcjp1c2VyMQ==,lbrunet,1,lbrunet@jolicode.com,1,Citoyen,"En cours",100,,Justice,,"Maurepas Patton",,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus. ",2048,"2015-03-01 00:00:00","2015-03-01 00:00:00",,VXNlcjp1c2VyMjE=,user21,1,,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proposalVote,UHJvcG9zYWw6cHJvcG9zYWwxNA==,"""5-1""","Mon super projet","2018-03-01 00:00:00","2018-03-01 00:00:00","2018-03-01 00:00:00",PUBLISHED,,,https://capco.dev/projects/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,VXNlcjp1c2VyMQ==,lbrunet,1,lbrunet@jolicode.com,1,Citoyen,"En cours",100,,Justice,,"Maurepas Patton",,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus. ",2049,"2015-03-01 00:00:00","2015-03-01 00:00:00",,VXNlcjp1c2VyMTE=,user11,1,,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proposalVote,UHJvcG9zYWw6cHJvcG9zYWwxNA==,"""5-1""","Mon super projet","2018-03-01 00:00:00","2018-03-01 00:00:00","2018-03-01 00:00:00",PUBLISHED,,,https://capco.dev/projects/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,VXNlcjp1c2VyMQ==,lbrunet,1,lbrunet@jolicode.com,1,Citoyen,"En cours",100,,Justice,,"Maurepas Patton",,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus. ",2050,"2015-03-01 00:00:00","2015-03-01 00:00:00",,VXNlcjp1c2VyMjY=,user26,1,,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proposalVote,UHJvcG9zYWw6cHJvcG9zYWwxNA==,"""5-1""","Mon super projet","2018-03-01 00:00:00","2018-03-01 00:00:00","2018-03-01 00:00:00",PUBLISHED,,,https://capco.dev/projects/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,VXNlcjp1c2VyMQ==,lbrunet,1,lbrunet@jolicode.com,1,Citoyen,"En cours",100,,Justice,,"Maurepas Patton",,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus. ",2000,"2015-03-01 00:00:00","2015-03-01 00:00:00",,VXNlcjp1c2VyMTI=,user12,1,,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proposalVote,UHJvcG9zYWw6cHJvcG9zYWwxNA==,"""5-1""","Mon super projet","2018-03-01 00:00:00","2018-03-01 00:00:00","2018-03-01 00:00:00",PUBLISHED,,,https://capco.dev/projects/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,VXNlcjp1c2VyMQ==,lbrunet,1,lbrunet@jolicode.com,1,Citoyen,"En cours",100,,Justice,,"Maurepas Patton",,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus. ",2001,"2015-03-01 00:00:00","2015-03-01 00:00:00",,VXNlcjp1c2VyMTc=,user17,1,,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proposalVote,UHJvcG9zYWw6cHJvcG9zYWwxNA==,"""5-1""","Mon super projet","2018-03-01 00:00:00","2018-03-01 00:00:00","2018-03-01 00:00:00",PUBLISHED,,,https://capco.dev/projects/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,VXNlcjp1c2VyMQ==,lbrunet,1,lbrunet@jolicode.com,1,Citoyen,"En cours",100,,Justice,,"Maurepas Patton",,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus. ",2002,"2015-03-01 00:00:00","2015-03-01 00:00:00",,VXNlcjp1c2VyMjQ=,user24,1,,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proposalVote,UHJvcG9zYWw6cHJvcG9zYWwxNA==,"""5-1""","Mon super projet","2018-03-01 00:00:00","2018-03-01 00:00:00","2018-03-01 00:00:00",PUBLISHED,,,https://capco.dev/projects/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,VXNlcjp1c2VyMQ==,lbrunet,1,lbrunet@jolicode.com,1,Citoyen,"En cours",100,,Justice,,"Maurepas Patton",,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus. ",2003,"2015-03-01 00:00:00","2015-03-01 00:00:00",,VXNlcjp1c2VyMTU=,user15,1,,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proposalVote,UHJvcG9zYWw6cHJvcG9zYWwxNA==,"""5-1""","Mon super projet","2018-03-01 00:00:00","2018-03-01 00:00:00","2018-03-01 00:00:00",PUBLISHED,,,https://capco.dev/projects/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,VXNlcjp1c2VyMQ==,lbrunet,1,lbrunet@jolicode.com,1,Citoyen,"En cours",100,,Justice,,"Maurepas Patton",,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus. ",2004,"2015-03-01 00:00:00","2015-03-01 00:00:00",,VXNlcjp1c2VyMzA=,user30,1,,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proposalVote,UHJvcG9zYWw6cHJvcG9zYWwxNA==,"""5-1""","Mon super projet","2018-03-01 00:00:00","2018-03-01 00:00:00","2018-03-01 00:00:00",PUBLISHED,,,https://capco.dev/projects/appel-a-projets/collect/collecte-des-propositions-avec-vote-simple/proposals/mon-super-projet,VXNlcjp1c2VyMQ==,lbrunet,1,lbrunet@jolicode.com,1,Citoyen,"En cours",100,,Justice,,"Maurepas Patton",,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In in elit eget dui bibendum luctus euismod sit amet odio. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam erat volutpat. Nulla mollis aliquam faucibus. Nullam pharetra mattis lacus. In vitae ex nisl. Integer faucibus, purus vitae egestas gravida, ante nisi semper magna, nec interdum est orci at purus. ",2005,"2015-03-01 00:00:00","2015-03-01 00:00:00",,VXNlcjp1c2VyMTg=,user18,1,,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
