id,email,userName,typeName,createdAt,updatedAt,lastLogin,rolesText,consentExternalCommunication,enabled,isEmailConfirmed,locked,phoneConfirmed,gender,dateOfBirth,websiteUrl,biography,address,zipCode,city,phone,profileUrl
VXNlcjp1c2VyMQ==,lbrunet@jolicode.com,lbrunet,Citoyen,@datetime@,,,"Super Admin|Utilisateur",No,Yes,Yes,No,No,,,,,,,,+3300000000,https://capco.dev/profile/lbrunet
VXNlcjp1c2VyMTA=,user10@cap-collectif.com,user10,Citoyen,@datetime@,,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user10
VXNlcjp1c2VyMTE=,user11@cap-collectif.com,user11,Citoyen,@datetime@,,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user11
VXNlcjp1c2VyMTI=,user12@cap-collectif.com,user12,Citoyen,@datetime@,,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user12
VXNlcjp1c2VyMTM=,user13@cap-collectif.com,user13,Citoyen,@datetime@,,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user13
VXNlcjp1c2VyMTQ=,user14@cap-collectif.com,user14,Citoyen,@datetime@,,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user14
VXNlcjp1c2VyMTU=,user15@cap-collectif.com,user15,Citoyen,@datetime@,,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user15
VXNlcjp1c2VyMTY=,user16@cap-collectif.com,user16,Citoyen,@datetime@,,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user16
VXNlcjp1c2VyMTc=,user17@cap-collectif.com,user17,Citoyen,@datetime@,,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user17
VXNlcjp1c2VyMTg=,user18@cap-collectif.com,user18,Citoyen,@datetime@,,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user18
VXNlcjp1c2VyMTk=,user19@cap-collectif.com,user19,Citoyen,@datetime@,,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user19
VXNlcjp1c2VyMjA=,user20@cap-collectif.com,user20,Citoyen,@datetime@,,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user20
VXNlcjp1c2VyMjE=,user21@cap-collectif.com,user21,Citoyen,@datetime@,,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user21
VXNlcjp1c2VyMjI=,user22@cap-collectif.com,user22,Citoyen,@datetime@,,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user22
VXNlcjp1c2VyMjM=,user23@cap-collectif.com,user23,Citoyen,@datetime@,,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user23
VXNlcjp1c2VyMjQ=,user24@cap-collectif.com,user24,Citoyen,@datetime@,,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user24
VXNlcjp1c2VyMjU=,user25@cap-collectif.com,user25,Citoyen,@datetime@,,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user25
VXNlcjp1c2VyMjY=,user26@cap-collectif.com,user26,Citoyen,@datetime@,,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user26
VXNlcjp1c2VyMjc=,user27@cap-collectif.com,user27,Citoyen,@datetime@,,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user27
VXNlcjp1c2VyMjg=,user28@cap-collectif.com,user28,Citoyen,@datetime@,,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user28
VXNlcjp1c2VyMjk=,user29@cap-collectif.com,user29,Citoyen,@datetime@,,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user29
VXNlcjp1c2VyMzA=,user30@cap-collectif.com,user30,Citoyen,@datetime@,,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user30
VXNlcjp1c2VyMzE=,user31@cap-collectif.com,user31,Citoyen,@datetime@,,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user31
VXNlcjp1c2VyMzI=,user32@cap-collectif.com,user32,Citoyen,@datetime@,,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user32
VXNlcjp1c2VyMzM=,user33@cap-collectif.com,user33,Citoyen,@datetime@,,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user33
VXNlcjp1c2VyMzQ=,user34@cap-collectif.com,user34,Citoyen,@datetime@,,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user34
VXNlcjp1c2VyMzU=,user35@cap-collectif.com,user35,Citoyen,@datetime@,,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user35
VXNlcjp1c2VyMzY=,user36@cap-collectif.com,user36,Citoyen,@datetime@,,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user36
VXNlcjp1c2VyMzc=,user37@cap-collectif.com,user37,Citoyen,@datetime@,,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user37
VXNlcjp1c2VyMzg=,user38@cap-collectif.com,user38,Citoyen,@datetime@,,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user38
VXNlcjp1c2VyMzk=,user39@cap-collectif.com,user39,Citoyen,@datetime@,,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user39
VXNlcjp1c2VyNDA=,user40@cap-collectif.com,user40,Citoyen,@datetime@,,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user40
VXNlcjp1c2VyNDE=,user41@cap-collectif.com,user41,Citoyen,@datetime@,,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user41
VXNlcjp1c2VyNDI=,user42@cap-collectif.com,user42,Citoyen,@datetime@,,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user42
VXNlcjp1c2VyNDM=,user43@cap-collectif.com,user43,Citoyen,@datetime@,,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user43
VXNlcjp1c2VyNDQ=,user44@cap-collectif.com,user44,Citoyen,@datetime@,,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user44
VXNlcjp1c2VyNDU=,user45@cap-collectif.com,user45,Citoyen,@datetime@,,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user45
VXNlcjp1c2VyNDY=,user46@cap-collectif.com,user46,Citoyen,@datetime@,,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user46
VXNlcjp1c2VyNDc=,user47@cap-collectif.com,user47,Citoyen,@datetime@,,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user47
VXNlcjp1c2VyNDg=,user48@cap-collectif.com,user48,Citoyen,@datetime@,,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user48
VXNlcjp1c2VyNDk=,user49@cap-collectif.com,user49,Citoyen,@datetime@,,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user49
VXNlcjp1c2VyNQ==,user@test.com,user,Citoyen,@datetime@,,,Utilisateur,No,Yes,Yes,No,Yes,FEMALE,@datetime@,,,"12 rue des boulets",75012,Paris,+33635492871,https://capco.dev/profile/user
VXNlcjp1c2VyNTA=,user50@cap-collectif.com,user50,Citoyen,@datetime@,,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user50
VXNlcjp1c2VyNTAy,msantostefano@jolicode.com,welcomattic,Citoyen,@datetime@,,,"Super Admin|Utilisateur",No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/welcomattic
VXNlcjp1c2VyNg==,user6@cap-collectif.com,user6,Citoyen,@datetime@,,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user6
VXNlcjp1c2VyNw==,user7@cap-collectif.com,user7,Citoyen,@datetime@,,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user7
VXNlcjp1c2VyOA==,user8@cap-collectif.com,user8,Citoyen,@datetime@,,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user8
VXNlcjp1c2VyOQ==,user9@cap-collectif.com,user9,Citoyen,@datetime@,,,Utilisateur,No,Yes,Yes,No,No,,,,,,,,,https://capco.dev/profile/user9
VXNlcjp1c2VyQWRtaW4=,admin@test.com,admin,Citoyen,@datetime@,,,Administrateur|Utilisateur,No,Yes,Yes,No,Yes,,,,,,,,+33675492871,https://capco.dev/profile/admin
